idLycee;login;password;nom;prenom;naissance;note1;note2
73;rjacquot;)ylH0gbV!61N;Pasquier;Vincent;2002;5.108;11.321
73;danielle06;5_K(ZAbg+@p2;Blanchard;Valentine;2002;19.942;17.287
73;fabreandree;ql9zVhtj__vC;Guilbert;Josette;2002;4.362;9.821
73;nboulanger;7lD#Waei#8(@;Dumas;Hortense;2001;19.666;14.871
73;marchalluce;)il37VipKKpf;Gallet;Olivier;2002;14.645;3.999
73;humbertmaryse;Jtu6W8gQK)V1;Perret;Juliette;2002;12.804;17.531
73;guichardcolette;^N*cC(Cxf3(6;Munoz;Céline;2002;6.291;15.404
73;colette36;50AxC#vj*6PU;Dupont;Marcel;2002;4.503;17.23
73;gimenezmarthe;dlOY4qnWQ_3q;Turpin;David;2003;11.133;5.649
73;nicolehebert;^9kn2hu$9GyA;Colas;René;2002;3.36;7.38
73;frederic77;vH1kVo0nN3&F;Baudry;Cécile;2001;15.868;19.499
73;therese08;BV6x2NOw%hPD;Bouvier;Nath;2002;16.056;18.961
73;virginiebarre;+g8D*qsDNa6T;Bernier;Danielle;2002;10.457;8.914
73;christineperrot;0foQUA$u@29V;Robert;Nath;2002;8.5;16.569
73;martin15;_uq%%G+r3t9D;Rousseau;Patricia;2002;4.68;16.985
73;qfischer;!4#H4PUlCY6!;Morin;Claudine;2003;10.043;6.087
73;valletjacqueline;qO4Sfwwh#YrD;Francois;Joseph;2002;14.381;15.24
73;xallard;wLRKS2Ca$5l%;Labbe;Alexandre;2002;3.552;15.673
73;elise77;Q)vAMcEHLP8);Legrand;Alexandrie;2002;9.793;17.869
73;mletellier;B+5Kr_Lw$gdP;Andre;Pauline;2002;7.313;17.266
73;galletsusanne;y&YDDTq_)8Qc;Fernandes;Pauline;2002;15.759;16.757
73;rrocher;iDITjrd__3VO;Pires;Pauline;2002;12.412;10.776
73;laportematthieu;i%^zW7Vl2spX;Barthelemy;Margaud;2002;3.319;9.992
73;pauline32;4dhdU2kP+uyx;Le Goff;Martine;2002;3.498;7.607
73;lmathieu;%83BWzrL1&i#;Delahaye;Aurore;2003;17.565;19.779
73;xdumont;e)R1EKc1I$r1;Peltier;Renée;2002;12.453;14.991
73;irossi;*9)FXBex^LG1;Laurent;Françoise;2002;2.997;4.032
73;aphilippe;6)8KKVIsurX2;Paul;daisy;2003;13.113;8.791
73;noelmarthe;G9k9%9wD%(Be;Louis;Rémy;2002;14.771;16.322
73;ididier;B5rS4%petUk);Collin;Timothée;2002;13.721;19.171
73;larocheguillaume;if#Sckd3!4NL;Delahaye;Adèle;2002;4.958;18.905
73;noelmeyer;4kzThGMo#N4D;Guillou;Gabriel;2002;2.857;15.439
73;franckmuller;ooA4HP+g!#8Z;Delahaye;Nicolas;2002;19.694;7.171
73;guillotmarine;F3T+f!Uy4#0C;Bonneau;Marine;2002;18.483;14.394
73;duvaltherese;#iO3^bCprCLN;Hoareau;Émile;2000;13.309;7.823
73;maryseleblanc;E#iNI+pg(3fT;Roche;Capucine;2001;19.309;15.995
73;delannoynathalie;*7wGWEb2)4xZ;Goncalves;Suzanne;2002;16.998;7.129
73;navarropauline;k)okkTInNB56;Renard;Nathalie;2002;6.444;18.497
73;adrien15;#l9I6dpL46JV;Gallet;Édouard;2002;11.598;15.65
73;dbonnin;AiBK7%aAG_3J;Imbert;Bertrand;2002;2.759;14.449
73;aime07;X*14Loumd)ZF;Jacquet;Laurence;2002;8.886;17.292
73;xteixeira;G6H7!st2@hyR;Aubry;David;2002;12.443;10.149
73;aandre;C^%MJF&zG66(;Daniel;Noël;2002;15.709;7.725
73;charles69;NgbzJmEK)u2*;Payet;Édith;2002;4.336;5.156
73;matthieu82;#ZEhTRS^1yPY;Huet;Éléonore;2002;10.438;6.773
73;margot74;!!NUHt&M8xT2;Fernandez;Camille;2002;5.253;17.882
73;guillaumecharlotte;O$gZeDbQXj9k;Pichon;Marie;2002;16.652;11.542
73;roger08;*tyI$6Izm#*9;Seguin;Maurice;2002;16.046;9.841
73;vwagner;f*_FAc@l3*6q;Fischer;Renée;2002;13.626;10.723
73;adeledenis;U89hPzk_&b9M;Gosselin;Julie;2002;10.19;17.99
73;jjacquot;#%2P)MFuAjEJ;Morin;Capucine;2002;14.444;8.701
73;alixgaillard;#b5Lr2j@CY^M;Renaud;Agnès;2002;17.383;17.955
73;rousseaumarcelle;^4xioVFHzmwG;Leveque;Émile;2002;9.845;2.473
73;tessiermonique;!xDv2z4m(5ZJ;Guilbert;Élise;2002;19.089;3.833
73;camille02;3gKx1v^x)0C7;Prevost;Adrienne;2002;18.925;15.913
73;yalbert;Pm6tdTrxc&5U;Auger;Emmanuelle;2001;11.958;17.626
73;groschristophe;j9(Rt11&$*xs;Toussaint;Lucy;2002;14.702;19.681
73;flesage;0yLq@lgf_xOR;Guillaume;Julien;2004;17.558;14.123
73;luce68;oQeBY^un$Y3(;Nicolas;Élodie;2002;18.816;8.951
73;henryodette;D09OgMPlb8^_;Lopez;daisy;2003;3.336;14.318
