idLycee;login;password;nom;prenom;naissance;note1;note2
74;shoareau;epf1E59qZ!Pb;Torres;Arthur;2002;17.549;19.718
74;qrenaud;+G3vs!hw7&YQ;Renard;Lorraine;2003;3.249;13.469
74;jacquesvoisin;&nnu!u!8!3vS;Parent;Thibaut;2002;4.708;10.001
74;hamongerard;+roX5HTEz9!C;Brunel;Roland;2002;11.879;5.066
74;sebastien03;(jl0ZRAg60aJ;Chartier;Honoré;2002;5.826;8.232
74;antoinelejeune;qN_w@@cz(m0I;Lefort;Éléonore;2002;9.704;4.914
74;nicole83;KPBdkHfo3wQ*;Delmas;Benoît;2002;13.886;14.398
74;constanceguillaume;^9LlfwVLA6dz;Grondin;Marie;2002;15.439;8.781
74;margot25;VpAlBEt3)e&8;Texier;Jacqueline;2003;19.666;8.414
74;bonninvirginie;@la$Iy%)*+8#;Guyot;Catherine;2002;12.597;12.697
74;ybernard;)2Y2BbGh6917;Bertin;Zacharie;2002;5.162;12.501
74;fontaineagathe;$lq$cLrs@2w1;Allard;Aurore;2002;14.004;16.32
74;susanne42;x&EV7LwG__nI;Moreno;Luce;2002;12.67;11.583
74;evrardvalerie;Fb&1Kx1K$3Rs;Raynaud;Jacques;2002;13.841;3.437
74;margot64;tGaWZyeS!Jq9;Fontaine;Denis;2003;9.381;8.991
74;jlaurent;#VIncbAUOs8v;Antoine;Andrée;2002;5.358;15.532
74;jramos;)WRA1I343cwc;Fournier;Édouard;2002;15.579;3.278
74;vcharles;&)(6wOeHX0Sc;Thomas;Alain;2002;5.049;13.027
74;chauvetpaul;$u8Xlm!xpoSN;Normand;Isabelle;2002;19.264;19.511
74;jbailly;fW4+5MnZ@&Qr;Roche;Théophile;2002;15.497;15.568
74;davidmallet;h&sf0GKF*8Yh;Guillaume;Océane;2002;19.819;3.566
74;daniel77;kB7%Islg_DnX;Faure;Alain;2002;14.823;14.917
74;hortensebouchet;(Y*EYe+gr7Y7;Chevallier;Yves;2002;3.882;4.679
74;briandvalentine;F_z2wP@t&mCN;Lamy;Gérard;2002;9.545;15.338
74;godarddenise;9S&oGrWI_exB;Chauveau;Geneviève;2002;2.051;17.058
74;ochevalier;$1Hs_8aDtS+l;Bailly;Cécile;2002;16.601;4.89
74;penelopebourdon;2ZeM0heAy*A$;Guibert;Odette;2001;8.648;5.899
74;theophile30;$$6&tVnIRqM^;Gauthier;Claire;2001;15.554;8.45
74;susanbertin;#FmKf&&Q2$fK;Lesage;Zoé;2002;13.047;7.729
74;lperrier;Jv#SdG_@(q&3;Paris;Jules;2002;15.913;10.475
74;michelbarre;Ny7F1jiU(^qT;Vidal;David;2001;3.872;11.014
74;alice64;o$!38iQzRMof;Letellier;Henriette;2002;13.711;9.65
74;denis22;lH45VTGyp^$A;Pinto;Robert;2002;9.964;8.335
74;legermarc;^4O%l^uq8ZED;Pineau;Thibault;2002;18.784;11.462
74;edubois;!zCe6K0q@5sh;Hebert;Clémence;2002;19.698;4.508
74;caroline35;KdHdAVfe(65&;Moreno;Nicole;2002;4.443;6.725
74;antoinevincent;i%)oVqbez$1F;Carpentier;Thibaut;2002;6.263;17.465
74;alphonsecouturier;$DBJOV0o40F5;Lombard;Étienne;2002;19.922;8.585
74;droche;2w$_2XlIn&Kr;Marion;Élise;2001;3.731;10.252
74;leclercqpatrick;JyET0sj&%2dH;Bonnin;Gabriel;2002;5.993;16.935
74;gabriellevallet;(2%dmx0yPIsD;Guibert;Caroline;2002;4.834;13.957
74;rollandmargot;(90@_iejA$9O;Rodrigues;Valentine;2002;16.713;13.414
74;tristanrossi;!(kaC!fz(I1p;Munoz;Alexandrie;2002;2.306;10.662
74;qaubert;KG^4L4tjV%!^;Benard;Zacharie;2002;10.808;3.243
74;klamy;)c87Gp%Be1xK;Perrot;Margot;2002;4.111;16.817
74;michelleroussel;@WV8Mcwy3!o$;Joubert;Margot;2002;18.351;6.974
74;agathehardy;J+&XvR#fw22Z;Carpentier;Suzanne;2002;18.955;14.776
74;mgilles;&27WXoIp5dMs;Leveque;Marianne;2002;17.068;14.184
74;leclercqmanon;T&9$6EwEPS)r;Garnier;William;2002;7.521;13.95
74;hlambert;0A4F%fq^I(^p;Courtois;Thibaut;2002;5.182;17.515
74;philippine27;)0iU#pcY$UI1;Navarro;Matthieu;2001;12.619;8.843
74;raymond53;1bf3WySu*_b6;Cousin;Agathe;2002;11.679;19.676
74;couloncamille;#Uw0h8f7hdbR;Bouvier;Geneviève;2002;14.013;18.395
74;charlottedelattre;$4YsGMeqjBtX;Turpin;Alfred;2002;8.203;18.45
74;andre78;(KN@Qk0EK96h;Martin;Océane;2002;9.784;4.738
74;zlabbe;t!loBkiH*yK0;Lambert;Roger;2002;10.62;3.226
74;benoitlaroche;rReJk4tW!8oy;Maurice;Emmanuel;2001;17.378;14.039
74;margaretetienne;_kUDPK5l5y8+;Lecomte;Frédérique;2003;9.878;12.815
74;rollivier;0VjLIxe!8FX(;Morin;Océane;2002;17.028;7.768
74;hphilippe;gs+nMb1k%75L;Perez;Adélaïde;2002;11.481;19.643
