idLycee;login;password;nom;prenom;naissance;note1;note2
76;christiane43;6$hGryZyMnG);De Oliveira;Jacqueline;2002;8.627;6.629
76;martinlouise;v&dYzMsab%8D;Regnier;Diane;2003;7.634;15.079
76;vcarre;l5*0^CTmFQX2;Vallee;Gabrielle;2002;7.47;17.22
76;corinnecarlier;d2_!sduS*rQh;Masse;Mathilde;2002;7.572;12.467
76;olivievalette;Ag8O_+u4+qbB;Becker;Anouk;2001;5.38;8.018
76;genevievedescamps;A&4AiPte#eTl;Faure;Madeleine;2002;6.065;3.793
76;theodore39;&^Q9KSwKypeJ;Nguyen;Zacharie;2002;10.848;18.481
76;gilbertdidier;5K7nyzp7+uAZ;Goncalves;Alexandria;2002;10.29;16.455
76;uimbert;3ct0W5py_z@M;Delaunay;Henri;2002;19.041;11.401
76;lguyot;HMn%dUcoYfj3;Gomes;Gabrielle;2002;12.654;4.644
76;hortense51;svvlXnOF)7G0;Da Costa;André;2002;12.452;13.109
76;hbecker;Ya76PXj^^3Da;Peltier;Colette;2002;7.336;13.765
76;virginieguillaume;Z2N!lr81_a&R;Poirier;Marine;2002;4.474;11.748
76;lagardeguillaume;ja2RmWjr_uZ^;Germain;Frédérique;2003;8.212;2.273
76;micheleleger;dddDqoosY5E_;Louis;Corinne;2002;17.101;17.982
76;pauline01;+8Kl%*f%!cfA;Lemoine;Robert;2002;6.441;12.779
76;ubecker;hYUH8Bj8Rl4+;Berthelot;Mathilde;2001;8.199;17.623
76;jacquesgoncalves;SqJ!iZGp#3F+;Francois;Joséphine;2001;15.66;13.825
76;lebretonpatrick;CMVMI9Wgy@7D;Vallet;Jérôme;2002;10.818;4.85
76;perrotmargaret;&V4K4)qjE$jC;Marin;Manon;2002;3.159;10.52
76;mullerdenise;&9+2o3FlX19V;Bernier;Thomas;2003;8.47;11.791
76;delmasluce;ttSHpMwL4b+$;Tanguy;Françoise;2002;14.728;8.635
76;honorelucas;mq7pu0e#z^yU;Guichard;Xavier;2000;19.66;11.895
76;laurencemallet;!79OqoyMSXw^;Lebreton;Danielle;2002;15.303;7.951
76;maryselebreton;#2_A+qX2+HjP;Duhamel;Frédérique;2002;14.797;13.573
76;mgrondin;_8IrfInz8AT+;Gilles;Adèle;2002;11.86;9.322
76;marieantoinette;(4AHA^PrTr7a;Nguyen;Christophe;2001;13.596;2.191
76;michelpires;7+$@MXdjnR3F;Schmitt;Andrée;2002;5.792;16.403
76;rnguyen;68I41UdT*Way;Mathieu;Gabriel;2002;5.693;19.963
76;henri75;FrEgHv!%^e7t;Joseph;Gilles;2002;16.917;7.966
76;agnes74;^k1@35DfGMqI;Gonzalez;Michèle;2002;3.549;17.602
76;tristanpons;$PHgD3pc%10p;Brun;Marc;2002;19.155;3.714
76;legrosdenise;tAzLUq*qW@70;Techer;Gilbert;2000;8.937;13.522
76;traoreemmanuelle;%5yEQngFy6EW;Alexandre;Charles;2002;3.45;4.403
76;huetodette;U_WS1mpS&ly1;Vincent;Caroline;2003;9.995;19.819
76;auguste89;5iGjt)rmW4+g;Leclercq;André;2002;13.107;15.233
76;francoispenelope;!58Umd*vxWBU;Collet;Adrien;2002;5.054;13.049
76;lorrainebruneau;tCU(Ry(md*8J;Hoareau;Édith;2002;14.914;6.162
76;elodieletellier;&n*U3H8m*tZ9;Renault;Monique;2003;17.434;5.158
76;caronchantal;9+a_!9Tw7Ux8;Lopez;Nicolas;2002;7.525;15.868
76;denis59;c&F8_lZjGSjG;Bouvet;Aurore;2002;10.928;11.843
76;leclercmartin;!7vkDjsEpv&D;Petitjean;Henri;2002;17.285;19.595
76;oceanelacroix;bFNaFc@*!5I_;Leveque;Sophie;2002;14.069;11.477
76;benoit36;kcMjoSsl6b*9;Lebrun;Sébastien;2002;6.455;5.174
76;mahebertrand;2SJimjy8)YNp;Chretien;Hortense;2002;8.756;3.552
76;thibaut74;H6_On&ty!3Qt;Diaz;David;2001;9.575;10.307
76;gillesandree;^1GQbR*iTSFM;Marty;Yves;2003;8.225;9.347
76;xbernard;gx&8%NuwqpY1;Boulay;Marc;2002;14.105;6.246
76;moreauguillaume;!bWRnVHYs3tJ;Guichard;Patrick;2002;11.606;16.412
76;alexandria11;ek7WEest%CMf;Blanc;Nathalie;2002;8.285;4.152
76;mauricebernier;3d6$9Qwv)W&B;Masson;Andrée;2002;7.478;14.288
76;bouvetmichele;JuBP&hvFu)9G;Germain;Adrienne;2002;5.987;9.126
76;kleinroger;9K%3ckEwCItX;Paris;Théodore;2002;15.599;4.321
76;qfournier;Qz5Z*W4H3%zg;Reynaud;Auguste;2002;3.601;18.683
76;monniermargaud;9gEf*T8u+ZZZ;Barre;Alexandre;2002;2.95;17.187
76;pierre85;4%36fje+sXdX;Berger;Lucie;2002;9.925;7.15
76;agatheboulay;)50KeyeE0q+!;Lesage;Alfred;2002;15.531;15.746
76;delmascatherine;!S(vLKix&%4a;Parent;Brigitte;2002;15.796;16.005
76;bigotthierry;7$Xcm&lC&X3q;Etienne;Agathe;2002;3.558;4.196
76;vrousseau;Z)eaKgO&%6Y&;Labbe;Camille;2002;9.983;18.19
