idLycee;login;password;nom;prenom;naissance;note1;note2
77;levyalain;)Oi3j1Wm02nD;Gillet;Henri;2002;7.394;18.093
77;veronique34;6GJUytp1MQ9!;Renard;Bernard;2002;6.133;10.904
77;achauvin;%*90Yg3I_3iX;Boulay;Pierre;2002;13.996;5.944
77;mfernandes;c%7Rlg^wzn4W;Dumont;Marine;2002;16.005;11.396
77;marc70;C4wdWZ^w#F7K;Courtois;Gilles;2002;15.313;4.559
77;margaretfaivre;+7W@rCr*e5)Q;Thomas;Emmanuelle;2002;14.662;9.363
77;wtoussaint;SN3DOmuH$1zr;Noel;Henriette;2002;14.947;2.287
77;uthierry;_8b2syfOWpHi;Barbe;Olivie;2002;2.929;17.013
77;royerantoinette;3PDTHv8f#532;Roux;Henriette;2002;13.309;2.683
77;denisloiseau;(SIS!ncR3^7D;Michel;Eugène;2002;2.52;16.053
77;cecile31;k#1DZmmkLovC;Couturier;Capucine;2003;6.512;5.098
77;ddufour;&^6Dk^yN32@5;Lemonnier;Jean;2002;13.221;12.376
77;perrotisaac;O!0EtEOiZ9v3;Denis;Daniel;2001;18.203;3.67
77;diazclaude;B%0ORNLf)s51;Bernard;Valentine;2002;6.432;8.536
77;dupuischristiane;1y0&TQ2t@R^B;Fischer;Claudine;2002;2.225;4.084
77;denise67;ni*0Bjv@6u@y;Baudry;Lucy;2002;8.66;12.82
77;gauthierjulie;_PUQVvk*O74Q;Legros;Thérèse;2001;4.562;7.666
77;sseguin;CJ8aWpaCJ#0+;Colas;Lucy;2002;8.885;14.435
77;louise02;&ne3hjo!+)Ad;Techer;Alix;2002;7.637;17.902
77;alain49;y6Y(ns_B#bGu;Menard;Michelle;2002;7.761;17.359
77;fgoncalves;46i88DgR*)^O;Morin;Julie;2002;5.477;15.259
77;georgesgrenier;!6xR8SBwctjX;Dos Santos;Jules;2002;8.368;7.744
77;xgaudin;xH0*hWDn&pbh;Pons;Françoise;2002;2.552;19.717
77;josephinehardy;)ITpriD8w92@;Gros;Roger;2002;7.822;14.971
77;laetitiajacob;J6T+pwNo$iEg;Vincent;Hugues;2002;6.497;4.112
77;philippinedumont;57)yMwW1%MtW;Masse;Éléonore;2002;4.092;12.008
77;nicolas56;^q2^Yhh2oAWF;Bazin;Mathilde;2002;19.563;12.695
77;alfred43;$Q4IS_r6o7sh;Marie;Virginie;2002;17.624;10.328
77;zbouchet;1oq$(v4)gy3C;Raynaud;Pauline;2002;14.472;17.298
77;cdumont;&$%EjtfT*I29;Cousin;Capucine;2002;16.018;5.13
77;roland06;#(@VsV%f3EGP;Leger;Paul;2002;8.784;15.557
77;legendreroger;9n41LE4s!v2#;Morin;Michel;2002;12.103;3.121
77;michele75;r1%yZmrdUqy1;Henry;Lucas;2002;9.818;16.978
77;jmarchand;+unT49bnz9T7;Rossi;Simone;2002;3.172;11.483
77;joseph02;HY)lSipZGdZ6;Diallo;Manon;2002;13.437;11.207
77;chauvinpenelope;h@Haj4StZVdI;Leroy;Dominique;2002;6.259;12.187
77;celina43;@qs!q(Xs8@V&;Dupont;Marguerite;2002;5.891;7.789
77;therese42;b84%FEtKdKsL;Peltier;Maryse;2002;6.597;11.193
77;ybenard;9aWYneEbS%05;Perret;Isabelle;2002;3.435;14.177
77;aclerc;4(6J^cTa!YjA;Letellier;Geneviève;2001;16.489;11.908
77;tle-goff;&3D!3WO+nW9t;Michel;Marguerite;2004;13.546;8.738
77;dialloauguste;z_V1eX(qI_U9;Thomas;Emmanuel;2002;5.183;13.383
77;jeannemoulin;7#9BnOwgGmrQ;Roger;Alex;2001;3.046;15.93
77;ublanc;8Q63EVaTmE$m;Hardy;Véronique;2003;7.28;5.41
77;rodrigueswilliam;eEINh31f(Y*4;Paris;Pauline;2002;3.322;5.363
77;xmendes;*97HanMM)(LF;Toussaint;Mathilde;2002;13.6;16.772
77;adelaide03;E1DtBRq4_3uD;De Sousa;Roland;2002;12.521;19.69
77;gillestraore;vJABRq8co7r!;Marty;Georges;2002;6.473;18.209
77;meyernath;EeBsziU@@3Q+;Marie;Thérèse;2002;13.886;6.383
77;raymondemmanuel;Gj*33Znof*2t;Barbe;Michelle;2002;6.743;10.465
77;agneslebreton;_8S&On__6qze;Riviere;Luc;2001;9.768;17.479
77;josette61;^9Qpc&WsY7I(;Gauthier;Diane;2002;12.44;3.479
77;gilbertguillaume;p^9ul$Ic#I6J;Becker;Noël;2003;15.901;8.535
77;fabrenicole;oY7^bmz$!SUU;Lamy;Constance;2002;17.456;10.997
77;emmanuelle67;tA^0yNsc!7sv;Colin;Gilbert;2002;7.174;3.255
77;alexandrerossi;)tUv(k6w$6lf;Thibault;Chantal;2002;2.026;19.857
77;lucasmartin;2rR+OU4Q!wGd;Sauvage;Émile;2001;12.783;2.293
77;bertrandpatricia;y46PzkLV!WQT;Gillet;Marine;2002;12.288;19.556
77;chretienyves;TV8DFNuq@42x;Meunier;Célina;2002;2.101;5.381
77;etienneperez;v^aMXn$bd$3@;Moreno;Victoire;2002;4.727;2.064
