idLycee;login;password;nom;prenom;naissance;note1;note2
78;payettimothee;X+1B+9JoL3Bl;Ruiz;Benoît;2001;3.326;11.261
78;gregoiremarine;(6v3YRHgv1Mf;Guillet;Emmanuelle;2001;15.148;10.201
78;martinezeleonore;)ajMwi#j0754;Devaux;Sébastien;2002;10.887;11.83
78;marcel56;&WAsaJX0M0CR;Da Silva;Anouk;2002;5.185;7.323
78;capucine88;5*&IEXZv#A$8;Robin;Maurice;2002;11.922;10.519
78;bruneaudenise;@aFnw+O2K3Dw;Brunet;Julien;2002;8.944;6.717
78;npelletier;38ArGoWX+_Zu;Duval;Noémi;2002;9.985;16.547
78;yvesmartinez;i3(6Rwgy&+at;Morel;Nathalie;2002;9.525;10.279
78;emilie20;!6@(yM4g&*%C;Dupont;Anne;2002;19.328;7.768
78;guyadam;$ZAFvtlfU3SK;Hoareau;Aurélie;2002;16.724;7.086
78;reneejoubert;lI$09Kcb&(_$;Marchal;Thérèse;2002;6.192;10.366
78;eleroux;rQq0GdZwz&c@;Legros;Édith;2002;6.252;18.127
78;egermain;qV2(NiV6&f(5;Jacob;Nath;2002;13.417;9.37
78;andreebodin;)334!fy#&cSp;Paris;Thibault;2002;17.36;12.468
78;timotheeweiss;R15$BUga0&&P;Masse;Stéphanie;2002;10.528;13.816
78;remytecher;N8PMkZQp$BN0;Lebreton;Dominique;2003;4.876;10.367
78;charles57;D&x7zBrf3J7D;Allard;Clémence;2002;18.566;19.219
78;stephanegaudin;5*7pFj3Tk(2J;Garcia;Christelle;2002;10.207;2.816
78;gle-roux;8*Nb9cBfFR0*;Valentin;Tristan;2002;2.07;10.454
78;guillonfrederic;J_kpf5LrAUHH;Aubert;Gérard;2003;8.323;13.77
78;stephanie91;i)1bO#y1(8pm;Bernier;Maggie;2003;10.345;13.622
78;icourtois;Ly3V1L!bK(0);Marin;Simone;2002;3.256;11.668
78;guillaume13;EX49GN8iJzL&;Tanguy;Françoise;2002;7.361;18.213
78;pauline63;Ru46DAxHbyI+;Pages;Michelle;2002;8.069;16.285
78;jbarthelemy;x@c4CU(z@Pt7;Dubois;Anastasie;2002;6.551;9.853
78;elambert;e!0U4&jdTfIE;Roy;Margot;2002;6.666;11.472
78;anastasie43;ol)2jPrtYOC%;Allain;Capucine;2002;18.811;3.436
78;joseph92;@iUBr&Nvo1q(;Vasseur;Roger;2002;7.046;7.763
78;pichonthierry;fd!FRLDu)%06;Leclercq;Élodie;2002;13.597;11.702
78;gmendes;^2IeOVDeNCH^;Moreau;Thierry;2002;8.21;14.817
78;madeleineboulay;_%2ncRpneoE7;Roux;Bertrand;2002;8.338;7.918
78;bjean;^0+XCM_SncVh;Godard;Denise;2003;8.997;14.038
78;gerard87;%l2+wCmNDR%m;Lebreton;Madeleine;2002;11.578;15.679
78;thibaut00;pvS0fwNb)4sK;Bourgeois;René;2002;15.584;5.703
78;ribeiropenelope;&+(mG%cl1@1);Ribeiro;Susan;2002;9.131;4.813
78;georges37;(Z9AGzJjZ@hh;Ledoux;Émile;2002;7.669;18.41
78;jeannepasquier;$!7i0SOkEO^P;Dupuis;Alexandrie;2002;12.864;13.964
78;nmerle;$5awSrbztu1$;Becker;Thomas;2003;16.751;4.059
78;fmoreau;q6G8n0TrNf^r;Descamps;Geneviève;2002;7.108;13.047
78;lucierodrigues;WlC7&m6V_(3N;Menard;Robert;2002;2.568;19.872
78;vincentlouis;etn1JTkxV!Bp;Faivre;Bernard;2002;7.48;17.445
78;trichard;%8!oxt^tCY1R;Charrier;Michèle;2002;4.309;18.175
78;onicolas;3r(gNS2Y@xbU;Lemaitre;Aimé;2002;9.166;8.658
78;tessieremmanuel;**!OR@uX3HYc;Reynaud;Martin;2002;2.693;14.32
78;philippine14;Rp*Z^mQdE+F0;Rolland;Cécile;2002;6.777;6.987
78;wbertin;6O2ZHEvM)v$u;Laurent;Bernard;2002;10.342;4.88
78;yves70;cNTN)hIY^5DB;Lacombe;Daniel;2002;4.996;15.459
78;bernard53;5HEILW&uN4)4;Gilles;Julien;2002;3.541;19.849
78;andrejacquet;KpX(fvHl$_3m;Muller;Pierre;2002;3.262;13.333
78;colasisaac;FsKmG%l0*1tm;Dupuis;Eugène;2001;9.957;18.351
78;remybertrand;5Ah7g0hu_qDe;Pineau;Olivie;2002;6.967;19.533
78;anais73;!lVlg5F%K2he;Leblanc;Daniel;2002;4.921;14.461
78;zachariecharpentier;TG4BGirnS(p7;Riviere;Élisabeth;2002;19.239;3.478
78;pintomarcelle;87!bD5cEyPXo;Ramos;Marine;2002;3.551;7.093
78;charlottebernier;4pOoOcgA$9p@;Couturier;Jérôme;2002;16.918;13.146
78;lefevrefrederic;)L8AYlm0RFfB;Baron;Colette;2002;7.179;9.363
78;odette98;!P6qBgzj(lWd;Sauvage;Simone;2002;13.127;3.668
78;marcellebazin;!IrnDyARQ1OI;Guilbert;Christophe;2001;7.846;12.737
78;francois18;O#i7p$Vzf*dN;Jacquot;Zoé;2002;7.668;4.523
78;zgilles;5WR*icH_md8Q;Bailly;Alix;2002;10.914;3.692
