idLycee;login;password;nom;prenom;naissance;note1;note2
79;smallet;+m1Q&6eo_f!C;Vallee;Julie;2002;3.389;12.272
79;zjoly;3z@j_0WbSCP$;Dupont;Valentine;2002;14.413;5.093
79;juliette44;NUD1vV3nCw!w;Jourdan;Audrey;2002;18.85;15.042
79;marcelgauthier;fG^%8DQb*#gF;Moreno;Benoît;2002;17.161;11.803
79;gcharpentier;zomhG0G^j$!7;Rocher;Charles;2002;18.809;2.203
79;julienlaure;!^CLIhozVQB6;Grenier;Gabrielle;2002;10.353;9.195
79;nlouis;(1rMmhoI1qNq;Bertin;Alexandria;2002;15.887;11.92
79;munozpatrick;Fi*4rBk7w&@k;Vasseur;Grégoire;2002;3.943;14.836
79;celinaleroux;13PR9ve2qDl(;Courtois;Nathalie;2002;12.764;7.651
79;fournieradelaide;*3Mi91Nl3tzD;Bousquet;Marianne;2002;12.868;5.381
79;renethibault;y540LXql9C@%;Hernandez;Adrien;2002;15.35;12.232
79;kcarre;^92KuH1Rx)R6;Foucher;Anouk;2002;14.355;7.812
79;theodore08;b)*8Gl_d8(n%;Brun;Pénélope;2003;3.455;11.786
79;georges83;i8ERgN!^^x^&;Texier;Anastasie;2002;9.345;10.861
79;colette73;)IE2B50z94@@;Masse;Agnès;2002;18.343;18.583
79;ichevallier;36nYjNPpPlG+;Guillaume;Charlotte;2002;15.305;6.506
79;georges30;_gV7K^q2WmYq;Goncalves;Odette;2002;10.962;13.357
79;gturpin;d2o(YvMbYxLZ;Lenoir;Maurice;2002;15.168;12.208
79;georgesalex;FH08sNQh^@6D;Lemonnier;Agnès;2002;2.665;10.608
79;noemi33;%0(53JVdd$Co;Lacombe;Renée;2002;12.797;18.891
79;genevievemartineau;I1sh7O9z##)(;Baudry;Denise;2002;15.294;9.716
79;jbonnin;kwY*7Gaax(IL;Gilles;Célina;2002;15.516;17.225
79;guichardsuzanne;Sq0Z8OhA#%%x;Barthelemy;Marcel;2002;12.652;7.345
79;everdier;@$M)vTP*j4Y@;Paris;Jérôme;2002;3.734;3.957
79;celinamathieu;#5i1)XDaUxYp;Poulain;Timothée;2002;18.906;14.322
79;jeanne98;C$4TLi*vzsJ_;Lemonnier;Véronique;2002;14.325;8.351
79;martin67;5DHcVP+c!5PP;Le Goff;Michèle;2002;6.747;4.402
79;josette69;*Y2nXbIz@8RO;Garnier;Jacqueline;2003;14.672;11.773
79;zachariejacob;4sMvVDNg4_t1;Boulay;Matthieu;2002;17.651;5.999
79;rbriand;Z&l0rxfxd21H;Bazin;Olivier;2003;5.359;18.305
79;josette00;(R#Ik3Hf#)6t;Brunet;Anouk;2002;8.009;14.496
79;isabelle93;%d3PYxDd&u8R;Mendes;Colette;2002;13.115;4.76
79;elodie68;*4ynevS@eN)X;Hamon;Benoît;2002;14.747;15.306
79;josephinemorin;_1qyuB_WihF1;Peltier;Marie;2002;15.496;4.671
79;mauriceclemence;g)3*lXiwyt#T;Torres;Léon;2001;13.858;11.141
79;dorothee77;4F%%x%DyaJTL;Poirier;Olivie;2002;8.272;6.283
79;ibarbier;(ibVPJwK80cM;Lucas;Chantal;2002;6.408;18.664
79;gabriel04;rwkaXzpp*EX8;Goncalves;Daniel;2002;5.475;5.453
79;patrick02;_5isHFg6AELP;Faure;Laure;2002;9.726;2.042
79;eugenele-gall;lt!1S4Nt%%Vq;Lemaire;Constance;2002;6.104;12.28
79;ihardy;@9hVVZ9)NgWD;Bouvet;Véronique;2004;4.257;17.031
79;thibaultguillaume;6s2iJYyj#7Sa;Poulain;Claire;2002;16.932;18.17
79;rioudominique;Tx0m9XBs*+40;Samson;Patricia;2003;13.617;10.719
79;maheelodie;nGi5LlOw%7FV;Moulin;Caroline;2002;8.408;8.968
79;genevievelaporte;n62RZOga&%4&;Costa;Michelle;2002;14.283;17.746
79;brunmargot;UrS3hHnq%!q8;Noel;Gérard;2003;19.949;11.095
79;amelie77;HS&1Owm*@+0D;Maury;Thibault;2002;19.4;11.333
79;victorda-costa;7G7)VecE(5K^;Duval;Benoît;2002;11.643;14.253
79;picardhenri;Gl#+c)x@%%5R;Lacombe;daisy;2002;13.518;4.282
79;marcperrin;!*x1NtZEWrYv;Rossi;Philippine;2001;5.223;12.316
79;robertjacquet;#E+8WsauHk+);Leduc;Hugues;2002;15.38;7.705
79;edouard36;$cVtOr&^)7&@;Lecoq;René;2001;6.85;8.627
79;gregoireaudrey;&f2_7Nj*FRDH;Masse;Cécile;2003;12.977;16.338
79;noelherve;SCI85IPv))OW;Schmitt;Roland;2002;16.501;8.653
79;edith62;g^4JvNrfvy$&;Renaud;Marcelle;2002;10.228;15.312
79;perringuillaume;EC8GbYIg&nI7;Levy;Dominique;2002;4.575;15.348
79;dominiquelacroix;70S7mzde(ys#;Leroy;Françoise;2002;6.88;17.727
79;eric30;45uNSI#O*B*i;Dos Santos;Benjamin;2002;19.944;14.201
79;christianebrunel;1c0IRUll$1^A;Herve;Aurore;2002;7.42;14.464
79;agnesrodriguez;5F6ZabmkXx^I;Hardy;Anastasie;2002;8.964;15.11
