idLycee;login;password;nom;prenom;naissance;note1;note2
80;martine70;t&X5_Jk36lXP;Grenier;Charles;2002;7.771;7.103
80;astrid06;)!(Szcti1z5A;Hernandez;Frédérique;2002;11.51;2.076
80;stephanie15;aY+5Temr&#RF;Berthelot;Jeanne;2002;6.145;15.118
80;danielle61;%&cqLRfwxK65;Petit;Michel;2002;3.151;14.987
80;picardsophie;T)7z_fkh$tQL;Chartier;Marie;2002;9.113;17.321
80;parispauline;u0Cxc%VK+q1l;Muller;Charles;2002;8.752;2.356
80;andrethomas;L(2DK$jw4mch;Fabre;Emmanuelle;2002;3.041;10.481
80;lemonnierjosette;&KYl0OqiZ&#A;Lebrun;Sébastien;2002;14.359;17.812
80;isaac92;^wU3TWznM8P2;Lecomte;Xavier;2004;11.362;18.69
80;eliselaporte;$T4fcR!dontS;Raymond;Danielle;2002;16.544;14.686
80;oceane81;aIO24QEs_3Fd;Marin;Victor;2002;9.091;18.773
80;neveulouise;X1WvVf@d@OD*;Georges;Benoît;2002;15.768;18.807
80;adelaidecharrier;36106Gbrqn^0;Pierre;Hugues;2002;2.314;17.686
80;rousseaueugene;E)!BMzIV#lg2;Benard;Chantal;2002;19.632;7.168
80;sylviebarbe;8B&bjo$*)yEJ;Hoarau;Marguerite;2002;11.626;17.776
80;roberttraore;l8FyYiIy)_jT;Lombard;Margaret;2002;2.731;6.342
80;elodie30;($udMsrOMu2N;Lombard;Jeanne;2002;17.116;13.025
80;piresantoine;vCUWzt3h^0wz;Bouvet;Élodie;2002;15.039;16.022
80;guy73;!GR3PgcB&$w%;Jacob;Adélaïde;2002;7.568;18.222
80;thierrycarpentier;!qoH24vl3(Dn;Rodrigues;Stéphane;2002;18.581;10.09
80;margotclerc;+#N$3+Ngd1UI;Leclerc;Jules;2002;18.551;4.733
80;xtessier;B6Sb6^$z&jWK;Normand;Marcelle;2002;2.293;2.24
80;massedenis;S*HMPFos@4!0;Hamel;Gabriel;2002;6.226;13.78
80;marguerite52;%%4GBowaUfMy;Millet;Charles;2001;17.996;14.118
80;susan88;_Ax+dFqcq%w6;Techer;Jeannine;2002;19.815;18.528
80;wagnermaryse;Cy8VMkSm#c)7;Lefort;Cécile;2002;6.849;19.915
80;adeledidier;M%zViUNc2a3L;Gautier;Patrick;2003;19.884;10.578
80;marthe88;Zv0Wy000!3LJ;Wagner;Denis;2002;14.184;13.527
80;jrousset;He4t1IDHK%*y;Chartier;Benoît;2002;4.534;17.64
80;tleclercq;##)1oSzP%^vF;Guillon;Jules;2003;7.534;16.723
80;lucie75;%Xy8EhBrmzr#;Leleu;Maurice;2002;9.119;7.287
80;caroline32;k%3sNkwvuN1g;Lelievre;Nathalie;2002;18.092;10.095
80;rperez;%9(iTDBjF9R9;Leblanc;Zoé;2002;3.857;12.513
80;adelechartier;I93(AxPd^M&3;Bertrand;Valérie;2000;6.31;7.598
80;danielle67;i2Pz2edf#lEL;Toussaint;Laure;2002;12.545;19.029
80;georgesceline;*ZNeztjc*6NR;Lefebvre;Arnaude;2002;8.176;17.299
80;xgay;Zdw@%L!l!4BH;Roger;Robert;2003;19.253;4.906
80;francois99;q8IsHez##spq;Godard;Benoît;2002;5.731;7.78
80;cperon;F_(tlxkg!+5P;Richard;Madeleine;2004;18.131;12.545
80;llaporte;Kr4YsUK9)#SU;Mace;Claudine;2003;7.605;8.178
80;chantal17;(edMN3BpEP1C;Hubert;François;2002;9.807;7.512
80;suzanne22;(yJ8GiJz0EFB;Samson;Frédérique;2002;17.413;9.345
80;moreaugabriel;&eOJR5(d9#3@;Dupuis;Patricia;2002;2.764;2.917
80;rmunoz;*onRU&s194y5;Dias;Marcel;2004;18.873;6.588
80;christine92;k5l3fWv9*VuN;Pichon;Victor;2002;7.763;6.634
80;lopezchristelle;v%jsrEktWgi2;Prevost;Raymond;2002;18.755;13.3
80;paulinedidier;0f9Rx#DU%!Dr;Raymond;Agnès;2002;6.445;17.358
80;nathalie70;7N#Fp_sA+AFV;Dubois;Danielle;2002;19.186;6.254
80;cordierjean;1^$uBAyNxLX_;Wagner;Manon;2002;15.981;11.842
80;agnes53;T5kKGzs!V@6O;Blanchard;Frédéric;2002;17.82;3.724
80;mendesluce;00BrbmF3_4VQ;Robin;Thibaut;2002;18.665;14.402
80;aguillot;#IOj5r*5f7Mb;Etienne;Matthieu;2002;7.005;16.958
80;thierrygillet;+1XIxHzXuW3o;Thierry;Tristan;2002;12.314;9.682
80;zacharieleclercq;!0kMPMnRq2HI;Imbert;Olivie;2001;10.058;18.389
80;margaud37;%Qs2JEjxA32f;Coste;Nicole;2002;11.863;9.522
80;benoit62;oZ)*r*Y7f1Du;Dumont;Vincent;2002;8.886;14.207
80;garciasimone;oy#P28BXO_Om;Bousquet;Michelle;2002;13.324;14.161
80;louise79;F$3)*OxmF6Mm;Riou;Célina;2002;6.598;19.526
80;thibaultbarre;Yb2$uKKXo9Ie;Thomas;Jules;2003;3.776;15.063
80;laetitia37;45X(+H^QAT1h;Chevallier;Lucas;2001;3.677;19.412
