idLycee;login;password;nom;prenom;naissance;note1;note2
82;munozadrienne;@0!mnKUx!6hW;Vaillant;Éric;2001;8.486;7.51
82;luce72;0*e1vJgd9j3B;Berger;Isabelle;2002;4.461;11.246
82;adelaide84;wmqF99ZzrFZ$;Bouchet;Émile;2002;12.178;5.506
82;thibault81;SM3@nWrz0w+3;Rossi;Maryse;2002;18.65;14.853
82;christelle87;9m7V_uMfW&FW;Descamps;Virginie;2002;17.811;11.691
82;augustinpasquier;!1hVi#oieM#d;Dumas;Rémy;2002;15.523;17.988
82;laurebegue;Z*sgJ!6bOVeW;Francois;Luce;2002;12.512;8.366
82;bherve;iu80%$TsLE%V;Caron;Noël;2002;16.768;8.3
82;alixdelaunay;h462wvs%&r7R;Dupuis;Céline;2002;14.753;19.501
82;capucineboyer;Ap626kJr6*BB;Diallo;Augustin;2003;5.663;13.679
82;nathaliejoseph;JI6ouaXjYg#A;Leclerc;Adélaïde;2002;9.2;4.607
82;jeannine25;Tm9^DdEFjX)4;Marechal;Hortense;2002;10.181;15.787
82;pichonmarguerite;&1TnVK^Cu2N3;Louis;Tristan;2002;16.561;11.071
82;adelemarion;_PB$WiuWh8ul;Payet;Gilbert;2003;11.655;10.659
82;lenoirguy;1ge(V(l2e+7k;Morin;Diane;2002;15.254;14.462
82;julienfaivre;(QeRgXnXG60Y;Vaillant;Léon;2003;19.261;18.795
82;clemencelamy;@xX@AsLH5@HQ;Diallo;Marcelle;2001;16.914;17.676
82;oliviecolas;XiN2PTq7O)F7;Roche;Vincent;2002;7.083;2.504
82;patriciachauvin;I&hClBk0&1@&;Leroy;Frédéric;2002;15.092;7.405
82;audreychevallier;@mt8H_fQc84V;Gautier;Frédérique;2002;3.457;4.194
82;rousseaumargaud;37TcPRKR^cMa;Perrin;Victoire;2002;18.104;10.387
82;lorrainebaudry;!@pj8@oj!O3D;Ferrand;Corinne;2003;11.406;9.519
82;lgomez;W5nS1BuyC_Ux;Diaz;Françoise;2003;4.608;15.142
82;picardalice;DM5(Octjy+l8;Dupuis;Stéphanie;2002;5.568;6.316
82;iraymond;d6Nqh6Ms%pnL;Pages;Mathilde;2003;4.928;13.845
82;fischerastrid;(6C^FXTXOaqk;Imbert;Théophile;2002;9.317;11.886
82;guygilles;787QDbQAcd$G;Michel;Bernadette;2001;3.53;5.991
82;hoaraujosette;Bu+9UzFx@$RU;Lopez;Amélie;2002;2.221;6.062
82;constanceweber;W)7YeTa0ka0g;Seguin;Tristan;2000;9.174;13.369
82;rdevaux;&iAs$Wxf^d0(;Lebon;Patrick;2002;12.443;15.427
82;frey;T*07VVaD(J6);Descamps;Gilles;2002;5.689;8.172
82;julienmasse;#4YQ8A(x)E)B;Pons;Laurent;2002;17.355;8.958
82;weissalix;%f^lSYq$MTe1;Dupre;Charles;2002;10.598;8.783
82;margotdijoux;$9LmRoO96#K^;Perrot;Olivier;2003;13.649;16.91
82;gcharrier;*&tRYq6qVx39;Gerard;Édouard;2002;4.944;15.969
82;davidbertrand;kgo0p0EqN0d!;Petitjean;Christine;2003;15.131;14.636
82;boutinphilippine;H%!*0mZ%tb7!;Nicolas;Suzanne;2002;19.935;15.156
82;christianeguillot;R8w3(8BtoCu#;Aubry;Michel;2002;11.922;14.879
82;rene36;!0HYDRellN^7;Lefevre;Grégoire;2001;17.194;7.95
82;plegrand;)*J0Ww1t*AA^;Maillard;Anaïs;2002;4.205;2.903
82;eblanchard;ey0T(I8o1_1X;Besson;Dorothée;2002;12.539;18.805
82;daisy52;&*m%umC0+X7S;Leclerc;Emmanuel;2002;14.291;9.426
82;flefort;!G!%%Xb@74IX;Guichard;Susanne;2002;16.145;12.436
82;josephine43;f08JpgjyS(K(;Robin;Jacques;2001;14.885;12.361
82;suzanne01;DirHuIXV^8XP;Pineau;Thierry;2002;10.53;4.145
82;agathe56;C@9aWFZhIADS;Allard;Stéphane;2002;15.681;10.522
82;gcouturier;+Zh0VoruU8SJ;Pereira;Monique;2004;5.073;12.482
82;laurentjacquot;J_a81J8e$&TA;Carlier;Henri;2002;8.093;18.595
82;lucy00;M67vfT8@$YSH;Jean;Alix;2002;15.639;8.227
82;jtexier;_8Q+$u^LqWwe;Olivier;Bernadette;2002;12.853;2.292
82;duboiselise;#72Ke!gWGjAF;Giraud;Gabrielle;2002;6.652;2.884
82;francois67;@6QIjOst*C41;Bigot;Colette;2002;12.807;15.312
82;noelda-costa;hV4*hyMoF^2P;Couturier;Théodore;2002;16.171;14.586
82;camille75;Qv6cAObY*hm7;Laroche;Valérie;2002;8.877;17.737
82;alex62;xJx%bG35H5GW;Moreno;Nathalie;2002;10.702;5.992
82;mariethibault;z8P02SoM)W+E;Diallo;Théodore;2002;14.973;15.39
82;julien43;*QVT#xNcw73U;Parent;Élise;2002;15.292;5.831
82;franckruiz;g9hzeSeq^MCJ;Rey;Bernard;2002;4.997;2.779
82;patricia24;(6F*cIV%v^m*;Dupuis;Yves;2002;10.868;2.901
82;luciegonzalez;%9ayzi_h*2LC;Huet;Adèle;2002;16.392;12.803
