idLycee;login;password;nom;prenom;naissance;note1;note2
83;annelouis;%h9(SX%ir*F3;Begue;Catherine;2002;15.37;2.681
83;cecile06;4fOzh^h^$aG6;Guillot;Madeleine;2002;10.964;17.398
83;shamon;zOyOL0mxm*$8;Hernandez;Emmanuelle;2002;14.039;11.148
83;frederiquebouvier;)F5QO&2aPF6E;Hernandez;Constance;2002;3.89;12.705
83;mariejosette;q7Hy$^GC)5B5;Jacquot;Lucy;2002;15.721;5.789
83;hardythomas;s@R5)Jys@z4_;Guillot;Luc;2002;13.304;16.341
83;fgomez;2QTRGnwm@A1M;Georges;Luc;2002;2.502;2.505
83;ferreirahelene;+X0q2l2LV42Y;Pasquier;Laurent;2002;2.148;18.97
83;elise86;#DilzSjN+5EV;Couturier;Emmanuel;2003;6.308;2.082
83;jeanninelopez;*9DfHyd5^0Yx;Ferrand;Sylvie;2002;13.413;13.168
83;adriennegillet;#7#HMeq6l2Q+;Coulon;Lucy;2003;9.229;3.132
83;oceaneroussel;QX12opJKX%B+;Delorme;Juliette;2002;17.197;4.522
83;qcollin;q_%+jOYv7k9P;Menard;Élodie;2002;11.841;6.138
83;sduval;_p98Y1Bj&(ye;Colin;Manon;2002;18.702;12.518
83;bernardroche;+Nr6)ZthV3w6;Tessier;Laurence;2002;16.076;3.337
83;carlierantoine;05SbebLB@pF%;Tanguy;Franck;2002;4.406;6.514
83;oliviercourtois;oaGG)BGF^hF4;Gallet;Claudine;2002;11.262;3.256
83;gperon;SJ&988Xoz@SN;Andre;Suzanne;2002;5.577;6.264
83;vletellier;aA&qEszHuO89;Thierry;Lorraine;2003;19.705;4.825
83;dorothee13;1uMb13@Iyc%m;Clement;William;2002;9.173;3.117
83;nbazin;9RfBdDk*^5nq;Bourdon;Suzanne;2002;18.829;15.793
83;valentinetessier;7)1M4KylP8Rx;Collin;Sébastien;2002;5.683;5.791
83;ngimenez;@1PA4mpHRVV3;Pasquier;Valentine;2002;14.879;13.455
83;olivieolivier;+U49y2XnGPqg;Renaud;Augustin;2002;19.978;15.465
83;diane04;j6Jb#z@G82L!;Nguyen;Joseph;2002;17.079;19.707
83;nathaliehenry;OQPVhUe$%%8y;Dupont;Michel;2003;5.589;4.515
83;arnaudedurand;Wk%^OLv^n4yD;Prevost;Cécile;2002;6.409;16.622
83;adelaide68;xz)sp9khx@0J;Jacques;Dominique;2002;2.638;12.277
83;perezamelie;d%13#pqQ9S1D;Poulain;Véronique;2002;9.085;12.586
83;thibaultgregoire;%+5pzuz%3AEW;Seguin;Henri;2002;12.314;4.544
83;patrickrenault;pvSvRjgBE_N6;Gomez;Nathalie;2002;5.878;19.445
83;ymoulin;qSu4)5Jr!c5u;Hubert;Adrienne;2002;2.369;18.19
83;kleindaniel;3_Ty0Hq&@X7*;Michaud;Olivier;2002;4.735;9.482
83;ida-costa;(Q&2M2ptoF_E;Turpin;Franck;2002;6.128;14.407
83;bernadette81;)14m@KZQ3eDs;Colin;Matthieu;2002;4.146;8.568
83;garniermatthieu;T62XPIr*(7gD;Martel;Anastasie;2002;14.072;14.486
83;alixbigot;3%#38NfA(%q5;Barthelemy;Bertrand;2002;4.869;11.232
83;thierrysauvage;+(9C*cNi_@$D;Faure;Adélaïde;2002;4.253;9.053
83;lelievrearnaude;^t#6UxoKD6wg;Marion;Joseph;2002;13.108;12.312
83;lucegrenier;WTA)6nEcA_6x;Jacob;Roland;2001;8.53;7.175
83;thomasreynaud;_#SbuhTaq1UE;Wagner;Marc;2001;19.655;17.296
83;alphonsegrenier;l^X*!oLWN4nB;Valentin;Julie;2002;19.042;9.821
83;chantalgeorges;#kfbMnEi(OD0;Laurent;Hortense;2002;15.155;19.008
83;avincent;oPG_C)!xW2Dm;Martineau;Nicolas;2002;15.896;13.65
83;renepetitjean;*5q*HcXV1#D_;Delannoy;Pénélope;2002;10.711;14.7
83;fouquetcharles;73)AHVx8$p$C;Gilles;Nicolas;2002;5.569;6.43
83;yves46;$%bbQmFiCC2_;Julien;Diane;2002;11.289;9.635
83;lucgrenier;4$Br(W3pBS1F;Costa;daisy;2002;17.439;8.068
83;bertinsophie;gXsCWO7k4_Ai;Gomes;Paul;2002;4.383;2.826
83;tsauvage;DZmTT*vH#%9K;Georges;Jérôme;2002;19.53;2.961
83;honoreloiseau;_4$6RtreZx#j;Millet;Charlotte;2002;6.14;4.276
83;maurice61;+&8Xes+rM^2X;Francois;Capucine;2002;15.968;7.851
83;dmarechal;$4OOt0ovGPaf;Picard;Marie;2002;7.26;6.747
83;rlefort;g9LicPdM(7SE;Guichard;Valentine;2002;3.894;14.059
83;simone78;^DfCswiuS(4P;Leger;Margot;2002;5.996;14.803
83;tnicolas;^#&3^Ctv$JYJ;Adam;Auguste;2002;19.056;4.018
83;zaubry;QeR0+WX6I^04;Mathieu;Luc;2002;19.382;6.748
83;dgonzalez;(%7JyXtf_zZX;Blondel;Véronique;2001;18.174;13.037
83;qgoncalves;*@Ze9APaMXVA;Evrard;Sabine;2002;12.155;11.067
83;bbertin;sN7o2Tq3ejf^;Hernandez;Arnaude;2002;15.311;7.354
