idLycee;login;password;nom;prenom;naissance;note1;note2
81;eugene88;fPF)26cxG(15;Lemaitre;Claudine;2002;13.683;7.901
81;franck73;Vd7vOrWAm@tE;Dupre;Margaud;2002;13.378;8.714
81;rossiauguste;%bSGItEM%2bq;Ribeiro;Dorothée;2003;4.077;19.332
81;nlombard;Wlm_ceQy$m1H;Hoarau;Bernard;2002;9.867;9.705
81;augustinboyer;W8_t1qHa@EU0;Noel;Thibault;2002;11.015;7.812
81;thibaut76;^rtAyi&^l^5X;Navarro;Timothée;2002;8.594;12.207
81;aureliedupont;*9xweLnKmUJI;Caron;Alain;2002;12.219;19.217
81;georges66;@8gsBZDm!@Kp;Coste;Laurent;2002;3.8;14.674
81;denise21;#f3paI(3@)Io;Lopez;Marguerite;2002;4.352;14.478
81;alexandria30;7_@8HoIX&D$O;Devaux;Isabelle;2002;12.423;16.265
81;huguesbonnin;!48Qr(Pc#5@*;Launay;Robert;2002;15.034;12.707
81;penelope21;70i*1XHpLKy3;Royer;Arnaude;2002;12.715;16.261
81;madeleinelejeune;)RKASZ0g&1zH;Martin;Jeannine;2002;4.271;7.183
81;ysamson;LJmtCmte(9P1;David;Rémy;2003;6.222;19.003
81;lopezstephanie;TGTA4Ovsn$5#;Dupuy;Alix;2001;16.37;9.434
81;leonmallet;&9q!CCdxFh%y;Tanguy;Guillaume;2002;4.127;17.186
81;kimbert;#(Mp^6GtG@mA;Schmitt;Louis;2002;2.383;7.738
81;agnescohen;F1hDnY9u!$WH;Clerc;Capucine;2001;15.402;10.801
81;camusdenise;&b0Qft+*Acfl;Dupuy;Philippine;2002;6.94;11.205
81;adriencordier;)9SI5w83tvDE;Marchal;Françoise;2002;15.331;14.302
81;valentineblin;g&FWVcei_v7b;Seguin;Arthur;2002;11.375;18.69
81;michelleguibert;os2FW_5L1&1A;Colas;Michelle;2002;11.41;3.717
81;honorede-oliveira;D4C$vsG_*0oR;Colin;Honoré;2002;9.928;10.275
81;zlouis;861DOn^X%#P5;Regnier;Philippine;2002;14.288;17.469
81;robertbarbe;+oPu+Rux4po2;Reynaud;Sabine;2002;14.597;18.95
81;mcharles;8yt@bH3fGY6Z;Cordier;Théodore;2002;6.054;19.265
81;jrobert;@jF$YXvA!z^1;Chartier;Benjamin;2002;14.292;19.753
81;clemencerobert;KPLHRloPW*&1;Meunier;Christophe;2002;14.309;13.906
81;maryse41;9X$KMmF^+d68;Girard;Henri;2002;10.595;3.291
81;theophile77;44@nXsRq9!2n;Klein;Sophie;2002;14.385;14.415
81;leconteguy;*2@Ivx^$M%4b;Dupuis;Brigitte;2002;12.056;10.502
81;munozchristine;$e1Q#xsRmA5v;Torres;Sabine;2002;12.82;6.179
81;margot71;WtU0Br%Xj8*e;Briand;Pierre;2002;4.16;14.932
81;duprealexandrie;Y8cOS7wjFk&_;Aubert;Frédéric;2002;5.292;18.774
81;ruizsophie;2!6po3MKZf6C;Renard;Margot;2002;7.171;11.885
81;lucie16;f0Tumtxy_4U$;Launay;Pierre;2004;11.997;8.779
81;roussetclaire;57S(fRPl($7A;Buisson;Anaïs;2002;5.907;4.053
81;rene93;$A$xJ4s04G5B;Petit;Caroline;2003;7.069;6.183
81;anais62;Iv8EG8pYf_Ez;Roussel;Maggie;2002;17.463;15.52
81;michelolivier;R5%*qJYej&u4;Ferreira;Olivie;2002;15.543;4.439
81;leon78;V#_5m5AgME0P;Deschamps;Christiane;2002;11.073;14.422
81;blondelveronique;okeN0lf8n%4O;Lenoir;Monique;2002;11.271;2.801
81;yauger;t^n5VbQumC+(;Brun;Claudine;2003;12.069;14.43
81;cecile96;S2B^F4&q%bzn;Sanchez;Émile;2002;19.506;9.539
81;marine99;!%h4zOkh@+pI;Dupuy;Cécile;2002;9.793;12.842
81;michellelebon;wm8Bd4gs(t%+;Letellier;Bernadette;2002;10.186;2.83
81;ribeirodavid;5G&FsMl*$03u;Benoit;Corinne;2002;6.133;19.07
81;idurand;jR3wYb^dn&HE;Jourdan;Arnaude;2002;2.48;2.189
81;ericmoulin;_C#YwMab!s69;Fernandez;Thérèse;2004;19.957;19.339
81;sbigot;$1vwsbEYDiDv;Delaunay;Nicole;2002;6.933;18.334
81;imbertsophie;@dLVdGYrmf+6;Carpentier;Alexandrie;2002;18.977;11.532
81;christelleolivier;c!5xxob@MZDI;Baron;Charles;2004;18.537;13.784
81;nlebreton;Zd4DO2pZ(tHT;Martin;Amélie;2002;9.727;11.873
81;margotbenoit;J&$sss9bn0G%;Barbier;Hortense;2002;17.843;3.958
81;jacqueline52;()PJ@Ttj)R0s;Guibert;Pénélope;2002;11.986;7.659
81;josephpeltier;&4KfDceiK9O^;Bonnin;Édouard;2002;13.645;14.24
81;denisdupuis;+@#0(WSlQm@3;Marion;Georges;2002;5.734;17.362
81;ypons;S_02LLj)o7&E;Meunier;Henriette;2003;10.457;11.837
81;marine90;uS0qWyWk@EN(;Guillot;Henri;2002;17.773;9.185
81;hoareauvalerie;9RFEAgDi@fkP;Gomez;Gabrielle;2002;6.92;2.883
