idLycee;login;password;nom;prenom;naissance;note1;note2
84;rollandgabriel;&3Yc*IT1qnsU;Morvan;Laurence;2002;16.939;19.452
84;ufontaine;58GNSYyP$qP4;Perret;Suzanne;2002;17.513;15.585
84;arthurbruneau;P2u7Nzrd_IHG;Lopez;Stéphane;2002;17.64;8.42
84;wdias;8BVa)*$r+1U@;Barbe;Auguste;2000;13.529;9.876
84;noel39;fJZKeT0v$!3);Leroy;Agnès;2002;11.147;15.709
84;philippineguyot;#Ij0UuI4c*rw;Breton;Élodie;2001;16.542;13.555
84;efaivre;F_7s0WjyOs2a;Boulanger;Pauline;2003;3.74;7.998
84;susanlebon;QT(@GHki_6sU;Grenier;Emmanuel;2002;11.141;4.706
84;adeleduhamel;vK87PXy)*@u%;Laporte;Raymond;2002;14.949;17.019
84;astridpicard;8%V7QCwYJrg*;Antoine;Paul;2002;12.235;16.281
84;hubertgilbert;r9mJ9IAw*_xG;Barthelemy;Louise;2002;8.018;8.162
84;susanvalentin;X!@7nYv!ex2O;Salmon;Corinne;2002;7.082;8.32
84;tristanhamel;$MkYNOgx*5yW;Jourdan;Rémy;2002;17.341;11.807
84;maryselebon;N3MPavBu#$NU;Jacques;Christophe;2002;11.236;9.939
84;meyermarguerite;zzC+HtPV75XX;Leleu;Alain;2001;4.912;11.81
84;beguegerard;#8@ZClgF3dy4;Jourdan;Adèle;2002;9.199;9.655
84;andreeduhamel;e%mXJDyen#3o;Traore;Claudine;2002;14.8;4.148
84;blotantoinette;b6dA9^%&*JXz;Faivre;Honoré;2002;16.927;7.719
84;hoareaucapucine;l$8cZh7GBhQv;Mahe;Stéphanie;2002;17.456;14.165
84;nhuet;!pbnKs5974SK;Boucher;Timothée;2002;16.039;15.663
84;eugene54;07OVkmLQ*4Vk;Pelletier;Gilbert;2002;7.844;6.196
84;barbeceline;&jiJCajg&2ES;Jacquot;Nicolas;2002;6.874;5.889
84;monique93;C2#sU4fF@xA7;Descamps;Luc;2002;14.453;11.468
84;alex07;)hh4)sboD3nO;Mace;Sophie;2002;13.684;16.511
84;mblot;_^O8RU!7$BXi;Verdier;Odette;2002;13.033;3.43
84;bertrandmaurice;$C#MF(6nw73B;Clerc;Adrienne;2002;6.812;4.75
84;dijouxphilippe;1%F#3FezQua0;Collet;Patricia;2002;14.897;15.102
84;augustinantoine;*@0e7IWm7!Od;Roger;Manon;2002;13.905;6.713
84;astridvalentin;nM4CAOzxg^ue;Fabre;Hugues;2002;10.301;10.241
84;camilledelahaye;gtkcMkpY^A6W;Leroux;Denise;2002;2.031;6.567
84;alaporte;(RL^1Sj72AI&;Leger;Gilbert;2002;15.513;8.58
84;falbert;qn7voNKb$XiG;Collet;Suzanne;2002;2.85;7.238
84;victorschmitt;^%TrXeteS0Bv;Rey;Jérôme;2002;19.898;19.397
84;obreton;5e*9AAxhBcEH;Marques;Noémi;2002;10.668;12.67
84;iphilippe;UEfpEQh4_8UI;Laporte;Julie;2002;17.547;9.163
84;mdaniel;alGJbXHx(p0P;Lacroix;Claudine;2002;2.106;2.609
84;aschneider;#i4KWqj_XVLw;Hoarau;Gérard;2002;18.817;4.103
84;suzannemeyer;(3)HE2Gv@x2P;Michel;Élodie;2002;15.201;2.883
84;leroythibaut;f8Y6EJVf+PS4;Maillard;Clémence;2003;13.385;3.867
84;gilbertmarchal;fx_30EAlk4xn;Rey;Julien;2002;14.985;12.264
84;olivie86;)2Cxkj*NuKM4;Gilles;Laurent;2002;3.124;6.797
84;thierrypetitjean;Nq2X1MaUq4@(;Cousin;Sylvie;2003;16.224;6.08
84;michelbousquet;EFmTEKpsF_@7;Duval;Océane;2002;3.228;17.66
84;zdos-santos;&5sCc)Qv@+YT;Barbier;Christophe;2002;7.183;12.106
84;baudryanne;tTC8LVxM_2)j;Delattre;Nicolas;2002;13.889;11.8
84;rouxbenjamin;*tEN4!Eufx^J;Bailly;Vincent;2002;9.728;15.011
84;schmitthenri;%bVTCIYifI0@;Vallee;Guillaume;2001;7.377;17.813
84;lboulanger;5lh^UL8y)cB(;Garcia;Suzanne;2002;3.229;14.49
84;gilbertlucas;_PgJO^mrP7^K;Riou;Adélaïde;2002;14.232;18.176
84;rrenaud;%91^ueJ97QXv;Fernandez;Roger;2002;3.262;19.009
84;gilbertfournier;s1IALr5A%2ZH;Fleury;Zacharie;2002;14.437;6.387
84;laetitia59;u0PusyTt#5NX;Grondin;Jacqueline;2003;9.907;3.043
84;lombardaime;$RLfBFyg$4!d;Letellier;Luc;2002;18.498;8.321
84;mariestephanie;4!SsV1*yaT9#;Charrier;Alice;2002;7.394;15.922
84;virginie82;%DP&V0bV0IgV;Carpentier;Frédérique;2002;17.234;9.918
84;pauljacquot;#yyyh!Yh0yWw;Lombard;Antoinette;2002;16.747;17.016
84;zantoine;^9_t_$Ag6*Gq;Dumont;Philippine;2002;14.399;5.683
84;aimelaurent;W!6)wFes@8qS;Delaunay;Grégoire;2002;8.143;12.309
84;costaalain;^D3LnQv*VaaM;Lebon;Stéphane;2002;7.433;15.259
84;pelletiercecile;z7FZd+*u)#%N;Lecomte;Inès;2002;17.371;18.45
