idLycee;login;password;nom;prenom;naissance;note1;note2
85;pfontaine;%7CzRw%V19Ym;Duhamel;Anne;2002;6.154;5.552
85;nathalielecomte;+IdTEVcg0T52;Etienne;Franck;2000;4.865;8.372
85;richard42;GIjp25pst@Oq;Lelievre;Mathilde;2002;17.263;7.904
85;mchartier;3rcun#CR^iR1;Huet;Anaïs;2002;16.459;10.519
85;isabelle69;0!4fSkht!dg7;Nguyen;Éric;2002;6.129;8.471
85;capucinerossi;c#7@r1WwujY(;Meyer;Michèle;2003;14.538;10.682
85;fmartin;R*0KG8dyaZXS;Ribeiro;François;2002;13.147;11.758
85;roussetmargaret;Q+$8V5Qke8qp;Coulon;Zoé;2002;12.478;17.065
85;alixclerc;IA4q_Gklo(EW;Breton;Arnaude;2002;14.202;16.398
85;wgallet;bAFWXVjv%8YP;Bonnin;William;2002;5.237;12.293
85;guy29;*mpiRVppB8cL;Hernandez;Maggie;2002;18.635;5.364
85;emilie36;#!8An1V5MCS$;Dumont;Alix;2002;6.133;13.357
85;laurencerossi;aF5aDUbbRt$p;Rousseau;Isaac;2002;16.864;10.826
85;delattrealexandre;+iMOF5Qv12Lz;Moulin;Alix;2002;14.999;3.98
85;vmarty;H)mlFKduD$8B;Lefebvre;Vincent;2002;7.882;13.309
85;aimeelopez;eQT5YLkp+3%8;Martin;Hélène;2002;4.536;11.767
85;astrid24;$6FR1Ttc(zWJ;Laine;Marianne;2002;8.487;10.064
85;marguerite36;BnpGwXw_e!8z;Barbier;Mathilde;2002;10.689;5.261
85;cleduc;^b^JMMq8f^8);Allain;Gérard;2002;19.942;6.55
85;lefebvrenath;)BW_B2pev)uE;Allain;Adrienne;2001;11.809;10.538
85;klefevre;o%Z#zgnSXn9y;Hardy;Manon;2002;13.857;4.907
85;isabellechevalier;+SQUwfwd*7wQ;Andre;Yves;2002;2.095;14.518
85;fournierelise;Cq(CJ%Py0!3L;Guyot;Olivier;2002;4.27;2.51
85;coletteperret;_6ffJmTo$MZ!;Dias;Nath;2002;8.164;9.904
85;therese47;_DP#EwJ!ei6a;Masse;Odette;2002;9.867;11.9
85;gaillardmarianne;i9xA1l$do20+;Jourdan;Adèle;2002;19.734;7.796
85;chenry;zrRU%zTEH(6V;Mary;Honoré;2002;18.787;4.798
85;le-goffalfred;@9Lz)W$jPdi_;Mendes;Louise;2002;10.293;2.389
85;claudine00;+rjJvP^813^2;Carre;Danielle;2002;6.478;16.044
85;henri62;2IGtHo4F+_h%;Roy;Frédérique;2002;10.865;4.383
85;zacharie75;^6yj_BjO!ayg;Leroy;Gilbert;2002;11.606;11.329
85;wfoucher;IHGFfXt^!^0I;Ollivier;Léon;2002;14.794;8.147
85;william72;+65RQ&zwfv$5;Simon;daisy;2002;7.415;4.916
85;qbigot;3N#0JANX@jgc;Lemaire;Sébastien;2002;3.895;3.225
85;agathe29;(Wx9DQahK9bW;Jourdan;Alex;2001;9.333;15.636
85;gomezjean;+6#SSq1hqxHd;Robin;Agnès;2002;11.75;10.993
85;zperrin;+nJC#*a8D9RT;Delannoy;Michelle;2002;16.335;19.491
85;josephinehamon;#HYZo!rd)8oh;Weiss;William;2002;7.871;7.608
85;michel04;_6t3jrW151G$;Leroux;Jacqueline;2002;3.041;2.791
85;olivier51;40XWrkcid_0l;Chevalier;Noémi;2002;6.919;2.082
85;lucemaillard;hv5xZb&dF&wt;Gillet;Suzanne;2002;8.586;17.285
85;pasquierphilippe;VnwR%wLx0)8N;Weiss;Guillaume;2002;14.422;17.365
85;gilleslegros;@uN%^N7z@1LA;Antoine;Bernadette;2002;2.668;19.943
85;pdescamps;b44guYfub%_6;Ferrand;Denise;2002;16.764;9.743
85;hfoucher;!tPETDSlj2Gg;Peltier;Marcelle;2002;13.938;2.293
85;marguerite46;MSf&7H2lwIB_;Cousin;Inès;2002;9.771;15.515
85;isaac09;mjF2qL$Y!JHD;Delattre;Inès;2002;19.953;9.638
85;mathildelesage;0^YVb%@g@exU;Chauvet;Julie;2002;13.477;14.242
85;athierry;*gl6EUun4FA&;Launay;Maurice;2001;5.522;15.269
85;gomesamelie;j+0zvJ9bKsBT;Bazin;Timothée;2003;7.642;12.878
85;charlotte72;*raE5daJ#c7p;Dijoux;Marcel;2002;2.479;17.097
85;agathe92;UP^t1^m*^e9F;Bonnin;Martine;2003;18.165;14.798
85;lucegiraud;7X_J0Pqd*o&O;Klein;Madeleine;2002;14.465;15.433
85;jeanmeunier;B&VN3SzQ*U2j;Marion;Juliette;2004;2.113;14.083
85;margaux74;XQclezZ@&7BQ;Bouchet;Sophie;2002;18.663;17.701
85;vincentodette;)OwUZxkxn8Mu;Petit;Jean;2002;5.276;2.468
85;jbreton;WrwgCpgw*)5T;Vidal;Margot;2002;15.759;13.343
85;marcde-oliveira;Vr6FWTeK0z^@;Fischer;Auguste;2002;16.396;4.919
85;william84;WU+l9YwaQCB);Rey;François;2002;14.797;13.905
85;ericperrot;!s(nV4kt35C8;Bourgeois;Patricia;2002;9.187;12.152
