idLycee;login;password;nom;prenom;naissance;note1;note2
86;valerie30;t(zD%DAg%u9W;Pages;Vincent;2002;18.049;10.609
86;elisabethnormand;(6&+3fJnaDGv;Maillet;Anaïs;2000;8.692;7.407
86;susanne96;il1^gijYCTYR;Robert;Augustin;2002;2.886;15.472
86;delattremanon;&2IGMMitc7Z&;Legros;Léon;2002;12.438;11.148
86;de-sousaalexandre;LGt%IAw9#z20;Boyer;Célina;2001;15.407;10.153
86;margot89;4AS56WTtP^9g;Raymond;Camille;2002;18.735;10.158
86;gilles85;C9O#0e_XLJDX;Royer;Frédéric;2002;2.086;11.746
86;charrierelodie;k0Kv7MYq#44!;Dupont;Alice;2002;12.975;17.826
86;thomashumbert;$4WltKBq@*3p;Sanchez;Thibaut;2002;10.842;10.348
86;ericcolin;%eGgns%0x2nC;Cohen;Julie;2002;2.695;12.604
86;wdupuy;J0KXb0h#^JuS;Collin;Caroline;2002;12.936;16.943
86;rnormand;&0UNIuy^C71);Girard;Lucas;2002;6.699;9.402
86;therese75;+S+sKWwi79Pr;Bazin;Inès;2003;7.953;8.651
86;raymondperret;U9u#XCcj(vHB;Dufour;Élodie;2002;15.144;19.265
86;antoine09;&2G)8uPE(9XE;Peron;Amélie;2003;5.962;14.831
86;martinsantoine;mG2Zs3jhqK+);Roche;Zacharie;2001;10.458;9.915
86;zjacob;1dhSuhv%@4&F;Daniel;Margot;2002;10.053;8.277
86;zrolland;gOt&Vidj$h0d;Verdier;Guillaume;2002;6.335;18.556
86;anais92;#9xbR9m%9lTh;Gonzalez;Michèle;2001;11.412;19.815
86;jeanlucas;R%Tp3BpJ@t_);Jacquet;Marianne;2002;16.813;15.466
86;bpicard;!8Rp!tnU6#lC;Vasseur;Agathe;2002;3.275;11.546
86;plemonnier;X)p9&CZd+W0!;Dupont;Inès;2002;5.727;4.182
86;anneboucher;#yJEQ%ir32V8;Rey;Nicole;2001;19.424;13.855
86;claudeimbert;Pk*64EFnn*1P;Bousquet;Roland;2002;7.976;3.562
86;ferrandjoseph;Avk&QOgD#h+6;Toussaint;Luce;2002;11.589;13.614
86;alain29;a9+HwNtE$y13;Michel;Paulette;2002;5.615;4.857
86;vlelievre;1aB9VRdan&46;Maury;Jérôme;2002;13.036;5.151
86;gmallet;VBlf1WUl_Mvl;Tessier;Catherine;2004;2.787;4.549
86;gabrielle53;^1tO)Soe!TOn;Leger;Tristan;2002;4.714;7.053
86;patrick60;t&TM$U!p_k5I;Leroux;Xavier;2003;14.56;15.753
86;benoit22;*3f#AinzQvsH;Alexandre;Michèle;2002;14.166;17.42
86;delaunayfrederic;aM9B9Cmh&0S6;Voisin;Richard;2002;12.685;17.199
86;blondelgilles;_7uXnBjxUTp&;Guillot;Élodie;2003;6.748;4.473
86;obernard;c6n5fNG_!kRH;Imbert;Brigitte;2002;14.739;9.788
86;perrinlaurent;#kTz$amiw1V7;Hebert;Virginie;2002;18.368;9.433
86;lucasrousseau;+ysWLbv3!B06;Jean;Noémi;2002;15.083;11.938
86;andreeclerc;v^0XprOmz2Eq;Boucher;Constance;2003;12.285;11.649
86;laurencemartin;^cU+oIE7l6Os;Leduc;Franck;2002;10.342;5.92
86;benoitmercier;lgp0DXLro*b4;Becker;Colette;2002;8.545;18.175
86;coulonadrien;aZ%U7P@nbKUX;Merle;Stéphanie;2002;16.736;11.034
86;pclement;7BV$%3FCg7j6;Costa;Édouard;2002;2.815;15.368
86;rousselsabine;$CBc6&h$35Xl;Vallet;Anastasie;2002;15.013;16.814
86;bodinsimone;ut0lI7Xm@OFN;Loiseau;Denise;2002;5.292;19.349
86;aguibert;4L0frVvUG_hE;Petit;Anouk;2002;14.143;17.546
86;michelledavid;8wZ1H^LN_dTA;Lecoq;Astrid;2002;9.342;13.145
86;aurore48;X7%7G%FwM5F#;Lefevre;Yves;2002;11.723;3.331
86;cohenpatricia;i9!2pucC(6iQ;Brun;Marguerite;2002;3.943;10.691
86;suzannepelletier;yq6(UGxa$pq+;Cousin;Édith;2002;19.359;19.472
86;lsimon;*STNV+ph4twn;Dupont;Catherine;2002;5.58;10.206
86;roymargot;1$d&aZ^zdBRR;Chauveau;Margaux;2002;2.873;5.613
86;mdelattre;dT91@%rREX%U;Dufour;Anne;2002;4.671;19.111
86;pariseleonore;e5Rpq_dN@&$6;Martinez;Laurence;2002;7.889;11.104
86;emmanuellegauthier;AQGjXtVn!Wf1;Giraud;Zoé;2004;7.803;4.905
86;mrousset;$YdyOhz9Sr2*;Lopes;Victoire;2002;9.652;12.811
86;robertelodie;3UVf+E3R#79*;Marion;Alex;2004;5.899;14.292
86;jacques77;f#0Sz^Rws4w8;Rey;Martin;2002;4.674;2.638
86;dorotheealbert;_!^62C_r^$jV;Barbe;Georges;2002;17.349;18.096
86;laetitia65;wx)EJ$Lgj%69;Dupuy;Martine;2003;8.661;16.102
86;ipruvost;s9@b*XIX_$G#;Valette;Alexandria;2002;9.519;8.237
86;michel24;I%x0!Jb%XI5#;Maillard;Nathalie;2003;2.601;19.599
