idLycee;login;password;nom;prenom;naissance;note1;note2
88;tdelorme;_bJT0XcFr2CU;Torres;Océane;2002;3.222;2.584
88;vbruneau;(8HL^N#sVzC(;Tessier;Jeanne;2001;15.418;2.1
88;giraudmargot;itpUIZgvmS^8;Fernandez;Anne;2002;12.183;19.932
88;georgesphilippe;U(Q&_6DosR9B;Chauvet;Michèle;2002;7.068;15.531
88;benoitgabriel;Cp#E!2Jzj!_t;Lecoq;Hélène;2003;13.903;4.24
88;jean49;__u#&FbF4JYf;Leblanc;Augustin;2002;13.16;3.988
88;barbierdorothee;%J5djkghKGzV;Prevost;Alice;2002;16.684;18.752
88;galletalain;*Va*zTae8YqA;Courtois;Joseph;2002;16.903;19.206
88;paulette34;^_7BtJdws1%R;Leconte;Mathilde;2001;11.341;13.127
88;wgaudin;!Fue6Rbk(%gx;Aubert;Gabrielle;2002;12.181;18.366
88;nathalie13;z^0Jr(law0YY;Carlier;Gabrielle;2002;11.027;6.292
88;cecile07;ulWFbYaI@jZ3;Jacques;Odette;2002;9.434;15.311
88;dominiquefernandes;8c!6iP0d+dCy;Petitjean;Julie;2002;16.299;9.111
88;aimee62;S%q%3CEsLPm7;Roche;Alex;2002;19.274;13.135
88;leclercfrancoise;YdedH5Va%Q8E;Dijoux;Bernadette;2002;18.933;14.051
88;bguillou;J*)UvOQcwk3N;Morin;Virginie;2002;17.049;12.098
88;maryse28;b+GKc8s&oMnB;Chauvin;Denise;2002;10.138;15.49
88;timotheeboulanger;*2Z#Lv(q!h%d;Joubert;Yves;2002;17.007;11.838
88;olivierperrin;vUitH9wqd_8Q;Thierry;Inès;2002;3.335;4.676
88;lucas62;9ZeM_#NnNYK_;Barre;Danielle;2002;11.534;6.85
88;leclercrobert;Xo9QxFYUx%#E;Roy;Adrienne;2002;18.426;3.832
88;lraymond;_3@qTuy0SgVa;Pierre;Jacqueline;2003;18.168;16.999
88;delattrethierry;w_&3NQce2Lm1;Boyer;Noémi;2001;14.35;8.134
88;ferreiravictor;ask6wI3N(*SL;Gosselin;Frédéric;2002;19.026;11.315
88;aubryalexandre;v+J^W3H6Wd8G;Morin;Thibaut;2002;18.423;19.301
88;duboisdominique;(4MFp!Pi*35x;Seguin;Adrienne;2002;6.014;15.089
88;alexandrialefebvre;SyaXVF^d%97J;Delmas;Éric;2002;13.449;19.996
88;cohenguy;#2&eopGuJ!W8;Guillou;Alice;2002;18.031;10.259
88;suzanne02;4X(c&JKg)q1v;Dupuis;Louis;2002;13.868;10.379
88;bretondiane;*7BB8p9GLB5D;Weiss;Timothée;2002;18.531;15.2
88;matthieu67;em!45CuW7!H7;Gregoire;Anaïs;2002;5.181;18.436
88;cchartier;9^M&xEt7D^E2;Chauvet;Emmanuelle;2002;18.403;16.362
88;lleveque;_N@dLSmIi285;Prevost;Isaac;2001;2.537;14.661
88;virginie55;ltQSKWPv#g2h;Cordier;Alex;2002;5.936;15.452
88;anouk10;*92^q5ceRQxV;Morvan;Hortense;2002;12.385;4.741
88;rolandcordier;)0v^9MynzfP6;Costa;Catherine;2002;6.973;18.167
88;davidlegros;cF@Jsau8BH0E;Legendre;Bernard;2002;9.697;14.138
88;gillescecile;fuH^@CZp633V;Lopez;Patricia;2000;2.414;14.007
88;vguillon;6WCZuFs2*C8y;Delannoy;Nath;2002;17.292;15.097
88;christiane26;aYrVsrJg(5+_;Camus;Céline;2002;6.24;9.047
88;imeunier;C00kb6x8$26O;Barre;Marc;2002;13.095;7.728
88;clairebertin;yM2CMeXn)@Qm;Michel;Gabrielle;2002;14.92;12.279
88;danielle45;pQ61O@b@+Hsg;Delmas;Cécile;2002;5.881;14.141
88;oliviernoemi;1x*0)JTipT2D;Levy;Jeanne;2002;9.664;16.328
88;lucielecoq;V7t80CanH^#Y;Fouquet;Clémence;2002;11.143;9.145
88;julieblin;)!96qLo+peb%;Brunel;Madeleine;2002;19.724;13.285
88;suzannebrunel;Vzgh3MMrJZ#j;Pruvost;Joséphine;2002;13.393;13.911
88;olivielebreton;+7fSe5DmYsTz;Guillet;Mathilde;2002;11.82;18.793
88;celinedijoux;ku^3Oc9I)A#T;Picard;Cécile;2002;18.742;18.475
88;rene78;auxuGtKJ$8k*;Perrot;Margot;2002;7.657;17.658
88;sebastien60;_#6Md+)+V@HW;Olivier;Noémi;2002;5.587;10.254
88;tlacroix;2ov*_!ZJ)ITD;Bruneau;Raymond;2002;6.413;10.101
88;claudedelahaye;*u95Mzxo^NXK;Dupuis;Bertrand;2002;7.659;3.86
88;elelievre;1)HVOuNx_fU0;Carpentier;Pauline;2002;4.776;9.125
88;nicole32;13LW&5pn^Y0H;Dupuy;Julien;2002;5.804;18.891
88;anouk16;s89bXml2y+^U;Blot;Henriette;2003;6.33;9.0
88;idavid;Xyw#6G)@o!o4;Samson;Adrien;2001;3.222;19.706
88;laurent89;8k(6MkPkyO3O;Diallo;Zoé;2002;14.345;8.708
88;wagneremilie;_B%Q9ncJ()7V;Didier;Océane;2002;8.569;16.089
88;spineau;N&1tJt5QH9km;Guichard;Aurélie;2002;10.381;10.302
