idLycee;login;password;nom;prenom;naissance;note1;note2
87;adumont;#oh1!XlsG(0f;Joseph;Noël;2002;10.913;15.714
87;andree68;@RS@k#sqo9rW;Chauvin;Sébastien;2002;16.281;19.095
87;aime21;n@7#Uc3#dtGi;Perrin;Denis;2003;15.42;2.514
87;julesbazin;+SNDx+To3*eh;Masse;Bernard;2002;13.242;15.777
87;nguyenclemence;!Th(K9JwXBv*;Fernandes;Adèle;2002;11.946;11.134
87;christophegallet;^$9^TatnYDNE;Lacroix;Monique;2002;18.221;19.931
87;bouchercaroline;)C8$GyJxK*lS;Clerc;Timothée;2002;10.319;10.159
87;adelaiderousseau;U$H9PyBsaM1g;Dupre;Isaac;2002;10.908;9.415
87;elisabeth43;+y6b9LhQvEBK;Fernandez;Zoé;2002;9.596;12.51
87;raymondtessier;b1)KaKqM+*_V;Jacques;Patricia;2001;7.301;2.206
87;helenerodriguez;_TKHja)iG6_Y;Guibert;Yves;2002;8.334;8.204
87;ndevaux;@itOJIxoRaM8;Maillot;Clémence;2002;6.983;7.953
87;nathaliebarre;q^$82APzNDU2;Lemaire;Lucas;2002;18.783;4.41
87;setienne;44FpeJi&)s!H;Lefort;Célina;2002;17.439;15.428
87;christophe41;s#I$rrUUB+1S;Raynaud;Gabriel;2002;2.906;5.099
87;xchevallier;6%O%E4FiyN44;Pasquier;Célina;2002;10.487;12.407
87;weberbrigitte;wz+0LVj2&p3a;Perrin;Sébastien;2002;7.407;16.724
87;wleconte;h!bI_7d^U(0M;Parent;Nicole;2002;18.782;19.548
87;grosbernadette;&6Fmc&Ak51();Guilbert;Claudine;2002;8.071;14.533
87;alphonse33;#SRD6tji6jCv;Robert;Adrienne;2002;7.25;18.959
87;wteixeira;ShaBVwyi%4qO;Vallet;Stéphane;2002;7.915;18.893
87;andre72;$96ASu7ZXKKV;Imbert;Odette;2002;4.245;13.489
87;plelievre;GT0*r64kp3kA;Clement;Honoré;2002;19.138;6.196
87;pascalnoel;4bU3DTP%A_s9;Alexandre;Victor;2001;10.905;16.597
87;bernadettemerle;&ZKAU6aTI_4r;Bousquet;Aurore;2002;19.323;9.717
87;antoinede-oliveira;IFC8MnsYA^0x;Guillot;Georges;2002;18.979;6.646
87;edouardramos;(lKYwaQf0Pk1;Leclerc;Anastasie;2002;5.588;13.053
87;gregoirejoseph;%ERdNpyca2Oa;Vincent;Constance;2001;9.409;5.309
87;michelle02;WYr*rcjs4v4G;Martin;Hugues;2002;13.817;16.25
87;hdos-santos;rtDcDYxn+!8a;Riviere;Thérèse;2002;13.49;15.671
87;ncourtois;I5BjCP9g!u0(;Navarro;Richard;2002;5.033;17.66
87;duprepierre;1zJ0mxQo(4#X;Petitjean;Odette;2002;18.347;15.127
87;lucebrunet;p9NF$q#%((OM;Delattre;Adèle;2002;19.94;14.662
87;denisefaivre;x0L+%+8di2uj;Rolland;Frédéric;2002;3.545;6.136
87;blanczoe;#AOkG2IeY9t);Ferreira;Roger;2001;9.964;3.782
87;torreselisabeth;_0ZsueSacPDm;Normand;Thomas;2002;6.198;11.778
87;trousset;_bAR)ZV3(8$k;Lagarde;Isaac;2000;19.297;9.154
87;gregoirelacroix;Om5XF7vqqy%p;Lebreton;Martin;2002;7.134;15.904
87;nicoledelannoy;pOg#kiMR)$9D;Klein;David;2002;3.08;2.308
87;margueritesamson;iHm+RhKi!0Ot;Jacquot;Antoine;2003;16.782;10.462
87;nrichard;Zm!KFhScU(e7;Monnier;Nathalie;2002;16.542;2.667
87;kleclerc;M8UhOoq1n6#d;Pires;Anne;2002;19.68;13.573
87;paullemoine;2j7^RqLC4E)R;Bernier;Sophie;2001;3.209;9.745
87;carliersabine;zdv#%Rbzi0fN;Baron;Emmanuel;2002;3.021;9.341
87;carolinecolas;@8vENyqk$RG1;Benoit;Christelle;2002;17.889;7.786
87;legermarianne;$I5C!Zhs$V(!;Bertrand;Michel;2002;18.047;4.779
87;dorothee72;_YDSSUvb_K4P;Renaud;Guillaume;2002;9.75;19.67
87;anouk35;4@pG(Stfib5A;Renault;Charles;2003;9.152;8.192
87;alexandre31;T3vxJiuR_eG1;Royer;Anouk;2002;5.054;3.302
87;beckerhugues;0a#6XBo#^$zz;Blin;Luc;2002;16.856;11.624
87;vpetit;^d%5gLlpEO0a;Chauvet;Capucine;2002;5.01;19.69
87;philippesanchez;pf3VkxHTQ%)U;Hernandez;Nicole;2002;14.544;18.36
87;denisecharles;&1VLnj9cKRpX;Andre;Zacharie;2002;9.845;2.374
87;danielteixeira;4vElEqO*+a4_;Lelievre;Paul;2002;12.297;9.433
87;henrimahe;q_1hzIjsc&IZ;Lecomte;Jacques;2002;5.227;5.986
87;pruvostalexandrie;^ISDZYqotD%8;Renault;Dominique;2002;11.739;11.518
87;svidal;((21PC8hF*NI;Berthelot;Adélaïde;2001;4.444;6.19
87;dominique63;*EGa6GiUhjN7;Girard;Jean;2002;4.113;5.792
87;penelopefouquet;+%FcK0cCbC&4;Pereira;Michèle;2004;12.265;16.896
87;martelmatthieu;_b%st*3!33Ae;Salmon;Valentine;2002;4.552;7.113
