idLycee;login;password;nom;prenom;naissance;note1;note2
90;ericdavid;JXQ9nVux4O_$;Poirier;Timothée;2002;8.75;19.715
90;colette15;8@pyhDqD$2BG;De Sousa;Laurence;2002;11.981;4.884
90;mauricefaivre;$c19vpwlk3V2;Besson;Corinne;2002;6.802;6.314
90;udelmas;m9O^WYbLYr%P;Tessier;Gilbert;2002;19.446;11.859
90;ericmartel;$7p%PiFt_jgJ;Pichon;Alexandrie;2002;6.442;17.997
90;noelisaac;r@YKGxlcP+3o;Camus;Nathalie;2002;12.77;4.39
90;pelletierchristine;&vzWw^ODN!6W;Bazin;Nathalie;2002;12.717;7.41
90;chauveaumaurice;%+4UmqB_B9tp;Bouvet;Anastasie;2002;14.281;9.407
90;weisscaroline;A5H!72Pfpw@4;Valentin;Camille;2003;8.473;9.321
90;paulette81;qNewmQWu2(97;Potier;Tristan;2002;14.974;3.551
90;duranderic;N&X0NZnSjtN6;Lacroix;Nicole;2002;5.972;2.405
90;adelaide57;VCOcBEaX%J&8;Weber;Zoé;2002;18.522;9.137
90;oarnaud;CQ9ttSAw&5N#;Laine;Agnès;2002;5.686;6.18
90;arnaudemuller;%mBP7Vtbef%w;Sauvage;Emmanuel;2002;12.675;2.738
90;christianeseguin;!R!r49Gpj1%+;Gregoire;Virginie;2002;7.01;10.639
90;marieconstance;56OZgN!S!j7x;Moulin;Alphonse;2002;14.588;10.868
90;marineleclerc;OlOkCo(F(5Eh;Albert;Sabine;2001;10.213;2.174
90;veroniquegomez;350dTmzpJ)pO;Guillet;Luc;2002;13.241;12.383
90;ubonnin;ioy4*6Ac72cm;Lacombe;Thibault;2002;14.356;12.513
90;sgillet;&9QD+ijn+fQ3;Bousquet;Marthe;2002;14.066;5.663
90;ybruneau;KCiNo30_p$5W;Schneider;Olivie;2002;19.378;18.028
90;richardnguyen;A(0DOkqeJoSF;Gregoire;Geneviève;2002;8.139;5.3
90;uperrot;TKI@7HGnNt9f;Fabre;Noël;2002;5.488;7.172
90;gcolas;3$_aRe4z^ZYL;Roux;Gilbert;2003;5.498;11.407
90;beckerlucas;FJk6AllTgL(^;Leconte;Gilles;2002;10.212;15.959
90;eugene36;rNT6X_HbO^R1;Legendre;Victor;2002;3.298;4.805
90;astridrenaud;7wvt+TYY_fJd;Pierre;Agnès;2002;9.917;15.562
90;arnaude47;p+LKud(K_$58;Normand;Aimée;2002;18.945;18.493
90;michelle38;d9NUixtq_^8R;Blondel;Charlotte;2002;3.797;13.708
90;aubrytherese;%Au6Yy7o55JP;Vidal;Nathalie;2002;13.459;9.008
90;gilbertvincent;)KdEikRg)$8B;Guibert;Mathilde;2000;2.151;9.687
90;gregoirefrancois;*lNYov8nD88n;Lamy;Margaux;2002;7.903;17.625
90;adidier;$P^JEdG5_Q8!;Thierry;Corinne;2002;18.307;2.257
90;marcbarthelemy;2uglhRQdQ+$4;Navarro;Isabelle;2002;7.566;17.474
90;emerle;An+ETy_wjjb0;Simon;Monique;2002;6.749;13.482
90;olliviernicole;s8pA+@4gYf*(;Goncalves;Gilles;2001;8.552;5.989
90;margueriterey;^uu4c#a!u6Z*;Lemaitre;Adélaïde;2003;2.453;12.96
90;jnormand;&0*C*IjJGMo(;Dupont;Audrey;2003;8.513;2.062
90;benoit32;1q8iQrRSH(xd;Rolland;Charlotte;2002;12.999;8.402
90;francois71;VW+Z&Ej&3_4a;Jean;Audrey;2002;17.192;18.591
90;elisabethdiallo;D0HL+xNw!HA2;Tessier;Nicole;2002;3.69;2.868
90;maryse00;*AW2MhmkG0iX;Lesage;Zacharie;2004;12.933;5.689
90;elodierenault;H!STYHbqyEr0;Lefebvre;Maurice;2002;7.366;11.336
90;xavier19;H2^1FZZvkg^8;Martineau;Alexandre;2002;2.364;14.136
90;capucine25;^cX7zEv5)NH);Lagarde;Émilie;2002;9.685;15.462
90;aurelielemoine;n&mXEzo6GH%0;Auger;Arthur;2002;10.834;8.301
90;pierre36;w52b7!db&Q8P;Renaud;Marc;2002;9.47;4.587
90;delattrealex;V1Dt+f+y&7Yr;Lemaire;Jérôme;2002;4.937;4.726
90;alanglois;FogVNdjj+F4#;Pereira;Jeanne;2002;16.992;8.775
90;meyerclaudine;v$5Vq+lnXRuK;Baron;Émilie;2002;14.619;17.107
90;philippine99;)(dK1Ia5Bpbf;Ramos;Danielle;2002;11.763;4.55
90;bonnetthibaut;$4_kNl(bn8kI;Georges;Manon;2002;15.718;15.54
90;chantal25;5^a38%Fw3+*S;Mary;Stéphanie;2002;12.144;5.156
90;barbesabine;*05Lux(%kvoL;Boyer;Danielle;2002;7.289;14.975
90;alixguillon;V+1uh+Xj$yg2;Moreau;Alfred;2001;5.53;6.292
90;odettegerard;+VrLCl@zh6GE;Vidal;Laurent;2002;16.774;8.236
90;massonclaude;(FRqWRxp9JaZ;Guyon;André;2002;15.094;19.071
90;philippinemorvan;%0uYdRLp6Uer;Fouquet;Denise;2002;14.579;15.745
90;robertdavid;)79OjoFf&PS(;Valette;Thibault;2003;10.873;7.684
90;robertmartinez;bQ76rP3JY_OF;Valentin;Stéphanie;2001;3.86;2.052
