idLycee;login;password;nom;prenom;naissance;note1;note2
91;victoire46;6*4l(XMglbj#;Vincent;Stéphanie;2002;16.011;8.647
91;alevy;6Lmpi1i#&lZW;Joly;Christelle;2002;5.513;6.35
91;sabinelacroix;M$9ett7N&lLW;Dijoux;Maurice;2003;4.558;6.062
91;fernandesguy;675tisWM*GSG;Faure;Pierre;2002;2.454;16.175
91;claire64;$8(Q8Pnr4Yp#;Techer;Laetitia;2000;5.31;10.846
91;remyimbert;Nf0I15s4M@zC;Rodrigues;Véronique;2002;12.936;7.906
91;laurentleclercq;+Z50Xc3a$15k;Gallet;Manon;2002;13.492;9.754
91;barbiermarine;9u7vHf9j(FZr;Brunet;Claudine;2002;15.067;18.853
91;dumontanais;b1aCbVfi$_M5;Baron;Marc;2001;5.063;11.631
91;blotmarcelle;kra4KxkL3*b4;Collet;Lucas;2002;14.037;17.793
91;fouchergerard;71bHCw%T)A8J;Camus;Michel;2002;14.881;16.072
91;ynavarro;w$9#UcAh$jCz;Chartier;Isabelle;2003;16.85;13.696
91;marcellegros;(x!8RJ3aHkUj;Legendre;Thierry;2002;19.031;6.245
91;davidmonique;tZj8ljHwOd%V;Chevallier;Nath;2002;15.349;15.222
91;michelle36;4Q_pSxzDo5o1;Lemaitre;Audrey;2002;5.833;19.508
91;patriciaguillot;EDQ+0CxTK&(0;Langlois;Simone;2002;15.36;2.224
91;salmonchristiane;&DA3FjVtp184;Olivier;Marc;2002;13.63;12.292
91;pereirachantal;59KJApX002&u;Guillou;Marguerite;2002;9.275;6.307
91;colasadelaide;iL6m$CIk+#tU;Bouchet;Anne;2002;6.035;18.313
91;adrien66;UNvWMvYgyH+6;Chevallier;Sébastien;2002;7.546;15.067
91;letelliercharlotte;g+q1XSms8hoA;Renaud;Matthieu;2002;18.237;11.488
91;julesgrenier;$8oaOHmGVWeD;Sanchez;Josette;2002;8.389;2.095
91;agnesgaillard;@_2!PfFloF#6;Chauvet;Thierry;2002;15.135;6.542
91;bchartier;@c5US5yBz7F6;Marie;Brigitte;2002;17.174;15.558
91;qgrondin;y9%y7cOkIiI1;Clement;William;2001;18.578;18.794
91;elisabeth72;8rzXLlm@(Q7A;Gilbert;Jérôme;2002;2.598;11.948
91;flambert;#0W_3sPr4#q+;Delmas;Laurence;2002;12.07;17.571
91;beguesebastien;1%6B(ie(^PIT;Bonneau;Henri;2002;17.778;8.871
91;alexandre28;z#M_0CfgNptJ;Barbe;Roland;2002;8.616;7.478
91;reneedumont;^O0L0o#uSM81;Louis;Laurence;2002;19.701;4.426
91;uberger;I2%$rhkD@LSx;Brunet;Yves;2002;3.325;12.345
91;kboulay;#lWs(@HO40lp;Meunier;Julie;2002;3.195;16.268
91;eleonore54;fK@(61PbN+2(;Gillet;Aurélie;2001;8.924;14.864
91;anastasiedumas;^5T5_u+w^YcD;Boucher;Hélène;2002;11.629;16.968
91;reneecollin;J@qF#QqV+9dO;Marty;William;2002;10.845;16.497
91;mmary;x2EhoN(i*6gS;Diallo;Sabine;2001;14.588;9.565
91;capucinemarie;_OL5UnKALldU;Lecoq;Léon;2002;5.515;11.51
91;auroremarchand;N&fhw5I%B38Y;Gomez;Pierre;2003;2.546;7.239
91;robert99;(SP(EYtw7yT9;Lejeune;Marianne;2003;19.265;19.865
91;vbouchet;xV1jkRiP_2B0;Martineau;Véronique;2002;16.747;6.597
91;elisabethlefort;jmT9CBEnn%Pj;Riou;Lucas;2002;6.372;12.612
91;andrepeltier;bQWAA0Fo^O$4;Thierry;Suzanne;2002;7.533;7.37
91;mathildelebrun;8uYBI^+no5L$;Ruiz;Noël;2002;19.066;12.345
91;valentinnoel;cy60DtTp(+9^;Lelievre;Michel;2002;19.263;4.368
91;wagnerlucas;Gjm$ZP5m$SK7;Goncalves;Roger;2002;6.187;9.455
91;carredaisy;*5uQlmm*WOXi;Georges;Bernadette;2002;5.808;17.62
91;jeanpereira;%hDfVdKW_J9);Vasseur;Théodore;2002;8.828;12.202
91;danielthomas;3SkTi*bg$3dc;Pruvost;Margot;2002;13.907;12.458
91;arthurbouchet;ZWU3O(diFMa_;Huet;Susanne;2001;3.921;19.423
91;evrardmargot;@i9VBclf7hPC;Navarro;Inès;2002;19.547;14.857
91;christophe21;_#Hub473d1MW;Maury;Xavier;2002;12.442;9.868
91;valerie89;&TH0Vvbf$+e2;Joly;Monique;2001;10.186;10.691
91;gosselinmargaud;@xsFFnzvQ3U2;Collin;Alexandria;2001;8.727;14.503
91;dominiquegarnier;K+%CPgW#GVF0;Tanguy;Patricia;2002;16.701;19.03
91;sophie04;)JEG+WpA^6BN;Tessier;Jérôme;2002;6.463;16.58
91;sjoubert;J_2ezVrwKS#8;Alves;Sébastien;2002;4.793;15.678
91;rogercoste;+7rATrMypok^;Francois;Laetitia;2002;10.915;14.944
91;oevrard;X^r1HpAz%772;Foucher;Audrey;2002;8.838;14.55
91;francoise91;ipih6srB+6SY;Lesage;Julie;2002;19.038;2.667
91;marysedelaunay;#vKIee%+b6P9;Begue;Olivie;2002;5.692;12.101
