idLycee;login;password;nom;prenom;naissance;note1;note2
92;wribeiro;!(4Wm9Px(&r$;Riviere;Susan;2001;11.022;2.732
92;marcellebaudry;xG&Q%EomZd77;Rodrigues;Émilie;2003;12.996;18.342
92;adamclaudine;i#P6(t$LSh1y;Toussaint;Robert;2002;16.339;5.795
92;marthegarnier;)BBvStWtR&58;Pichon;Isaac;2002;3.902;9.853
92;sanchezfrancoise;*9OjqIIaH6k6;Martinez;Aimée;2002;10.324;4.896
92;bretonmaryse;PVB26GYeR^3);Laurent;Marthe;2002;5.912;16.685
92;legrandrenee;o!AtKamuZ!y0;Coste;Jeanne;2002;16.259;8.231
92;ytessier;^HlWsi@g*+5X;Voisin;Charlotte;2002;11.982;5.473
92;texierpauline;sI#^NYfz$gw0;Verdier;Madeleine;2003;14.38;14.15
92;aimefernandez;_bIb1DjiXo+^;Carpentier;Agnès;2002;12.823;2.281
92;laurent63;wZ&EshNKht6&;Morin;Georges;2002;17.722;2.525
92;isaacmarques;OV^$j8pq0R5R;Marin;Dominique;2002;18.635;10.702
92;qdescamps;w4oOcPbv@aDx;Guyot;Isabelle;2002;13.171;10.404
92;charlesguichard;U@7@PfpeIGaH;Rousseau;Colette;2002;13.746;15.758
92;cduhamel;OiKKPJjn#T3y;Lemaire;Marcelle;2002;19.158;9.381
92;clemonnier;)&z4vVGmX8Du;Aubert;Matthieu;2002;2.982;11.565
92;margot49;XwUb)Dvm&7IK;Fouquet;Benoît;2002;9.164;18.402
92;valentinemasse;3!LG@Thj(9*I;Legros;Édith;2002;9.931;9.88
92;vincentcamille;XoHX_1AbcIam;Faure;Joseph;2002;15.128;10.854
92;xlemonnier;u0*3O9Nr0M2);Boucher;Auguste;2002;8.099;7.596
92;odos-santos;744@&gyObV_F;Godard;Constance;2002;18.99;12.776
92;lucietexier;2BHzpD$x*60l;Rocher;Margaret;2002;4.168;3.589
92;yprevost;g#!t9UPj0s!U;Rodriguez;Céline;2002;12.433;8.687
92;rene05;Mjs&g!nf#9dU;Maillard;Aimé;2002;4.889;3.462
92;henriette00;rvP)0F@c%hRY;Loiseau;Julie;2002;5.334;4.465
92;qgonzalez;TaLI3eP3$8K);Henry;Laetitia;2002;15.485;5.537
92;anaismarques;11TyJ3fV(Np1;Pasquier;Constance;2002;9.249;19.89
92;martinelucas;(^8#VVlWz7(B;Ferreira;Honoré;2002;14.944;13.255
92;patriciahumbert;^%)EE9EpY$W3;Blin;Emmanuel;2002;7.859;11.472
92;bgaillard;%PFt6Ib$uVDj;Laine;Inès;2002;12.453;6.894
92;courtoisaimee;*t0BNqQ8ulXH;Riou;Laurent;2002;8.187;19.772
92;franckhardy;(4E_ZGuplw0R;Klein;Lorraine;2002;2.919;10.529
92;henrietteremy;@pMzkutvq2VD;Collin;Frédérique;2002;14.069;9.439
92;courtoissebastien;eq%)1ZFw)D4A;Benoit;Raymond;2002;10.922;18.887
92;bernadettegosselin;9oN#&^G548Ko;Hardy;Élisabeth;2002;9.851;5.828
92;agnes71;i69Qbz6Acvf%;Olivier;Denise;2002;7.545;4.91
92;julien96;3B*wZ4sE#C2_;Nguyen;Thibault;2002;5.034;6.067
92;michelejacquet;*v85BMc%QV^0;Lenoir;Xavier;2002;19.563;2.899
92;mboyer;%63K^Ho^nh6t;Sanchez;Martine;2002;16.747;7.434
92;sebastienetienne;)4)WgokZ@5d*;Aubry;Alexandre;2002;5.187;5.978
92;marquesdaniel;@xRFtXt1W6up;Blondel;Joséphine;2002;8.616;13.416
92;iboutin;2iVnBhxW()iP;Gauthier;Thérèse;2002;9.819;17.91
92;timothee18;p!7)^*drfEIT;Millet;Pauline;2002;8.709;19.347
92;marie26;*DJ!ni!@BK0H;Berger;Jules;2002;2.708;15.593
92;dupuisgeorges;@9OS1YjD7Vr7;Marques;Grégoire;2003;14.969;8.013
92;paulcosta;15kAOfuNY4U!;Fournier;Pierre;2002;12.803;10.395
92;gabrielmoreau;(i0%Uc(#70LC;Berthelot;Benoît;2002;17.328;15.079
92;augermathilde;m+W$&q3pTPL5;Maurice;Margot;2002;13.272;3.974
92;colettesauvage;662_XScx@Rcm;Millet;Victoire;2002;7.374;12.961
92;qmercier;)+P!ppdN2UAG;Ferrand;Joseph;2003;13.524;6.142
92;margauxlemoine;)2qFq8_GB7^%;Hamon;Valentine;2002;5.225;19.142
92;sbaron;f7*5l&Ca!fKo;Ribeiro;Jacques;2002;3.882;5.411
92;gabrielleleveque;ld&$WeyeN&8H;Da Silva;Marc;2002;3.974;11.723
92;anais33;wf(_*4Ij0&YC;Sauvage;Noël;2002;6.242;17.121
92;henri05;#O7kTb66*CfO;Denis;Thibault;2002;15.984;7.122
92;daniellelombard;P(QUTeUww*8v;Letellier;Franck;2001;16.04;2.828
92;marinebesnard;%HNl4yIbs6y@;Legrand;Nath;2002;10.108;8.362
92;brigitte86;(*peU_mpJ4bP;Bazin;Agnès;2002;15.183;18.203
92;nicolashortense;2dCz1Dc1@lud;Boulanger;Auguste;2002;18.453;2.34
92;martinemartin;Z*DOLDGPidc0;Ramos;Françoise;2002;17.119;16.957
