idLycee;login;password;nom;prenom;naissance;note1;note2
94;capucine08;y^bYFJIjU&V0;Grondin;Philippine;2002;13.619;5.615
94;yle-roux;(6OW#FHj^SyZ;Girard;Michelle;2002;13.347;2.151
94;tgomes;hSp8K(Hbkt*9;Pages;Capucine;2002;4.202;13.701
94;augustin36;%BHi%CBci&1X;Rolland;David;2002;9.116;4.375
94;julierodriguez;10M)oAn#Uv@0;Lagarde;Odette;2002;14.689;16.822
94;philippebertrand;@cBIb5hf1hZY;Goncalves;Daniel;2002;10.347;10.083
94;xleblanc;j%q+SBaHi^8w;Humbert;Juliette;2002;17.326;8.789
94;gauthieranais;@93@RTdL*7B$;Bruneau;Camille;2002;18.03;8.153
94;perriermarcel;pRE6duGz+0JM;Renard;Claudine;2002;12.686;7.398
94;sabinehubert;^hh+w&1SaA9P;Vaillant;Lucie;2002;8.148;10.698
94;rmerle;+1YetfApptUj;Chauvet;Jacques;2002;9.228;14.69
94;aurelie03;%)Datzgcy7Xr;Schmitt;Dominique;2001;6.696;18.2
94;olivie25;H3XwI&bm^LFY;Fernandes;Thierry;2002;5.409;18.186
94;stephanie09;1)5UYzmgxISs;Benard;Nathalie;2001;19.127;2.082
94;lambertnath;yX7TDYyts!a0;Besson;Océane;2002;19.379;12.923
94;claire42;$U@XpaF7V74!;Chevallier;Auguste;2001;15.323;18.413
94;monique65;F!o6Pbbo26Z1;Robert;Patricia;2002;8.79;6.416
94;bouchetadele;eg6VXIRx)70J;Voisin;Madeleine;2002;16.237;12.514
94;maggie14;1qU@rD0bSqRb;Goncalves;Renée;2002;14.767;15.868
94;constanceduval;&vLO3j6e&B1t;Dijoux;Adrien;2002;15.384;9.01
94;theresediaz;fD_6UMubq(^D;Rousseau;Michèle;2002;6.54;10.524
94;ppierre;&eE3aI)J@juU;Coulon;Christelle;2002;5.303;12.7
94;gomezfrancoise;2g_)oKu^X+Q7;Pages;Xavier;2002;14.959;10.783
94;pdelattre;^6eIvAfR+bJM;Laurent;Susan;2003;4.875;14.603
94;aubertluce;i^UeEeXpVw9^;Mendes;Nicole;2002;16.479;5.725
94;franck81;%DZycVjg#5z7;Laine;Agnès;2002;10.998;18.535
94;alexandreguilbert;leFB9IjPi!9_;Carpentier;Eugène;2001;3.919;5.009
94;perrierjoseph;(41&@qRtejB3;Costa;Agnès;2002;6.987;11.128
94;ameliecouturier;C)X0mxLn2^#(;Fleury;Arnaude;2002;3.206;12.317
94;wfaure;+0X9hhxvqYpk;Gilles;Marc;2001;6.399;18.151
94;claudineroy;tLgLNkAJ)9Ly;Regnier;Emmanuel;2002;16.749;15.957
94;pmasson;)4+Fgg9Ht8MX;Marechal;Margot;2002;15.774;5.855
94;benoitguy;_7%pAgFcetya;Valette;Alfred;2001;4.138;18.943
94;yrobin;Q%vIK*eV$C9H;Pruvost;daisy;2002;2.186;3.638
94;noel60;!!JAkNYx#l7I;Antoine;Benoît;2002;5.699;13.04
94;lpascal;bqHTO8Rhn6Z$;Guillaume;Marthe;2003;7.875;16.801
94;colette83;6*XFyy@w%Wnh;Descamps;Alphonse;2003;10.817;7.431
94;fauremarianne;xV5W!h+0N)GY;Bonneau;Julien;2002;6.869;17.692
94;dorotheethomas;#41m^S3^+sh6;Hernandez;Laure;2002;8.427;6.323
94;overdier;$0vVioU$xAP3;Louis;Maggie;2002;18.961;2.24
94;gauthiermichelle;!1^AcB*7uyG2;Petitjean;Victoire;2001;11.356;3.556
94;maggiemonnier;f#IL#xz7Ml4E;Cordier;Odette;2003;13.211;15.062
94;kgregoire;&7nBn+jL5TN^;Didier;Bertrand;2002;15.939;5.394
94;blondelvictor;$_I%^(nAh86o;Courtois;Aurore;2002;9.596;2.058
94;adupre;ESyGclQxI^2X;Aubry;Anaïs;2002;12.072;13.926
94;alexandriapierre;^Z+2TYxx*gSX;Joseph;Benjamin;2001;12.696;18.475
94;lefortroger;X%UPBnt_j@26;Schneider;Adrienne;2003;16.895;15.445
94;susanmarchal;(0NmMDpfP@&f;Bouvet;Anaïs;2002;9.1;6.248
94;andree44;XmZ5RJla%w_O;Perrin;Frédérique;2002;19.403;12.405
94;suzanne46;w!9ChsJHqvTN;Cordier;Raymond;2002;17.072;6.816
94;thierryjoseph;d_ha!eCd@N5O;Maillot;Agathe;2001;12.455;4.797
94;xavier72;+W0YacJyAFZo;Loiseau;Margot;2002;7.458;4.202
94;marquescorinne;W4TwQrPu+I2_;Gimenez;Patrick;2002;12.302;8.331
94;aferreira;Oc^iAHOp@8I);Moreno;Juliette;2002;3.912;6.154
94;louisguibert;%@9Ve!Vr(yrD;Laine;Frédéric;2002;4.707;4.18
94;marcelcourtois;7)Pg1dfo6%0V;Texier;Alain;2002;14.661;16.712
94;ucouturier;@3OSwLIFnQKr;Jacquot;Anne;2001;4.509;5.814
94;pmillet;_c$UWS0uOw67;Chretien;Frédérique;2002;6.97;2.265
94;celinacolin;*J@x1&XSN5Q*;Marques;Lucie;2002;13.769;15.408
94;audrey84;9L5QMsYv$qOH;Da Silva;Sophie;2002;5.967;6.955
