idLycee;login;password;nom;prenom;naissance;note1;note2
95;barbehelene;*p5QP7orjT7G;Barbier;Thomas;2002;4.4;7.208
95;huetmichelle;*1OEDkE85jUY;Dupuis;Émile;2002;6.954;5.085
95;fprevost;7YEtx1s2$6y7;Roux;Sabine;2002;10.51;14.412
95;josephineollivier;9hcNxy!c#B6H;Huet;Laurent;2002;13.744;13.97
95;bernard49;_57jjN3H)gjD;Ribeiro;Joséphine;2002;14.967;11.893
95;scosta;wX_1CLpqg!dh;Weiss;Noël;2002;12.904;16.462
95;corinnemahe;&VQ7+W@e+ZdL;Perrier;David;2002;19.767;7.212
95;zachariebesson;70N#Xi7$$%Dd;Gilles;Michelle;2002;13.879;3.076
95;celinapasquier;i^M6*mQgNy5U;Bonnet;Olivier;2002;6.617;11.373
95;lecomtedavid;$d2jegldyE0R;Collet;Stéphane;2002;11.146;3.555
95;milletchantal;(5p3T*Frtt(o;Chauvin;Christine;2002;11.491;11.665
95;edith54;F9)(EGsdU9WU;Lopes;Raymond;2003;13.214;4.699
95;jourdanolivie;8UCXxHvm&f4K;Chevallier;Hugues;2002;5.321;8.119
95;garnierelisabeth;W9%N7EpB!TV8;Fontaine;Monique;2001;5.905;12.806
95;jeannegilbert;Wsl1Y8eNO2!^;Tessier;Isaac;2002;7.957;7.252
95;margotpayet;8fxW0P*e!jYI;Vincent;Robert;2002;9.99;19.754
95;richardtexier;EE1$sDvQHyIs;Lemonnier;David;2002;2.988;2.785
95;jerome96;w^WZnY^TMz1q;Lemaire;Laurent;2002;7.965;4.314
95;davidfranck;L8p)H6&p(xcF;Vallee;Jacqueline;2002;10.437;3.085
95;lorraineseguin;ew1$tAvv!8_5;Bouvet;Virginie;2002;11.88;10.441
95;sophielacroix;OG8JHp^Xs_RB;Ribeiro;Antoinette;2002;3.378;7.875
95;prevostdenis;_I0)GVxrvvzS;Joseph;Olivier;2002;15.791;19.368
95;paul29;#Aw3Iruit&Gx;Germain;Henri;2002;12.773;6.977
95;gaillardcharlotte;W(&L2pipwn3O;Maurice;Inès;2003;7.822;11.668
95;christianealves;&wV8uypz9b2b;Charrier;Aimée;2002;6.979;2.75
95;matthieu16;GWM6&LOmS2)J;Godard;Sabine;2002;14.071;2.731
95;blinjacqueline;+O6en&9ggtaN;Le Goff;Susan;2002;9.002;10.018
95;obouchet;%o+MBBZsS88N;Millet;Agnès;2002;17.194;7.471
95;audreytessier;2&$6+R*njXeC;Leblanc;Françoise;2002;18.055;17.692
95;milletmargaud;$U5gg!qo8rWQ;Georges;Henriette;2003;3.892;3.557
95;capucinerousseau;%20)awAz!5)P;Pelletier;Bernadette;2001;5.716;19.554
95;ebouvet;upw1V9S*u+@8;Lesage;Lucas;2002;2.327;15.782
95;gabriellemorin;32@+2$yn0UjX;Leblanc;Éléonore;2002;12.32;11.401
95;remyanouk;)7%P)vMY7v1F;Laurent;Gérard;2001;15.554;2.096
95;paulclement;Pw#601Kq#7K9;Auger;Étienne;2002;3.441;7.938
95;raymondcharlotte;2P*pmh9e!7Tt;Foucher;Guillaume;2002;8.912;5.045
95;penelopepineau;(666O4yxV36k;Martins;Hortense;2002;18.515;16.006
95;delannoyandre;^1&UcB42Ex5Q;Coulon;Anne;2002;14.924;18.449
95;rouxastrid;z)s+OXbk7s4O;Dijoux;Brigitte;2002;14.165;19.547
95;nicolaschristelle;7G71TBuf@+p^;Gilles;Joséphine;2002;12.479;11.118
95;stephanevallet;wH@2C(KhE6l*;Lacombe;Laetitia;2002;9.575;2.945
95;anastasie23;$6UYV44Yb@Mc;Legrand;Bernadette;2002;2.994;6.666
95;penelopebailly;^6%NP9jValD(;Faivre;Frédérique;2002;8.678;18.24
95;anais67;k^e3ADPpPq6L;Parent;Véronique;2001;10.03;3.705
95;mathieujacqueline;v0BqmWj&@Olq;Hubert;Anouk;2003;3.205;11.22
95;labbejacques;j9IQgdfU%S#X;Techer;Benoît;2003;2.51;8.903
95;anais82;Z8Q0M)za@BMQ;Mathieu;Margaud;2003;4.583;4.348
95;tristanbouvet;h_8UuLJ4)P$L;Guillot;Alfred;2002;19.434;4.11
95;vincentperrin;@LR8jxEgG7yd;Adam;Margot;2002;3.579;15.949
95;pasquiersabine;OkPF8GDgf@h+;Maurice;Christophe;2002;7.837;7.773
95;obouvier;fDw%gyxeC85J;Toussaint;Julien;2001;3.545;10.319
95;ericgosselin;A2h)Uh&M+R38;Valette;Aimé;2002;12.297;8.229
95;astrid10;If1eu%Xj@5VP;Martinez;Étienne;2003;2.563;11.768
95;christelle81;*3BWDaTY@VqT;Leduc;François;2002;6.826;2.661
95;gpicard;M(1kOe%(b$pY;Louis;David;2002;16.406;4.403
95;philippesimon;UO1MwM&v%HD!;Lebon;Aimée;2002;19.084;10.786
95;ucharpentier;@nV_hug7X9tK;Le Roux;Julie;2002;13.061;12.156
95;mathilde90;1+K05BlEk(#3;Toussaint;Hélène;2002;14.244;16.459
95;le-gofftheodore;sV+8Zh6p$Iam;Robin;Philippe;2002;16.026;11.121
95;benjamin00;8$61TFPynou(;Berger;Anaïs;2002;10.443;5.524
