idLycee;login;password;nom;prenom;naissance;note1;note2
97;mariannemichel;r08^re8RqMQ3;Rolland;Élise;2002;2.305;9.117
97;sylvie44;Sk5jm&Fh(QAZ;Voisin;Édith;2002;5.629;2.225
97;gregoire58;X*1+WmtEE1RI;Morel;Odette;2002;8.961;3.222
97;marianne02;551%foi3AmeY;Millet;Juliette;2002;14.826;12.433
97;paulinedenis;*oLL$hmo@7Ar;Bonneau;Nath;2002;14.08;13.552
97;augustin11;V7dNAUgi$gT6;Verdier;Bernard;2003;10.881;4.922
97;robertboutin;28Qly#i0*gUS;Schmitt;Auguste;2002;16.664;5.062
97;leclercqmargaud;4_K@Vyx+H*oU;Renault;Laure;2002;12.585;16.739
97;navarrolucy;67&PqC!V)bz(;Hoareau;Paul;2003;3.465;8.79
97;marcelblondel;t1#^L_OZZvyI;De Sousa;Andrée;2002;12.493;18.665
97;qcouturier;+T9iFhGQLq9L;Grondin;Benoît;2002;9.868;6.447
97;theodoreparis;73^3HJvk*7WD;Chauvin;Constance;2002;8.258;10.122
97;epeltier;#)U&8CbbZUEM;Petit;Nicole;2002;12.246;19.703
97;qjean;n!4NOdKjKzhT;Hamon;Lorraine;2003;11.83;2.925
97;raynaudemmanuel;&KbJGu3vT8e_;Nguyen;Alexandrie;2002;14.376;2.287
97;jules40;7Swzu_Oq_GBl;Petitjean;Pénélope;2002;2.158;2.403
97;gillesrodriguez;@KcuWvTm0KBU;Collin;Audrey;2003;9.409;15.578
97;alix06;uQ+9_yPcC()4;Lesage;Thomas;2002;7.734;10.222
97;benjamintessier;&As00a_ZMjhC;Labbe;Margot;2002;13.331;12.787
97;sophielamy;e4!uJFFe(936;Hardy;Rémy;2002;10.133;7.375
97;dbrun;*0Wg2soruNEQ;Girard;Alexandria;2002;18.22;5.737
97;nicolas62;FOqUIa#Q&#9n;Leveque;Lucie;2002;19.591;11.591
97;dianerodriguez;*8^BcOSyD+JW;Riou;Louise;2002;17.085;6.972
97;agathe80;&0(asZsT9U@V;Simon;Adèle;2002;18.404;13.178
97;eleonore56;LE3xS4qu(g5B;Menard;Adrien;2002;11.211;17.471
97;dianeboulanger;6uWOgeJw@3q&;Mendes;Odette;2002;19.458;11.706
97;apeltier;P(^9%CZv*269;Bonneau;Alix;2001;10.817;7.919
97;bazingregoire;!2kd!&Zdb&Wg;Meyer;Patrick;2002;14.04;6.668
97;edelannoy;Jd02RJ8k8(If;Fabre;Jacqueline;2002;8.471;11.316
97;greniermarcel;&r7Xsqi^grf2;Caron;Philippe;2002;10.406;4.038
97;remy33;R5tH7Yvk_gcy;Hardy;Corinne;2002;10.482;9.715
97;dlefevre;)oZWAw3n7MYD;Cousin;Valérie;2002;16.312;15.538
97;lejeunefrederique;f4!8xQPpVEt3;Lacombe;Pierre;2002;19.707;11.446
97;pmichel;2pTdQOew*F29;Pereira;Alexandre;2002;18.307;10.146
97;rolandmartinez;H1RlPmoT#28M;Le Goff;Laetitia;2002;12.286;7.764
97;victoire40;(WvwiZUvs*6H;Mallet;Thomas;2001;5.285;14.974
97;oguillou;*9z8r$Ht1mWo;Dumont;Marthe;2001;6.41;8.354
97;pelletiernicolas;)QbcN+0k0S4G;Raynaud;Agathe;2002;9.744;19.947
97;jfaivre;5U_VyhluXpl%;David;Philippe;2002;14.654;10.247
97;amoulin;MkIH1yy&@!1_;Marie;Honoré;2002;15.519;18.248
97;fguerin;Z6F#NTfV%s)s;Chauvin;Louise;2003;6.826;3.477
97;turpinlaetitia;6X6MN$ltId$@;Jacob;Augustin;2002;17.682;10.053
97;xlefebvre;0&tKYRbX+Ff_;Moreau;Michelle;2002;5.115;12.062
97;chretiennoemi;QrXs92Xnr9W+;Chauvet;Antoine;2003;3.72;8.47
97;christianemichaud;^1u5orrQ*+iN;Fontaine;Diane;2002;18.872;2.05
97;uroussel;96UpaqPZ*N6&;Lacroix;Georges;2002;15.694;9.484
97;theodoreguichard;m3e1Wfk^^$+p;Baron;Claude;2002;5.638;12.293
97;fourniernoel;8e7ZfKs#VM^z;Reynaud;Émile;2002;5.123;17.821
97;gilletpauline;n9vBl@h)1(!(;Diaz;Martin;2002;16.262;18.178
97;adamremy;#Z)L0MYxCeU^;Masse;Adélaïde;2002;8.471;19.963
97;vincentadele;%2Tbnz@#w9RJ;Pichon;Marcel;2002;11.648;19.674
97;gayfrederique;#eLSpuOr4E#O;Barbe;Christiane;2002;16.772;13.275
97;petitchristine;P&YMDkQkC84#;Voisin;Alix;2001;4.693;7.868
97;marine32;zH+Hnv1kJd0#;David;Marianne;2002;5.426;9.176
97;isabellefernandes;WfXho&+*#03^;Traore;Étienne;2003;2.308;17.479
97;blanchardthibaut;!anNNek#N6oS;Dupont;Élodie;2002;5.382;8.261
97;gilbertcelina;+9R5M!QlkWB&;Chauvet;Guy;2002;9.612;7.428
97;charrierthierry;IV9DJuw28*wW;Gregoire;Arthur;2002;14.966;7.998
97;henrisauvage;*O4#4cheMYKR;Gregoire;Guillaume;2002;2.157;17.446
97;tristan51;K(I8NIIGTzm+;Faivre;Susanne;2002;10.979;15.313
