idLycee;login;password;nom;prenom;naissance;note1;note2
99;psamson;oq+9Jkt#^t!#;Laroche;Alain;2002;15.459;16.311
99;lopesaurelie;Z_9j2%rn(2fF;Carre;Adélaïde;2002;17.283;8.581
99;agiraud;ro*8Azp*jhI6;De Sousa;Constance;2002;16.926;12.677
99;jacobjacqueline;C@eU5pFrkA3X;Delahaye;Richard;2002;7.904;18.249
99;margaudgonzalez;*3OyFulC^pSU;Perez;Maurice;2002;2.216;19.29
99;xcoste;Oc*NN5zsmc#5;Richard;Rémy;2002;3.615;13.582
99;gonzalezedouard;*u7z(JAvVarH;Launay;Gérard;2001;18.606;16.989
99;simone68;^A8(kcx@0DzL;Rey;Odette;2003;13.982;15.536
99;thierry11;$owIv+27C916;David;Louis;2002;17.89;15.55
99;dianelefebvre;@#OVtjOoIQ0a;Vallee;David;2002;19.785;5.605
99;emenard;r&MlQP3t&4nv;Faivre;Alfred;2002;15.861;9.105
99;paulinepelletier;)26ZEdttoz)3;Jacquet;Grégoire;2001;12.597;16.129
99;valeriegarnier;#(6AKmfmi_5r;Goncalves;Aimé;2002;18.175;9.706
99;astridmillet;(chq8F^dNf7o;Peltier;Céline;2002;19.418;19.579
99;mhamel;z1)p)jX$DpP8;Laporte;Suzanne;2002;15.783;8.63
99;marthe82;men&kYap*z3o;Merle;Margaud;2002;15.583;5.833
99;hamelcapucine;%kojPKgpF0Gy;Martineau;Élise;2003;18.112;4.281
99;omaillot;4Vd@pD*i!0LR;Lucas;Marie;2002;18.073;16.995
99;bazinsimone;)SK8$C8q*Ty0;Vallee;Marie;2002;6.286;7.994
99;genevievebailly;r$8CpGu^Qtyi;Rousseau;Alex;2002;13.547;9.193
99;theophile55;6LNIy9iH#qbE;Turpin;Laurent;2002;16.34;6.278
99;charpentierastrid;VmUOGaLX!1)%;Gilles;Alain;2002;11.876;17.071
99;ferreiramartin;t_L6JWn(0Zn%;Verdier;Luc;2002;15.503;7.536
99;gabriel51;&7y6yKcCg*_$;Delannoy;Timothée;2002;15.201;7.605
99;alainda-costa;yGg6mZlWG#0M;Marechal;Denise;2002;3.845;6.131
99;maggie82;kaM^X^t#2g3R;Langlois;Michelle;2002;11.605;7.035
99;chauvinmartin;_0(6d^po_FFp;Denis;Benoît;2002;10.066;17.448
99;josephmathilde;s8CCXBi$iD8);Moreau;Eugène;2001;13.674;4.091
99;victoire65;q)r7F9xqnA8^;Chartier;Antoine;2002;12.746;16.196
99;mariannebigot;_i2_%Nly_3@G;Chartier;Madeleine;2003;6.032;12.918
99;lerouxgenevieve;qk+6Vh1tF*G3;Fournier;Thomas;2002;16.921;12.251
99;eugeneallain;mX3DFYgN^@lj;Ferreira;Joseph;2002;18.984;13.392
99;bmahe;g^5_LoO&K!y9;Martel;Inès;2002;5.693;10.737
99;kwagner;!K4LqBzTIo%y;Denis;Paulette;2002;10.799;6.783
99;henrirobert;R%o30Uzus^3C;Bertin;Édith;2003;7.869;15.558
99;thierry24;3S1h6dIO%5@G;Leleu;Isabelle;2002;18.637;17.907
99;pintomargaret;s5N2Eh95S_2y;Labbe;Émilie;2002;16.113;4.072
99;fdumont;@24kd@6rvVKZ;Gregoire;Maryse;2002;18.186;2.062
99;bourdonguillaume;!eELpZe@AcM7;Le Roux;Raymond;2002;8.697;14.321
99;astrid16;e+_bECnfBt7U;Colas;Maryse;2002;19.948;14.996
99;priou;iM+U59Is8@qk;Allard;Laurence;2002;12.045;17.469
99;zcordier;P^%3tNSsunkU;Bertrand;Noël;2002;7.603;4.552
99;adriendumas;Ju*mnSUqy42U;Colin;Inès;2002;7.302;18.733
99;girardaime;&&W36Yy1yf8!;Arnaud;Alfred;2000;6.353;14.263
99;lolivier;9#9fkVw#Sn5E;Ledoux;Thomas;2002;4.581;15.392
99;alphonsemoreno;LNk3DXyy73();Mallet;Inès;2002;18.388;12.592
99;jeanne99;ye260Gz%wu!*;Auger;Virginie;2002;2.701;13.016
99;slagarde;_f43K9fSS%jQ;De Sousa;Louise;2001;2.526;6.747
99;aurelierossi;ra0!Xc$n$wgC;Coulon;Margaret;2002;8.797;13.15
99;margaux35;3G1o4P#c&*8E;Bonnin;Michelle;2002;9.899;17.387
99;lejeunerenee;$(IiWQi^i2tg;Marion;Odette;2002;15.017;17.992
99;boucheralphonse;qlL9K&ifO%me;Baudry;Jeannine;2002;12.715;5.708
99;suzanneblanc;#hDb5FeIW0uy;Brun;Michelle;2004;19.522;9.551
99;anaisdumont;YHh7H!^jl#D%;Lacroix;Franck;2002;15.061;4.013
99;payetguy;a^l4W*hA$3%%;Teixeira;Olivie;2002;8.543;13.87
99;augustin07;K%7SltAeTY)W;Aubry;Olivie;2002;4.135;14.764
99;renee39;#yUtDUmY1QS5;Riviere;Timothée;2002;15.249;3.187
99;laetitiafournier;m)0C_VmOTbNq;Thomas;Antoinette;2002;8.018;13.087
99;agathe07;et46MN^x&^d_;Marchand;Danielle;2002;9.302;15.004
99;barbierroland;@wQZgOV8x1f5;Morin;Matthieu;2002;13.294;13.833
