idLycee;login;password;nom;prenom;naissance;note1;note2
101;ameunier;cq79WEAmK2^g;Regnier;Alex;2002;6.58;8.622
101;dolivier;q+t5Di9u(m0+;Roy;Susan;2003;13.955;14.675
101;nvallee;%zzlarP#Bt2E;Clerc;Daniel;2002;2.43;10.756
101;mariannemuller;&3_yZ$QUrJUG;Fournier;Martin;2002;16.736;19.407
101;courtoisstephane;o)7Zeq*mReRI;Riou;Valentine;2002;15.687;4.659
101;clemencefouquet;Q$+4Q7p@&By#;Perret;Noël;2002;4.032;6.175
101;blondelagathe;u48)Znyc+i2I;Ollivier;Guillaume;2002;17.683;15.242
101;penelopeboyer;BS8Oc&Uj_(jX;Gros;Océane;2002;8.228;10.707
101;mariezoe;D%AfLJrw3V3i;Joly;Vincent;2002;19.975;16.778
101;cgomes;#0M$%XKiR3_C;Buisson;Hélène;2002;5.447;15.493
101;edithhenry;0m^x35Sq%btc;Imbert;Audrey;2002;16.478;11.483
101;odetteleroux;0e5v0TC(Y%L8;Dupuis;Antoinette;2002;3.364;17.703
101;mrenaud;+#u9yUNrh0xb;Riviere;Manon;2002;4.753;11.762
101;lucie79;$nQ(Thlf)0uD;Muller;Simone;2002;7.519;15.364
101;claireberger;rl7O57jtm*#^;Bonnet;Joseph;2002;19.496;12.315
101;barthelemyhenri;W(bX9gXd%Ms+;Perret;Anastasie;2002;19.114;18.021
101;julien21;3MA!b@pd_DB$;Ledoux;Christophe;2002;16.7;15.049
101;henriette04;Z9tQDgI)$UM_;Moulin;Catherine;2002;10.334;19.347
101;augustelevy;EQcO7#krU4F%;Allain;Charles;2002;19.673;7.281
101;thibaultolivier;^A7OMrNNZkS5;Marty;Thomas;2002;18.867;14.0
101;mariesimone;93LG*%ne_e9c;Louis;Émile;2002;15.606;13.412
101;alagarde;old1CX4Cv%4A;Breton;Marcelle;2002;15.872;11.006
101;constance56;!1d1!hYxK7Ix;Hardy;Lucas;2003;9.962;17.107
101;hardyjeannine;+dy4qKjC3j2W;Hernandez;Alexandre;2002;17.604;13.367
101;langloisalain;%zd&lvwkc7yO;Bertrand;Hugues;2002;13.289;3.221
101;isaac75;&IP)EpFcp3MH;Jacquot;Louise;2002;3.79;9.177
101;jeannine36;C^9BRVny88_B;Pruvost;Léon;2001;15.12;14.318
101;nathalie39;_jeWWVJm$Z5j;Guillon;Philippe;2002;7.617;8.762
101;agnes86;_ph!RHL7d8f*;Leduc;Élise;2003;15.866;7.448
101;delattreaudrey;_3mKbijazwax;Philippe;Margot;2003;6.673;4.785
101;nathalieleroy;N0J$2g)s@OGb;Goncalves;Aurélie;2001;18.664;2.231
101;julielebrun;R_l44MZxk@g!;Legendre;Susanne;2002;18.067;14.173
101;qlefort;)_4KZAyfajNJ;Grondin;Victoire;2002;16.056;17.971
101;victor26;4!TMTkuL&7Jh;Rousseau;Benjamin;2002;18.315;8.757
101;martinedijoux;+h2FrB#Rx@%W;Meunier;Pierre;2002;15.66;10.176
101;pfleury;p+KE83M#1wN8;Prevost;Océane;2002;17.116;2.793
101;guyothonore;6zT+y7(ge7OK;Rodriguez;Lorraine;2002;15.826;14.039
101;pagesgenevieve;0gXv2+bz+lFz;Didier;Susanne;2002;9.733;14.69
101;bernardduval;mq+B0ZyaCgN9;Pascal;Aurélie;2002;14.915;5.861
101;lpeltier;j(X8TqJX1**2;Valette;Céline;2002;5.272;15.067
101;christophechevallier;(_+SdCcf$u1J;Roussel;Laure;2002;12.386;6.014
101;chevaliermargaret;^8GHmDy5(3cH;Gros;Roland;2002;16.032;17.285
101;meunierjulie;_52YKJot$j_4;Navarro;Arthur;2001;2.244;14.024
101;qgarnier;0PlUDkjg!06M;Martinez;Christine;2002;9.663;16.683
101;alexandrerenault;v8Do1R7S+3@O;Lecoq;Maryse;2002;13.565;5.318
101;courtoisaugustin;@7mQ9nUk9AIt;Millet;Gérard;2002;17.936;13.17
101;franckleclercq;2*t7DqBy^^B7;Fischer;Thibaut;2002;5.405;4.191
101;tmaillard;#1xAOKao&1fT;Berger;Antoinette;2002;4.213;19.0
101;alexandriaraynaud;@PY0Nm^d7BNV;Deschamps;Benjamin;2002;5.908;13.672
101;renee59;aGFVHmBhZ*3b;Jacquot;Madeleine;2002;10.302;4.566
101;jmillet;$)y79LliqDvj;Vaillant;Nathalie;2002;18.8;4.296
101;emilie07;F8gL2h+f+efj;Schneider;Pierre;2002;3.868;6.13
101;noemidelahaye;$^i4iYmMs96o;Alves;Margot;2002;2.593;2.096
101;pierremaillet;S@RUUz#pBOa0;Sanchez;Adélaïde;2002;2.566;14.443
101;bodincatherine;DWpFf)&cux9@;Begue;Michelle;2002;5.986;9.131
101;andreschmitt;atRUx*Jm(3H5;Thomas;Alexandrie;2002;11.314;5.417
101;julie01;hyAh5IQr&57Z;Mercier;Laurence;2002;13.656;15.865
101;georges81;&+_u7IBe5_bL;Descamps;Élise;2001;9.535;19.945
101;marthethomas;)WIz$prj78Zb;Gilles;Guy;2002;13.855;14.647
101;fle-gall;sk#)(1OdL^4M;Chartier;Jacques;2002;9.315;11.797
