idLycee;login;password;nom;prenom;naissance;note1;note2
102;pbrun;vF&7WagwOd^(;Guyon;Bernadette;2002;2.999;5.597
102;gruiz;#bt6NDq5FnfP;Labbe;Christelle;2002;14.7;5.601
102;philippe20;&5Q6TqpM7hXA;Charrier;Yves;2002;4.098;17.752
102;luclamy;(T1^Ls)5%#W5;Meunier;Geneviève;2002;3.962;6.239
102;emile24;N1WNP$q*&_NB;Chevallier;Clémence;2002;15.797;11.526
102;salmonmanon;rjXznuxG(e7c;Maillet;Adèle;2002;19.355;6.077
102;gilbertoceane;4mP3El1(_9K$;Goncalves;Patrick;2002;6.473;9.985
102;rsauvage;f&CD4%t$G@8C;Leblanc;Lucie;2002;19.714;7.743
102;xjoubert;!7&ZmU0+(+%i;Peltier;Pauline;2002;10.84;2.359
102;catherinelucas;$f7rEiwa9$VK;Pruvost;Marcelle;2002;13.646;8.468
102;larochecolette;&!tMm)d7$8Dw;Bruneau;Paul;2002;18.592;12.12
102;adeleleger;My)0Y6CL&1v1;Lemonnier;Martine;2002;11.323;8.3
102;elise11;+1Olpn8ckGR0;Teixeira;Joseph;2001;14.29;18.162
102;marianne81;)Q%Ckt%*_q8u;Carre;Lucie;2002;11.53;3.513
102;davidgosselin;r5lmfd9u@%WA;Mary;Bertrand;2002;7.641;14.116
102;odette86;_5tYDxfhYEWW;Barbier;Julie;2002;12.37;18.088
102;augustin78;U1c3JlrJ#J76;Vasseur;Clémence;2002;11.353;17.093
102;alexandrechevallier;L8G#VW)y%iAT;Daniel;Manon;2002;15.098;3.646
102;briviere;)pCkKdM_P*3c;Traore;Roger;2002;17.747;12.734
102;ericjoubert;E6XcrITS_dDk;Langlois;Hortense;2002;17.523;4.431
102;marcel69;_+X15MfCq8#w;Perrier;Roger;2001;9.691;6.46
102;celine28;(6auT0F+u1H*;Berger;Madeleine;2002;7.43;13.765
102;oceanefouquet;&$g5EBxax26S;Gonzalez;Catherine;2002;10.697;2.932
102;gilles07;md6KLd(8$!Xz;Carre;Zacharie;2001;16.325;11.944
102;hervetimothee;@q$3VxoGC9_z;Martinez;Clémence;2002;3.548;5.593
102;aurore83;8!suQhjh+9XY;Texier;Juliette;2002;9.382;15.788
102;philippinebernard;q1%C2Wsllg@i;Pereira;Colette;2002;16.458;2.595
102;jhoarau;ObTdokpe8U3^;Bailly;Océane;2002;4.898;7.899
102;olivie05;M*4hMiuwIzwR;Michaud;Stéphanie;2002;12.747;3.655
102;gaillardjosephine;_9Z4d(hrh5DI;Teixeira;Camille;2002;13.41;11.907
102;ledouxdiane;@z809^X+ICCd;Paul;Nath;2002;18.377;19.724
102;xroy;u#*LdZhxcb3*;Mallet;Laetitia;2002;3.94;10.204
102;manon57;@R7UMLiw&nCj;Paul;Aimé;2002;11.262;19.449
102;marcel81;egcv9gReaQ$G;Jacquet;Gabriel;2004;12.737;3.178
102;gcoste;+nNwn6Nd%my3;Allain;Dominique;2002;14.746;4.835
102;manon20;IA1mXjjfN+&i;Brun;Benoît;2002;18.242;8.954
102;caronlaetitia;CiUCQmqvw^R7;Le Gall;Juliette;2002;17.814;9.049
102;denisaurore;6A21aiChUt$K;Michaud;Benoît;2002;18.931;15.901
102;lucymasson;*lkEe4Km%Vs7;Guilbert;Luce;2002;12.053;13.251
102;margauxchauvin;Z01^B@om0VKH;Grondin;Grégoire;2002;9.625;19.042
102;moreaupaul;b^8OISpnGLRI;Marchal;Suzanne;2003;19.315;12.265
102;besnardphilippine;4+*@KjWM+Ug8;Pelletier;Augustin;2002;17.609;5.408
102;ggomez;*3yk7B+zfm#X;Baudry;Roger;2002;12.776;3.89
102;simone29;^0U^kd2wkPqc;Caron;Suzanne;2002;17.541;14.461
102;dperrin;0M5TQ7Gi^^EJ;Dupont;Éric;2002;12.182;6.36
102;alex81;+9XVKKCs2h^9;Barbe;Noémi;2002;19.425;12.669
102;giraudmartin;hmcAjiy4^2b0;Raymond;Marc;2002;9.733;4.51
102;texierlaetitia;$^9_WqgE2IfR;Leconte;Lucy;2002;19.831;16.398
102;georgesxavier;8TF5CrVNLW2#;Bonnin;Capucine;2002;16.269;13.518
102;girardlorraine;xMC@RfBJ(3Sp;Vasseur;René;2002;2.681;4.99
102;hpayet;)KBUNLmC42%W;Renaud;Arnaude;2002;8.109;11.433
102;bergerodette;92a1hpw$@nW(;Morel;Édith;2002;13.677;16.018
102;whubert;+3xNz$Py55f);Rodrigues;Gabriel;2002;10.819;9.316
102;denise85;$qI5X0_Gy%lU;Martineau;Manon;2002;6.716;7.819
102;christine33;(@00(@NzX1Or;Ferrand;Virginie;2003;6.724;10.015
102;thomas50;@*@719Hd%Db&;Martel;Richard;2002;18.026;15.122
102;lemaitretherese;n$&3TTHozf_2;Vaillant;Marcel;2002;14.806;10.102
102;marianne56;&1Ofp_hz19(J;Mace;Stéphanie;2002;7.841;17.44
102;guygimenez;Et+5LDewV+gY;Evrard;Émilie;2002;5.308;11.281
102;jadam;(JKO2vbKV9HU;Potier;Julie;2002;6.677;16.412
