idLycee;login;password;nom;prenom;naissance;note1;note2
103;michel78;J_5Fg!wpsVSV;Maury;Zoé;2002;13.392;10.797
103;victoire32;bYb68PUbn^S);Huet;Victor;2002;18.838;5.18
103;royemilie;#^4McHH^OhNN;Coulon;Eugène;2002;18.204;6.526
103;bertrand72;@fAN3TqsC_vv;Lenoir;Maryse;2002;9.445;13.179
103;annerobin;ao5IPU2(k)8t;Lejeune;Virginie;2002;11.915;6.671
103;pauletteallain;k0aUnj_a_dWK;Chevalier;Emmanuel;2002;15.396;10.489
103;fleuryelodie;!5mOtIBJ#&Fu;Camus;Hugues;2002;8.524;13.811
103;wcouturier;*7K8u%406dcs;Dijoux;Patricia;2002;14.175;15.206
103;suzanneda-costa;&%xW6tD7&_67;Peltier;Auguste;2001;4.215;12.088
103;zoe53;s0U(d@TctEAr;Moulin;Lucie;2002;13.656;7.033
103;cordiergabrielle;l#I10Engn8)H;Lemaire;Céline;2002;10.922;2.923
103;reneehubert;Pf8+SdJP#ci6;Joly;Guillaume;2002;8.946;4.92
103;alvesvincent;PhXuV4ed&2RT;Neveu;Éléonore;2002;17.65;19.546
103;goncalvesolivier;5$P+ARUr&K14;Faivre;Pierre;2002;8.748;7.716
103;nicolasblot;tqpuynXf^6mX;Neveu;Aurore;2002;8.453;14.224
103;crenard;_O7Dc^HxgM__;Guyot;Capucine;2002;3.647;7.193
103;moniquemarechal;0_P6MTthgU1A;Charrier;Marguerite;2002;15.447;6.653
103;qlopez;(+8Ndl+a2V!$;Lejeune;Élise;2002;2.732;17.833
103;guillaumeanne;8*49MKdF9sSw;Gaillard;Xavier;2002;14.167;8.815
103;wguillet;n4BgSMEC(&YP;Mercier;Anastasie;2002;8.025;2.423
103;rthibault;qF2!)u(C0_GQ;Simon;Benoît;2002;19.893;10.89
103;fernandezolivie;KEb)pLhI(6TD;Vaillant;Théodore;2002;15.952;16.665
103;andreeruiz;)@ZK0dXwp8j^;Guillaume;David;2002;15.89;3.667
103;kduhamel;!RaPaP$q$A2_;Labbe;Inès;2002;17.862;12.312
103;bdelorme;i$WFBh+g937q;Delannoy;Thibault;2002;17.191;19.985
103;carpentiermadeleine;+&hGK3$od3Am;Sanchez;Benoît;2002;17.006;5.11
103;pschmitt;$qkoYJTc(8B1;Mahe;Michel;2002;8.788;11.137
103;mriviere;n4vYVTa#%IiH;Lesage;Margot;2002;16.523;17.609
103;costetherese;hVgX#ve6^6)c;Dias;Susan;2002;6.743;10.334
103;edith95;$6Yu@Egp&j7V;Letellier;Claudine;2002;14.793;4.36
103;mgomes;(232h#&*9AcJ;Voisin;Margot;2002;18.254;5.217
103;gilletcharlotte;hBSGq0Md&@^m;Lamy;Henri;2002;11.689;3.976
103;didiersimone;7D#*(mvU6d_H;Mallet;René;2002;8.142;10.311
103;tgay;!HB(dWrp372p;Ledoux;Aurore;2003;11.736;18.5
103;francoise10;^1nIZ(lpLxgZ;Raynaud;Stéphanie;2002;19.654;5.589
103;huguesbarthelemy;&f7hvl_@hfmA;Da Costa;Élisabeth;2002;4.432;7.291
103;lpotier;t(hW7TpNan%2;Roussel;Valérie;2002;14.39;13.031
103;rdurand;N_7M7!gxp@^d;Bernard;Adrien;2002;11.422;18.971
103;allardmadeleine;rzy7EF0AJ+aD;Joly;Étienne;2002;2.195;12.937
103;icollin;$^1(uWfu)oX6;Chretien;Diane;2002;14.562;16.454
103;etienneolivie;hzGNkEJs#T1S;Leblanc;Thibault;2002;13.484;4.587
103;alexandria39;Y$^_CViRS_6^;Munoz;Marianne;2004;6.385;14.274
103;mhebert;g1Ra@zN5&4P#;Valentin;Laetitia;2002;17.297;11.747
103;eugeneleclerc;$6Rdw1Aprgu#;Gilles;Julien;2003;4.645;8.593
103;uschmitt;#3YcXGzgG7*b;Chretien;Corinne;2002;14.106;19.697
103;clemence43;$8QTWZd5q8%Q;Roux;Inès;2002;3.01;12.1
103;eleonore24;^FIikftrN+1N;Bertin;Gérard;2002;18.623;4.751
103;ericrobin;Vl!0COmjQna0;Blanchard;Monique;2003;15.345;9.225
103;brigitte70;RP9)svd))eY5;Godard;Margot;2001;3.672;19.73
103;juliettecordier;#tpC8Dgz5Ma9;Pineau;Arnaude;2002;6.316;4.791
103;roymichel;*8NyO_t)NaRb;Marty;Théodore;2002;8.774;18.288
103;timotheepaul;)w02Mvlr#)+_;Perrot;Jules;2003;6.459;11.268
103;raynaudgilles;ZBpetMEMx9H$;Tanguy;William;2002;3.225;8.221
103;charlotterodriguez;Nd@57MRa2E%K;Lamy;Corinne;2002;8.263;13.875
103;jbrun;HPH0ZcTkW8)I;Pineau;Thibault;2002;19.537;5.543
103;moreauolivier;%oNVuShs(oQ9;Tanguy;François;2002;2.068;7.518
103;vmasson;(3IQbj5gq#ik;Auger;Françoise;2003;5.32;13.825
103;jgiraud;Ac#NHfGdb084;Brunet;Noémi;2002;10.337;13.798
103;theophileroyer;J3IvswjwW8j_;Guibert;Susanne;2002;19.745;5.503
103;denise10;qut@mcsM5NYX;Lamy;Marine;2002;14.209;9.656
