idLycee;login;password;nom;prenom;naissance;note1;note2
104;gabrielramos;yVV7NEf@r&7v;Blanchet;Sylvie;2003;3.711;12.693
104;eleonore28;_JJ7iiiq39LG;Rey;Zacharie;2002;19.929;14.735
104;eugene89;220Tng!MF!0C;Mahe;Renée;2002;2.107;7.663
104;gjoubert;+lcPMaBpB2jU;Gimenez;Robert;2002;17.537;17.14
104;agathechretien;!dI@XSbg9Nxr;Marty;Claire;2002;4.5;9.46
104;hdufour;!86zJwy+RklT;Bernier;Manon;2002;16.229;2.014
104;stephanebazin;K&na9mQa4N7!;Petit;Margot;2002;15.681;3.767
104;virginielaunay;$O7Pt&Gg1dBK;De Sousa;Robert;2002;6.267;4.679
104;duhamelnicole;_ySj@XSu)60V;Poulain;Geneviève;2002;3.21;5.346
104;manonrobin;a%1I)33afVbE;Charrier;Martine;2002;12.167;10.255
104;wpoirier;sn5^1V(o)_JK;Roche;Patrick;2002;6.026;3.489
104;jeannine62;dqkWSIeb!zZ8;Payet;Louis;2002;4.292;8.324
104;audrey98;kw3JcB%C)P%X;Barthelemy;Bertrand;2002;4.487;8.709
104;lombardalice;+2xoPjdJ460Z;Hebert;Éric;2002;18.834;18.978
104;bernard80;75_zQ+ew%vQy;Gerard;Alfred;2003;5.907;14.507
104;valleteric;p_Y7NGwuYa2G;Masson;Aurore;2002;17.039;10.295
104;frederiquelegendre;(9Hn#yKx3C8P;Coulon;Antoine;2001;19.799;15.926
104;mullerthierry;%7G#89RPh2zR;Peltier;Auguste;2002;4.453;2.306
104;georgespenelope;#bMOi*lu0qBH;Duhamel;Bertrand;2002;14.03;10.133
104;christophelecoq;co!4MMdVgH)k;Julien;Adrienne;2002;19.549;18.373
104;paulpenelope;K)ZPay1l^6rM;Morin;Arthur;2002;9.819;15.745
104;alfred96;#WAnS+jjLC5y;Munoz;Jeanne;2002;6.173;6.732
104;ulabbe;3q*@k$1Iv&6Y;Renault;Philippine;2002;4.813;9.035
104;elisabeth09;#1!K_^r_dr7j;Gautier;Agnès;2002;14.618;10.954
104;lcollin;e3gForH0F(&#;Thierry;Adélaïde;2002;5.917;14.196
104;amelie97;g*3tHzYuPft#;Perrin;Chantal;2002;6.53;17.449
104;barrechantal;kTE3&p7F%3(J;Vincent;Lucie;2002;8.269;2.97
104;edith59;lS1KXv&j@!Qu;Marion;Nicolas;2002;19.926;17.542
104;davidjacquot;1JJ4NsAoN*%X;Evrard;Sabine;2002;3.669;2.839
104;virginiegaillard;sN0%9w3r+)(P;Andre;Robert;2003;7.639;2.689
104;bertrandleclercq;P$15B%JrGlM9;Monnier;Margot;2002;3.944;19.532
104;xjean;)2i13Yqk!(!2;Martineau;Roger;2002;4.687;16.527
104;martin32;)4ImHyHCAmY@;Voisin;Alain;2002;19.494;9.643
104;margothamon;(1(M6ru#ty3G;Allard;Alice;2002;4.317;16.891
104;marianne91;d4QVQ!yb+dV*;Techer;Marcelle;2002;8.613;11.414
104;ramoslaure;MD006Yjh3&mx;Millet;Maggie;2002;17.716;12.001
104;uraynaud;H%7JLOf)*s_y;Munoz;Henri;2002;5.467;15.869
104;olivier98;H165CWce#wnH;Delorme;Théodore;2002;3.134;3.61
104;isabelle24;@3tpIvss&j+0;Dumas;Maryse;2003;6.834;14.073
104;zachariele-goff;^a!9GATwE$j2;Philippe;Christophe;2002;18.931;3.669
104;alainroger;1&%M#PrR&J3P;Tessier;Thibault;2002;6.568;5.478
104;fphilippe;!ypwIpQp_(2I;Buisson;Brigitte;2002;17.105;17.514
104;jeannine02;&p&UjNmn3i#L;Labbe;Frédérique;2002;10.886;8.807
104;theodoremoulin;g0)xGVNe#FfB;Dubois;Laure;2002;8.612;8.247
104;jeannefleury;KaEIVScz+!81;Pineau;Frédérique;2002;14.35;19.145
104;thibautchauvin;fYfZoehy!2zA;Mahe;Jacques;2002;11.795;16.278
104;zremy;$#NlWZcqW&X1;Lecomte;Olivie;2002;4.715;6.548
104;schneiderthibaut;p#%WTDfz&L60;Gomez;Marcel;2003;10.984;18.954
104;rbuisson;og$+DJ2Ez^M4;Rousseau;Antoine;2002;11.116;19.425
104;mallain;iilB2eZs)3+Z;Marques;Guy;2002;16.109;4.38
104;morvansylvie;&3^IZ1Ivu70U;Raynaud;Jean;2002;11.197;5.314
104;oceane88;*lq7KwKt0R9$;Schneider;Aurélie;2002;7.691;11.223
104;adrien51;AQ0Zcpl@$08G;Auger;Sébastien;2002;16.818;11.245
104;margaux71;TB_WNT_m)KK1;Dumas;Timothée;2002;8.44;16.109
104;nribeiro;4$rE3qLlRfuE;Bouvet;Capucine;2002;4.136;2.334
104;meunieralexandrie;@KtCAw$@%!4v;Maillet;Margot;2001;9.232;6.179
104;icarlier;%g8@y_+l1UyE;Jacquet;Jeanne;2002;4.045;14.742
104;rolanddias;ZevKribtQ$0w;Joly;Emmanuel;2002;6.343;18.177
104;slemoine;f2p9GvM&@C1V;Berger;Frédéric;2003;14.848;9.627
104;noelrey;D19Zz_aA$TvR;Begue;Denis;2002;12.975;16.028
