idLycee;login;password;nom;prenom;naissance;note1;note2
105;tbrun;e$P57mM6_6VR;Gauthier;David;2002;12.648;18.775
105;roger97;(8t6O&IqK)UW;Perez;Henri;2002;18.252;6.053
105;rogerlucas;_W#O+Yev0o(Q;Michel;Denise;2002;8.278;17.411
105;martinemaillard;%t9JZv$$n2Iy;Maury;Isabelle;2002;18.108;8.03
105;lebonadele;v&Y7StZG2z1k;Millet;Christophe;2002;2.187;15.03
105;valettealex;#d7WDTODg1^s;Roger;Pauline;2002;9.496;9.438
105;lucebaudry;F93m60@c)QM9;Briand;Raymond;2002;4.3;17.166
105;costecapucine;_L04IKfsz@C3;Pages;Christophe;2002;8.938;13.238
105;aurelieaubry;_NiIOccc3DWk;Fouquet;Geneviève;2002;8.925;13.001
105;benoit25;zd6aFa0n9_@v;Gonzalez;Virginie;2002;2.873;10.426
105;simone79;)m5pwycvE*kI;Courtois;Mathilde;2002;4.219;18.745
105;alexandria38;Iv9X&iCeY+E5;Chartier;Thérèse;2000;7.068;19.648
105;lemoineemmanuel;&^9@miru$wyO;Jacques;Isaac;2002;5.031;7.029
105;philippe27;c%2%Ne#8f^&B;Julien;Nath;2002;11.308;15.982
105;leclercqtheodore;DU!8XCd_z0aA;Nguyen;Charlotte;2002;4.32;15.588
105;olivierbouvet;LC8Sl8Hj@m69;Paul;Aimé;2002;14.632;16.393
105;gonzalezhenri;0876wkyZ^m&Z;Carre;Marc;2002;11.846;3.347
105;alphonse05;LTc0$@nc!5DO;Chartier;Thibault;2002;16.784;3.962
105;renardmartine;^6Bxp%lgnh^B;Lemaitre;Inès;2002;5.244;13.564
105;augustemoulin;B3A*I5pA)05x;Henry;Lorraine;2002;3.312;4.3
105;christianebouvier;^wdFZSm1ev5#;Reynaud;Lucas;2002;11.3;14.193
105;bernard47;0u6k*#J!()+R;Joubert;René;2003;18.637;6.212
105;guy52;z(RHDh02Uqa9;Lesage;Matthieu;2002;11.623;12.176
105;bruneaumichel;_1tODS3qYAeL;Guyon;Antoine;2002;17.013;7.776
105;arnaudalfred;9tG2G_k^&Eh_;Guillou;Paulette;2002;11.23;3.692
105;martyclaire;SZovyVc6W&8S;Mendes;Patrick;2002;18.169;3.564
105;marie07;@6Dsk*Zq$q(W;Evrard;Éric;2002;4.876;4.13
105;hguyon;62&XqXYs@EgQ;Delattre;Simone;2002;3.172;6.992
105;larochemargaux;7D+6NopJ$x16;Fleury;Luce;2002;18.748;14.732
105;germainaudrey;@X@WtTxjf0*4;Collet;Nicolas;2002;19.36;14.28
105;rocheanastasie;^8OCE2oa8&@s;Chevallier;Élisabeth;2003;19.508;6.738
105;josettegomes;(+DxEmV4t7TB;Martel;Élisabeth;2002;9.042;19.668
105;ycoste;^c7b!zh0T6oH;Ferrand;Josette;2003;18.201;12.863
105;sabine44;%1f8Z6kOKyLR;Torres;Juliette;2002;6.731;14.952
105;tclerc;(Q3i1_Eu32BR;Ledoux;Sébastien;2002;8.861;4.006
105;bdelattre;x96Huaeu+C3e;Morel;Marthe;2003;15.704;11.065
105;olivier50;@fn9aydy4LR2;Hamel;Colette;2002;16.356;16.759
105;luce25;+U2VTjTI0JC#;Rolland;Adrienne;2002;15.967;9.953
105;michellegeorges;)&f_YhTY4AN4;Guillon;Claire;2002;10.099;15.817
105;dijouxvictor;$5ERx^uUEuz2;Nicolas;Auguste;2002;9.922;2.576
105;lefevrenoemi;dnZPcPR%*2Hg;Delaunay;Lucy;2002;16.912;12.228
105;lebonandree;X$Lfz*RD5u7V;Thibault;Élodie;2002;3.286;19.72
105;nicolebesson;McCn)H7d^y7z;Blot;Mathilde;2002;12.122;9.733
105;william09;8*(Vh9Ti$XEr;Pichon;Mathilde;2002;7.51;7.332
105;xlamy;f18Srp*il*+I;David;Frédérique;2001;10.816;18.811
105;celinaloiseau;Z!1zJ7pRNqcP;Lambert;Antoinette;2001;14.219;4.336
105;nicolerobin;#&d2mbTiD3Cn;Blin;Madeleine;2002;16.22;15.078
105;guichardcapucine;D(y8yUvksOuS;Poirier;Aimée;2001;19.164;6.34
105;guilloualexandre;$hAnn%4u8TKY;Paris;Marc;2002;13.593;8.905
105;noemiantoine;pyC+RRSgs*83;Bernard;Suzanne;2002;14.21;11.058
105;caroline10;q^LeiGPSza2e;Lacroix;Henriette;2002;19.508;2.129
105;louisschmitt;#y4pgTa@n1xR;Rolland;Sophie;2002;17.748;8.872
105;limbert;%$79W^$u8!s*;Pruvost;Timothée;2002;16.837;9.655
105;danielbenoit;*xsJJxUuEs*4;Robin;Paul;2003;11.345;12.382
105;alex17;&oV_aePvv4#d;Adam;Timothée;2002;18.81;19.109
105;lesageolivie;RB@+ZE#z!_%1;Torres;Bertrand;2002;6.909;12.493
105;etiennedupont;Z+8NKz@W@O9F;Boucher;Monique;2002;8.941;10.342
105;paulgregoire;)Vx93T7dMvC0;Bertin;Gabrielle;2002;5.149;6.675
105;pierresuzanne;ep%VymF8hb4(;Hebert;Gilbert;2002;8.378;10.183
105;adrienlagarde;$Y17&rDjH&24;Marchand;Joseph;2002;4.688;6.436
