idLycee;login;password;nom;prenom;naissance;note1;note2
106;klemoine;7b(Z#iJb)Uc2;Torres;Joséphine;2002;9.53;4.545
106;gmarchand;!F+i61K@q0O$;Benoit;Christiane;2002;7.257;18.042
106;maryse13;B)CfQhPsas9N;Ribeiro;Alexandrie;2002;16.33;5.671
106;zperez;*8SAae7!)euG;Meunier;Marcel;2002;11.015;7.954
106;guillaumeherve;f6NY0cLl)24K;Mahe;Suzanne;2002;7.655;14.868
106;faivrelaurence;SgDkhOdO+U68;Da Costa;Julien;2003;5.757;11.894
106;celine26;3qY%5+n(*VtC;Morel;Eugène;2001;5.448;19.946
106;thoarau;+1BkjlEzK5%U;Bousquet;Patrick;2001;16.744;18.765
106;suzanne89;^2Irv@)l5leg;Perrin;Valentine;2002;7.144;4.414
106;christine69;KVoq7EOvH0(9;Schneider;Sylvie;2001;15.253;12.141
106;julesruiz;+%B$CgxW656H;Guillou;Rémy;2002;6.94;3.004
106;vjacques;8!FSYm+@Ty4@;Lebrun;Renée;2002;8.062;17.282
106;sabine09;S$9GEfKulOIT;Pires;Augustin;2002;18.243;4.542
106;evidal;pRT2qT+xEJ#!;Robert;Maryse;2002;8.776;5.033
106;isaacde-oliveira;6cGXLzqrL2_&;Lejeune;Inès;2002;4.919;17.396
106;gregoiregabriel;0JJSU8_o(KPw;Marie;daisy;2002;2.922;14.001
106;nbrunel;qs%yHH(m#V8y;Pineau;Marcelle;2002;9.012;19.286
106;joseph67;h)H*e9BhQjIE;Gautier;Théodore;2002;9.442;3.104
106;laure69;Sn3U1A8s0#0h;Bertin;Zacharie;2002;15.448;9.927
106;vbouvet;)bbTQdBw5!4^;Martel;Joséphine;2002;4.854;5.387
106;cecilepoulain;+b8pRu8vdp4k;Mathieu;Julien;2002;18.807;18.103
106;levequealexandria;2cnQOLp7+Kq);Blondel;Thierry;2002;19.068;5.763
106;elisabeth55;#0IduEj0*(%M;Ferreira;Simone;2002;6.434;10.781
106;etienne85;_37y2KYgoodN;Rossi;Claire;2001;17.585;13.938
106;alexandriaberger;!t@DAi#42sMe;Meyer;Eugène;2002;19.003;3.254
106;alexandrieandre;+8yRkGfAj5Y*;Laurent;Agnès;2002;19.817;10.444
106;brigitte89;AH8v1Fvc^1MH;Jourdan;Guillaume;2000;15.046;12.038
106;thierry81;Xf6g66Mb9U*3;Aubry;Sophie;2002;18.295;12.296
106;virginiebenard;B)2(9tHi_J+I;Dijoux;Manon;2002;8.55;16.782
106;lopezbernadette;17R1Islaf*yP;Duhamel;Édith;2002;16.554;17.026
106;benjaminfleury;_4Tvldsn1K^U;Rodriguez;Honoré;2002;4.037;17.525
106;le-rouxelisabeth;+TGPJCPWn4#w;Boulanger;Noël;2002;19.919;3.242
106;denisbrigitte;V!qnEdGf^N3e;Leger;Denis;2002;7.906;14.574
106;simonaime;_JEAdQKui&)8;Grenier;Raymond;2000;14.781;5.581
106;henridupuy;)8T1iVf9sHBI;Garnier;Pierre;2002;9.338;2.572
106;georgesrenard;HBe1IG#o@Z1W;Mathieu;Charlotte;2002;18.416;2.225
106;diasdenise;L7AtXh^o@lEI;Labbe;Frédérique;2003;16.825;18.398
106;lucas93;%yGS0Ksy!Y!G;Dupuy;Stéphane;2002;13.956;4.532
106;ojacquot;^8LoELKTtpA(;Robin;Valérie;2002;13.759;2.128
106;chantal13;^9AwAgeNulv0;Pereira;Gabriel;2001;13.033;4.52
106;patrickhumbert;4QoxOHGgBT&3;Riviere;Richard;2002;11.148;5.006
106;nferrand;7Cp8D^byT&sx;Chauvet;Joséphine;2002;12.777;6.682
106;eleonore13;#7If5J1g1TmY;Roy;Emmanuel;2002;4.567;4.183
106;celina90;GG3iHu0cU^$S;Aubert;Agathe;2002;19.178;19.5
106;kbarbe;2wi5YVsQ(J5y;Bonnin;Susan;2002;17.699;18.038
106;pcoulon;aTS4XGnfV)$I;Michaud;Marcel;2002;4.82;11.346
106;theodoreferreira;@+6vpc7raH6l;Brunel;Alex;2002;12.256;2.196
106;neveudenis;&89Do#b0PrP_;Huet;Claudine;2002;14.008;3.289
106;mercierpatrick;^4vImy^(6wMd;Baron;René;2002;9.312;10.042
106;bernadetterodriguez;qv&1WTo*rnY*;Colin;Édith;2002;10.716;2.863
106;zvasseur;d&ikBTr6h^7B;Faivre;Pauline;2002;2.926;6.725
106;meyercorinne;H#4lqy4zjqhL;Rodrigues;Roger;2002;16.726;3.47
106;fontaineadrien;C$rH!2NxZS6v;Bernard;Alex;2002;13.545;3.342
106;michele58;8TfR%g8o%0M^;Lejeune;Sylvie;2002;8.599;17.013
106;nicole16;7pTlpfvu$!4C;Gomes;Marcelle;2002;9.405;18.03
106;greniertherese;hYJc_E9g_4Ez;Jacques;Denis;2003;10.654;9.3
106;valentinantoinette;w(1Blg*^FC2p;Simon;Alice;2002;9.634;11.175
106;corinneruiz;$3Ul0UG4dK5$;Grondin;Dominique;2002;6.986;12.725
106;mathildepayet;!!2Y_XEW+go5;Charpentier;Roland;2002;16.666;8.673
106;pmartinez;g090^xor$%Ds;Nguyen;Aimée;2002;11.606;16.971
