idLycee;login;password;nom;prenom;naissance;note1;note2
107;descampspatricia;(#(SO#5uVER^;Pascal;Susanne;2002;16.999;18.462
107;igrondin;*MFWXr+ab9VX;Bertin;Sébastien;2002;18.506;15.74
107;bertrandde-oliveira;M#w4ropq7TM#;Clerc;Aurélie;2002;2.637;7.874
107;bletellier;a0T%7BEK(VqN;Sanchez;Valérie;2002;11.745;2.99
107;durandgilles;*J)HOvxb8)9D;Maillet;Joseph;2002;8.665;5.392
107;tblanchard;#7eDBb@UTLjW;Nicolas;Christelle;2002;15.286;12.113
107;kteixeira;P2rg#Ah9*6oM;Humbert;Hugues;2001;17.595;17.321
107;torresphilippe;&9&NkoThv7^0;Ollivier;Jacqueline;2002;13.425;6.915
107;mathildecohen;MdAt2cVwHh+7;Gautier;Agnès;2002;4.292;11.596
107;xavier28;ye67#N^x0*F(;Jacques;Madeleine;2002;5.185;2.169
107;lucemarion;*1WZGj$eH5CN;Chretien;Hugues;2002;2.615;7.34
107;alfredmendes;q27E6l69(uHK;Thierry;Laure;2002;7.894;7.663
107;louisalain;0vQpOa6w*)G8;Gaillard;Joséphine;2002;7.382;17.001
107;margotcourtois;4sv8Fkp^%t)6;Guichard;Lucie;2002;5.892;7.593
107;wpetitjean;)Ar2Ywe(+N8E;Blanchard;Maurice;2002;6.626;5.894
107;tmace;F81ZQc@j!sQ^;Georges;Capucine;2002;18.527;17.919
107;lrobin;$QUBha(+8*l0;Gregoire;François;2002;5.921;15.805
107;marinemarty;9j02(5e@(&!R;Pons;Roland;2001;14.443;10.033
107;stanguy;fMAI@ql*+!P4;Gauthier;Victor;2002;18.956;2.55
107;troy;b)1WLOse(CZL;Torres;Astrid;2002;2.893;6.941
107;qbesnard;rQ9I4+sy&Jed;Ollivier;Lucy;2002;9.238;10.733
107;kbriand;vY0n1OfIkP2^;Foucher;Brigitte;2002;19.526;5.041
107;arthur27;r__y^F+)7NL$;Martineau;Pénélope;2002;12.324;16.458
107;nathalie81;cphnp&o6$9T9;Clement;Capucine;2002;17.955;5.439
107;martelauguste;X0ERGgiHrXn*;Verdier;Céline;2004;11.168;16.792
107;charrierhelene;_&Eo@FLwSD2l;Denis;Pénélope;2002;9.12;4.499
107;poirierauguste;7DS(ZiOij!3F;Teixeira;Georges;2002;10.574;6.026
107;paulinecharles;I30WWItR)BEV;Blanchet;Alexandria;2002;11.234;12.759
107;sophie40;yz4*Cp6n^1Np;Denis;Éric;2003;5.473;11.575
107;sebastienjacquet;$YD!im1c5NCA;Peltier;Marguerite;2002;7.57;4.173
107;lerouxmaurice;*SVKyp9Xc4PV;Wagner;René;2002;12.144;14.387
107;hletellier;8U15g(^y%R@D;Carre;Lucy;2002;19.773;9.548
107;paulettemendes;#34Q4!TpbPuW;Blin;Antoinette;2002;9.716;19.368
107;perretdaisy;%w%2cV%W55)A;Ferreira;Zacharie;2000;18.138;8.747
107;tgautier;_5%p7Xkp%!ON;Boucher;Martine;2002;15.134;5.343
107;texieramelie;+3^IGpR&iiUv;Charrier;Laure;2002;12.13;13.406
107;colette69;3es!Tn^!$&+R;Martins;Marc;2002;5.994;3.849
107;stephanedidier;!XobkWryf4@@;Blot;Nathalie;2002;3.669;6.85
107;dianele-gall;(Rl2Q1jGk4pv;Bruneau;Andrée;2002;19.234;17.208
107;susannepruvost;$tQc9ly*5sOP;Sanchez;Michelle;2002;17.32;2.577
107;louise74;kw2NYrrX6@g(;Imbert;Margot;2002;19.793;7.311
107;constance65;y1wqIHQsCA$4;Descamps;Zacharie;2002;7.783;15.504
107;gparis;+8!A1N_h_W3P;Durand;Hugues;2002;7.279;11.751
107;gdelahaye;s&2pIdl$WLIg;Coste;David;2002;19.975;12.507
107;antoinenoemi;B7pqbB*k5(3X;Bernier;Sylvie;2002;17.835;6.638
107;andremarques;Op0CxnqPi%8s;De Sousa;Jeanne;2002;14.478;11.34
107;mleveque;IixLA3sw(9xV;Aubert;Adrien;2002;10.043;11.759
107;hamonanouk;&a1YLXEDu#Te;Besson;Adrien;2001;2.609;17.3
107;alexandrie00;#2RyYfAT(i^U;Coste;Michèle;2002;5.831;17.239
107;raymond25;V$@iCNnd(jb2;Lejeune;Laetitia;2002;3.304;10.926
107;honoredufour;pyrMkxS*7hM*;Blondel;Thibaut;2002;9.715;4.619
107;guillonchristine;_uLRW!pit0V(;Carre;Raymond;2002;11.658;3.578
107;agathe50;NtBbc$9fd4h@;Gros;Marc;2001;12.699;8.41
107;adamgabrielle;&oK6%UdR64Xa;Blanc;Denise;2002;11.667;16.91
107;georgesalexandre;@+L3umXhutEQ;Ferrand;Henriette;2002;4.032;11.77
107;rlelievre;5C6R2Koh+ChH;Guyot;Stéphane;2002;16.601;12.832
107;durandcaroline;y4uJo3F3ob*!;Rey;Stéphanie;2002;10.063;10.256
107;michelleleduc;23XyQSI0Fo*V;Imbert;Charles;2002;8.087;14.117
107;galletmartine;&gx@Q)ij@2m5;Roger;Noémi;2002;2.405;8.4
107;kcharpentier;@0z%ynu5l97U;Ledoux;Dominique;2002;14.4;12.803
