idLycee;login;password;nom;prenom;naissance;note1;note2
108;brigitte15;5U7OfF7y+%Up;Maury;Louis;2003;17.78;6.459
108;lucaspotier;(O7+yg9(lySQ;Labbe;Thibault;2002;7.849;9.376
108;rolandmerle;$5Wv*3)k8!2f;Marchand;Bertrand;2002;9.975;14.956
108;benoitjuliette;2D_9MiQyxltl;Boulay;Juliette;2003;8.169;5.175
108;marqueslouise;9wKqU4yb#pog;Imbert;Rémy;2002;17.597;18.061
108;ponsvictoire;^2rKQg@ub2%Z;Lecoq;Michelle;2003;2.321;10.737
108;ucollet;z#PHNxXMFds6;Pereira;Laurent;2002;7.831;15.332
108;fpires;apkC2EXZ$5JU;Seguin;Marcel;2002;3.87;7.386
108;anastasie95;VewsT#MaF_r8;Duhamel;Maggie;2003;3.216;3.921
108;fabrematthieu;6#6XtM6wC$Oa;Morel;Margaux;2002;12.41;10.015
108;dominique67;h65WkjIg+9WG;Petitjean;Margot;2002;12.172;15.689
108;zruiz;d%NxHtXu#8!2;Alves;Margot;2001;18.501;14.485
108;caroline45;7s2ZV8Pl!V@G;Lemonnier;Noël;2002;4.542;15.907
108;thibautthibault;#aTZ)Oj!1rS6;Pineau;Adèle;2000;4.876;7.47
108;dufourmarcelle;#TFl(@^pv7Fo;Perret;Constance;2002;8.716;5.067
108;imbertluce;#J4Pau9j4mhP;Grondin;Marine;2002;6.134;9.382
108;lucasvalerie;cR6^ZhuS$+Hf;Guyon;Suzanne;2002;19.053;6.052
108;philippegerard;+(8mUI&p#LA1;Prevost;Susan;2001;19.367;18.273
108;clemence30;*4OjH@Fr++5d;Cohen;Anouk;2002;15.064;4.058
108;isabellemarty;C@7c4IRv)Mx4;Guillaume;Marie;2002;6.004;18.643
108;lucyrenault;@YB#gqmb1#9U;Moulin;Clémence;2002;5.788;15.273
108;amelie61;%p6B5JKlwI2#;Coste;Danielle;2001;4.16;19.437
108;tmartin;ea9pCKk6)sHp;Jacquot;Jean;2002;14.898;9.285
108;lagardehugues;N59ziePe_*qA;Marty;Guy;2002;12.587;14.156
108;gaudingilbert;$I4T3EJf0Ye7;Baudry;Alice;2002;18.091;10.746
108;christinemaillot;2rJ%9WdU$CAW;Chauvet;Margaret;2002;10.243;7.244
108;guilletmarguerite;$3FP_$X6oXGm;Boutin;Adrien;2002;6.387;6.21
108;benardalice;@#pUJrFeI9^4;Salmon;Olivier;2001;11.248;2.497
108;aubryfrederique;H$mRejpe^67$;Guichard;Laurence;2003;16.325;11.359
108;qgarcia;#@5J!!cgEFj6;Durand;Lucie;2002;5.067;3.954
108;bourgeoisalain;!6qX$m6ttuXi;Lecoq;Aurélie;2002;17.976;12.841
108;xavier97;uzvm6kCe_5OX;Bonneau;Julien;2002;5.491;12.642
108;levyauguste;HfUXR1%aB)92;Da Costa;Madeleine;2002;5.322;18.575
108;adele88;$r(PLAA@7%0q;Marechal;Audrey;2002;9.504;11.131
108;rodriguezveronique;#uSyOo^J6xE2;Lebreton;Olivier;2002;16.685;15.495
108;henri15;aC*2X^n_tMO5;Bernier;Timothée;2002;9.104;10.422
108;obesnard;2ck8X1!v*k7G;Hubert;Luce;2002;7.901;13.437
108;tdelmas;+ApOv3viXy77;Hardy;Guy;2002;16.85;6.387
108;navarronathalie;PZfQUmtn38)9;Allain;Adèle;2002;5.008;16.094
108;audrey61;M$edQLwJ53M2;Samson;Arthur;2002;10.296;12.348
108;daisy86;ygYW7CDzHI#^;Rodriguez;Anouk;2002;9.286;12.551
108;adele27;e6!lXGb6(+g0;Duval;Hélène;2001;10.946;17.94
108;sophie49;a_i@Dj0H^$C2;Mary;Adrien;2002;13.581;19.96
108;yroussel;p$hBOMOnvyo1;Humbert;Joseph;2002;19.72;16.069
108;barbenath;8$QWk80^Gt8E;Remy;Frédérique;2002;15.238;2.595
108;honore67;dw(UbuDk^2P9;Pires;Vincent;2004;8.117;8.174
108;genevievehumbert;W7tDy%Yr^RH8;Fabre;Lorraine;2002;16.469;18.518
108;astridrocher;K^8^dhcYujWT;Dumont;Capucine;2002;6.587;15.283
108;victorbousquet;$I_MLzG$+N4d;Caron;Denis;2002;8.524;5.389
108;margot68;+Q5_o@@r)(wT;Robert;Matthieu;2002;19.895;10.908
108;jacquelinemarchand;c$GAunij+H0b;Marechal;Henriette;2002;13.661;3.89
108;oceanerolland;oO+5rZVgR$47;Olivier;Hugues;2002;14.936;12.26
108;adriennebaron;2jPuVcLg+cV8;Ollivier;Aimé;2002;13.748;5.607
108;opascal;3z5Jh&Cu@Ate;Gomes;Jules;2002;17.046;10.019
108;theophile63;0tlUzacBxA!@;Launay;Émilie;2002;2.846;18.982
108;rene96;5f8dX9Wp@v)K;Vallet;Corinne;2002;3.459;18.165
108;renechauveau;9(0Q%0kfht&j;Moreau;Philippine;2002;16.369;16.359
108;edith43;^mNCIYgFxw7L;Lemonnier;Claire;2002;11.33;3.994
108;morenotherese;@_04)J%fqg_W;Ollivier;Hélène;2001;11.756;11.158
108;pierre29;*)07wRo*Lfcx;Jourdan;Marc;2003;17.464;9.975
