idLycee;login;password;nom;prenom;naissance;note1;note2
109;franckle-gall;@6^V#Xa&z4JF;Pons;Danielle;2002;6.974;9.085
109;sadam;!9X810sRquJY;Martins;Léon;2002;16.629;9.495
109;tristanmichaud;_)2QfnHUz)Vn;Faivre;Julien;2001;14.523;13.134
109;rochertheophile;I%%7rDs^IexT;Toussaint;Stéphane;2003;17.886;8.307
109;hugues60;!)MEiWv2U5)V;Girard;Gabriel;2002;9.73;11.487
109;nlefort;3GmFzt4U%+0o;Tessier;Arthur;2002;17.682;14.309
109;toussaintvalerie;^49lAOD%GthO;Nicolas;Jacques;2002;10.631;8.201
109;stephaniebourdon;Sz&52IvQwy!7;Besson;Juliette;2002;13.867;5.0
109;fbesson;8t1Zv6^eIP^t;Neveu;Matthieu;2002;16.61;15.346
109;arnaudcolette;bfDCY9a*$7Ak;Royer;Matthieu;2002;2.907;3.439
109;mbonnin;3Zp8Hl3rAw+X;Leduc;Patricia;2001;6.559;9.936
109;qdupuy;(Ub@OC5eAP2L;Valentin;David;2002;9.73;5.861
109;bouchetveronique;Rq^5DHl6AExz;Dijoux;Isabelle;2002;6.628;15.656
109;christophebodin;Vm28QfFpn#U%;Louis;Christine;2002;14.829;13.003
109;suzannelacombe;N55s29Mg3W#W;Maurice;Henri;2002;2.249;5.864
109;bhoarau;#GU&rItj%8Nd;Regnier;Patrick;2002;13.305;7.916
109;wgillet;69a^r_9G2^1M;Buisson;Renée;2002;14.206;19.791
109;veroniquegaudin;)jygMi*O!5wc;Traore;Inès;2002;15.921;3.691
109;jeannineweiss;BHB)v9OuRD2);Mahe;Astrid;2001;9.658;18.03
109;alexandria25;_UV@Z()jRsg2;Da Silva;Antoine;2002;13.997;2.881
109;garnieralain;P@927zFq$9OW;Peltier;William;2002;17.243;14.508
109;edith75;i@7KljU7h3rZ;Lacroix;Sophie;2002;7.648;9.329
109;raymondpereira;G*4hK4o1TY)D;Blin;Renée;2002;6.663;3.42
109;edithtraore;&2DVdDJVjEaG;Lesage;Martine;2001;8.528;17.093
109;laetitiabodin;^vGEo%29W30B;Berger;Patricia;2002;19.314;11.575
109;masseisaac;i31b_DGf#4R+;Millet;Madeleine;2002;11.739;15.9
109;adrien19;h9^T)Omu@D!s;Coste;Joséphine;2002;8.805;2.345
109;paulettelopez;_@i2Y9HkI7Dz;Chauveau;Nicolas;2002;2.799;17.621
109;aschmitt;+9#U6Prb011L;Dumont;Olivie;2002;12.397;2.097
109;veroniqueboulay;A*lxBW2fD@0H;Cordier;Marthe;2002;10.648;18.076
109;roland18;00Aou_(l&foQ;Ruiz;Stéphanie;2002;4.31;11.408
109;mgrenier;K)2taX!1TS3V;Perrier;Adrien;2002;2.396;12.961
109;wagneradelaide;^nW$xjn&V0bT;Philippe;Vincent;2002;17.261;18.996
109;vleblanc;c31HLFSk_hlX;De Sousa;Astrid;2003;10.778;17.704
109;epichon;@2(6AzymJW$3;Bailly;Gabriel;2003;8.653;11.496
109;ines31;obsHVAkz61w_;Chauveau;Théodore;2001;9.152;18.054
109;charpentierbertrand;ZHXNggmG@1k4;Perret;Michel;2002;14.233;13.701
109;aimegauthier;r&RpU9ql^1Be;Leclerc;Julie;2002;12.323;3.643
109;valentine08;yPJGMu%n(9qo;Gallet;Richard;2002;15.981;19.592
109;thibault26;4z6&*h0)R3@I;Dijoux;Maggie;2002;2.402;13.386
109;alix83;q4Ydwkk29Ol(;Delahaye;daisy;2002;8.293;13.068
109;qcordier;&WsQPOqSLh9x;Peron;Claudine;2002;17.189;4.279
109;luc73;@z3$sgsChajB;Monnier;Adélaïde;2002;3.741;8.689
109;marcelle44;D)szoihQ)y6N;Lopez;Aurore;2002;3.618;3.897
109;nathaliejoubert;g+$nJUm7Rk3t;Dubois;Michèle;2002;15.723;15.34
109;clementroland;y9qf9GrYU^Ky;Goncalves;Alix;2002;5.29;13.91
109;olivier38;VfPG*hUi$o4c;Faure;Gabrielle;2002;18.449;14.409
109;stephanegarnier;f3Qt4Zd*UZ(5;Ferreira;Gabriel;2002;6.661;18.302
109;frederique95;%aIJEgJ@#8dt;Albert;Anne;2003;19.782;19.907
109;daisybonnet;XMf+VHSdv1Yp;Menard;François;2002;18.939;5.464
109;charles00;(zX3RMb+6Twe;Texier;Jules;2002;7.069;15.053
109;martinclaire;&(GhyjlE%G6*;Dupuis;Lucas;2002;9.24;6.578
109;oliviemartineau;Z$(z$9Vz1YxC;Da Costa;Olivie;2002;6.025;3.565
109;vlacombe;SM8(CFnq+X5n;Gauthier;Lucie;2002;4.038;3.774
109;lecoqguillaume;y02)MSqgcHl8;Payet;Maurice;2002;9.362;15.862
109;elisabeth65;aiLT32Nj^Rj(;Lucas;Pierre;2002;3.488;5.667
109;marcpeltier;2AGn0INiz^Gi;Noel;Caroline;2002;3.327;17.95
109;brunelthierry;CW!RM%Wjta6&;Schneider;Simone;2002;5.089;16.251
109;mathieuamelie;&d#n5FvIiD@1;Bonnin;Gabriel;2002;12.58;15.482
109;fauredavid;$CmsH6xuAO*0;Perret;Thérèse;2002;9.618;2.557
