idLycee;login;password;nom;prenom;naissance;note1;note2
110;pintoclaude;$#3tPlhvi5Kz;Bigot;Juliette;2002;14.956;2.955
110;andrebecker;xMCGixLv$4gh;Maurice;Alain;2002;11.427;18.553
110;eleonorealexandre;84vyUeZx&u7M;Leclerc;Rémy;2002;18.518;7.531
110;royandre;MhS)r037_4Jo;Paul;Émilie;2002;9.081;12.961
110;thibaut47;Ae3bM6fxn)jk;Rey;Pauline;2003;9.441;7.985
110;hbonnin;C7gKlpFc@haS;Roger;Juliette;2002;3.411;7.941
110;marcsanchez;FWyZyn&P%2RO;Paul;Thomas;2002;17.94;7.577
110;briandfrederic;X&T3Qs8Y#1g1;Cordier;Frédéric;2002;7.565;16.374
110;tlopes;HImfSRQw)yH2;Deschamps;Emmanuel;2002;12.447;14.173
110;simone72;O_EI7C+gKZp2;Berthelot;Augustin;2002;11.055;18.71
110;itanguy;tj8GayXN%UNM;Guillet;Hélène;2002;11.242;12.331
110;emmanuellevallee;26PfASup9Vj&;Buisson;Corinne;2002;14.89;19.184
110;berthelotcapucine;%0+6elJh$!KX;Giraud;Zacharie;2002;2.593;10.131
110;dumasisaac;Lc5kFn+5_MK+;Boutin;Caroline;2002;9.939;4.833
110;beckerjulie;T22TndLT!Jz0;Gaudin;Margot;2002;4.219;8.565
110;dominique31;s(Q7MgehM03Y;Menard;Benjamin;2002;3.664;11.485
110;thierrymarie;%1PxmE!4$tkp;Gomez;Christelle;2001;17.657;2.52
110;penelopevallet;c2G1W(dNVR&_;Mahe;Philippe;2002;6.555;9.864
110;agathe44;3!5+s1YpE@z%;Torres;Raymond;2001;9.356;3.134
110;lucie21;L*fczdTt_R17;Le Goff;Capucine;2002;15.164;10.535
110;chantaldelannoy;AD&GRuh$$0%(;Carre;Denis;2002;12.054;2.162
110;npetit;^c4ZMrstVe$K;Colin;Marcelle;2002;14.847;12.118
110;agnespayet;&WpekU&K8kZD;Renard;Aurore;2002;11.015;13.425
110;lecontenoemi;Bz%@zw5k%G5X;Maillot;Virginie;2002;17.926;9.896
110;alainfaure;^1MJG)rr7zL_;Lefebvre;Michelle;2002;5.261;17.992
110;emilewagner;l@@8Ndnpf_H@;Langlois;Arnaude;2002;18.862;19.981
110;ines27;mq6Lmpuu)#O8;Nicolas;David;2002;18.604;12.147
110;suzanne30;_MENb)^vJ9k4;Sanchez;Stéphanie;2002;8.624;18.442
110;udos-santos;%49OyiFkt17l;Vallet;Patricia;2002;9.337;10.9
110;brianddorothee;yK2jYW57@3Af;Rousset;Célina;2004;6.207;10.79
110;legrandvirginie;!97Jh@n(9TOl;Lebrun;Nath;2003;15.822;12.826
110;gaillardalphonse;AA$ENgb7@UG7;Barthelemy;Thomas;2002;17.722;9.342
110;bbouchet;P)Pa1$#pii4(;Leger;Jacqueline;2002;16.76;13.944
110;itessier;y(u61pxx$VMW;Alves;Aimée;2002;18.815;2.428
110;vincent31;#f1%ZE(t(!$_;Renaud;Philippine;2002;17.462;16.425
110;upayet;^F0STkqZ1X3N;Breton;Alain;2002;10.896;6.863
110;lefebvrearthur;@^vXiSWrS!8U;Fernandez;Renée;2002;17.583;2.685
110;pierreremy;_5fmsb3YC%Uk;Coulon;Emmanuel;2002;6.773;17.714
110;gomesdenis;Q2s^u*vv+Rh%;Raymond;Valentine;2002;6.578;4.713
110;wdumont;$m7Xn$!ya#0r;Prevost;Anouk;2002;18.414;4.533
110;garnierfrancoise;*%1BTbn1#^rb;Deschamps;Joséphine;2002;9.019;18.102
110;grosalain;)T4x#(lj*5tp;Gonzalez;Simone;2002;10.047;17.405
110;benoitlucas;rJbSfY$ng3H#;Leclerc;Alphonse;2002;16.514;3.968
110;bernardaubry;c*59VZrTTHde;Hoareau;Adrienne;2002;19.833;16.11
110;aimebonnet;wC(3EYDe3KEW;Royer;Pénélope;2002;16.323;15.041
110;laurentgrondin;okRpl0iN)8l1;Poirier;Françoise;2002;18.239;18.86
110;arthur67;*3A81y1Qx$_r;Voisin;Corinne;2002;11.84;13.582
110;clemence65;#5L0+fqfGgZC;Delannoy;Gabrielle;2003;9.524;5.307
110;benoitduhamel;9JZUgywx949+;Chartier;Benjamin;2002;17.156;10.079
110;tcohen;S_^FBz)SS^9v;Cohen;Étienne;2002;11.314;7.641
110;iblin;ap2#OXtp&o0Q;Denis;Juliette;2002;16.551;13.27
110;martyetienne;7%ML1yHvyo2$;Martel;Alain;2002;17.202;12.066
110;chantal41;N5bMzWdG$a9G;Leduc;Patricia;2002;18.104;12.583
110;sauvageelise;9F)m@4Ln$SAz;Gay;Christine;2002;19.071;5.808
110;bertindaniel;es5HNk)vU_!8;Bernard;Benjamin;2003;3.066;18.481
110;noel86;G9n$Vlr17*10;Gregoire;Martin;2002;7.674;7.77
110;alexandria50;9%L#dYr0c2XN;Vallet;Isaac;2002;2.253;13.885
110;gfaure;*08YFnaME8X);Leroy;Nicole;2002;13.523;2.061
110;honorejacob;2ymyc!OUe2B*;Delmas;Diane;2003;9.847;9.245
110;hardyvincent;+u9V!fzop9U1;Muller;Christophe;2002;14.316;3.483
