idLycee;login;password;nom;prenom;naissance;note1;note2
111;duvalpaul;5m%7rYMbUrix;Delannoy;Isabelle;2002;8.33;17.779
111;noelfrancoise;%@pjYfAUzH5C;Rey;Xavier;2001;14.893;18.191
111;gilleslucy;PwizUm(K_3Oa;Dufour;Susan;2002;18.652;13.944
111;trenault;T&61nIcm$kHA;Lopes;Danielle;2002;13.232;19.953
111;anaisjacob;kv!$5SNnUxG_;Aubry;Guillaume;2002;8.924;11.146
111;devauxeleonore;6)DrJSDn#aDa;Simon;Jeannine;2002;2.699;4.597
111;emilebertrand;*o85STsnpU%@;Gosselin;Théophile;2001;3.858;2.36
111;pereiradenise;@7934SWRd5&g;Morvan;Lucie;2002;6.611;17.318
111;adrienne62;@DdG4PVgB$0O;Courtois;Gérard;2002;3.329;5.487
111;alicemartineau;#7J7%nxi3sYY;Pineau;Thomas;2002;17.641;7.849
111;benoit55;JBz*VDt76sEf;Guilbert;Denise;2002;6.217;19.734
111;margot84;6%z7o*Kw)qqi;Collin;Thibault;2002;16.446;12.039
111;poulainaugustin;#54#t3^!K%4M;Jacob;daisy;2002;5.254;4.347
111;michelrousseau;_CnkXx8_nC1I;Ruiz;Honoré;2002;10.381;17.142
111;pineausophie;^3LH_qjQ*Y0m;Louis;Pénélope;2002;5.338;16.934
111;genevieveleroy;^B7O+bPnCddH;Rousset;Alex;2001;13.314;17.158
111;guillongilbert;+J3pDg*TP@nM;Guibert;Capucine;2002;10.343;8.029
111;qdelorme;7r9NHLGJq#AS;Henry;David;2002;16.819;4.36
111;veroniqueberger;aZ8Bzhwrq_)j;Hardy;Agnès;2002;10.246;9.045
111;bernardleconte;35HO8ryr#H7U;Rousset;Anastasie;2002;4.869;11.361
111;zauger;O$Z%x$t#jv2r;Moulin;Cécile;2002;3.389;15.323
111;matthieumartin;*k4wzFgrZq#P;Dos Santos;Paul;2002;19.675;16.743
111;hjean;ekuOzOc#W^5i;Hubert;Denise;2001;15.54;3.063
111;teixeiratherese;4yHG8Vd8!f3n;Meunier;Maggie;2002;13.228;13.404
111;tdidier;EgD81E$Fc$!2;Evrard;Louise;2002;4.405;4.023
111;huguesparent;(oGs2XgiIu5C;Carre;Élodie;2002;4.144;15.141
111;cousingenevieve;q^@IPLfQ1b42;Lecomte;Édith;2002;7.562;17.687
111;christinedumont;P@efKIqj4^8!;De Sousa;Raymond;2002;12.781;5.594
111;xsimon;E%7eeY6h$stK;Barbe;Isabelle;2002;9.323;2.67
111;menarddaisy;1@lOKxmWILM2;Loiseau;René;2002;17.635;9.821
111;ghumbert;%(wHbynd&o30;Duval;Charles;2000;12.488;7.707
111;noelblanchard;76hUn7sg$WoJ;Mercier;Marguerite;2002;14.175;10.311
111;jacquesjuliette;43DY8NUo&GlD;Joubert;Olivier;2003;10.145;9.778
111;uroger;%96V14)pH+ht;Barthelemy;Théodore;2002;9.844;13.969
111;jrobin;)8UwZr(y6rFA;Mercier;Claude;2002;13.479;14.98
111;edithdelaunay;fEJvuuUs)5));Roche;Suzanne;2002;8.384;4.686
111;gilbertturpin;NGQ!8ltp7%IO;Blin;Étienne;2002;14.446;9.318
111;ubodin;y9F&eJUTwnug;Morin;Victor;2002;12.301;8.589
111;valbert;AhVw5PAO2M_d;Marty;Monique;2002;19.093;8.059
111;penelope95;$_&ePSb^moO6;Peltier;Océane;2002;15.204;4.924
111;claireramos;28kW4AhjWtf$;Moreno;Manon;2003;7.309;9.456
111;kbarre;j*76kr)pH7*R;Potier;Renée;2003;18.198;12.753
111;peronandree;H*eN!Raao^9S;Reynaud;Timothée;2002;9.739;10.99
111;joubertsuzanne;5bLBthwL+LE!;Michel;Agathe;2002;6.079;15.304
111;blancyves;U1uNpv4_%TYT;Mahe;Georges;2002;6.465;5.163
111;kmenard;$3!pgk061z4A;Delattre;Laurence;2002;12.054;8.545
111;olopez;9^yzURa_#Gi8;Gaillard;Jacques;2002;18.558;8.771
111;alvesfranck;PBaARjnL@35a;Daniel;Laetitia;2002;14.667;16.665
111;mauricevoisin;yhGoQuPu&7C3;Michel;Isaac;2001;19.191;17.812
111;marinelamy;5wY_%Qql#9VZ;Leger;Marc;2003;9.937;13.618
111;levequeamelie;ct9_rPdc*1VO;Richard;Célina;2002;14.197;2.233
111;pdos-santos;N#31!pUgPFu^;Leroux;Anaïs;2001;4.121;11.6
111;colinmarianne;&lrpRmn7WY2M;Petit;Manon;2002;8.403;13.236
111;louisdupre;z$ORNseWh0a8;Martel;Agathe;2002;13.762;7.374
111;normandarthur;t(05%gYUQx&D;Leroux;Adrien;2002;10.805;5.576
111;gilletmargaret;%q1%YtruWI_L;Guillot;Frédérique;2002;9.914;9.506
111;cdumas;^+7$w)jWcc8E;Vallee;Paulette;2001;15.454;13.164
111;ccollet;p_857ZzpgoRc;Pineau;Colette;2002;2.658;8.369
111;allaindenis;#l1(NIIrR%p2;Lemaire;Geneviève;2002;17.272;16.618
111;jacqueshubert;d3kOxka!#3zD;Le Roux;Lucas;2001;4.423;9.379
