idLycee;login;password;nom;prenom;naissance;note1;note2
135;marcel38;Fq3!evciHyhJ;Roy;Matthieu;2002;19.199;5.696
135;hamonmatthieu;F4VP$Zby+ww%;Pasquier;Théophile;2002;3.011;4.31
135;zmenard;4LfLWzqB*yyI;Rodrigues;Caroline;2002;4.412;5.856
135;barthelemytheodore;j8PqHYcWx#0z;Hubert;Margaux;2002;7.513;5.624
135;upeltier;3X+kc(f%#hXU;Lacombe;Xavier;2002;8.819;8.082
135;bgomes;@6ofS^e6&V_F;Delmas;Alexandria;2002;14.393;17.744
135;blondelyves;&lGT42Ra(ouT;Mallet;Laurent;2002;14.087;12.53
135;petitthibaut;)Xaa8Sapw1Uh;Grondin;Rémy;2002;17.634;14.305
135;philippedupre;We5J&V&Jl_Ku;Clement;Gabriel;2002;4.468;12.429
135;leroybenoit;e1P%aKUCD5pl;Morvan;daisy;2002;14.702;19.577
135;teixeirapierre;$&bpQz+fZ935;Lombard;Margot;2002;12.842;2.3
135;colaschristiane;hr_YZuiY$7W8;Masson;Joséphine;2002;2.703;7.81
135;smoulin;nV5)Yg!8O%Mf;Roux;Sébastien;2002;7.88;14.018
135;nmahe;x+W)z4Dp^%69;Lemaire;Susan;2003;15.659;13.235
135;ilagarde;x+7EATtu1zVC;Prevost;Noémi;2002;18.231;8.483
135;catherine71;3(gRGxHw(Kr4;Ferrand;Alice;2002;16.989;7.769
135;madeleinecordier;%tc)clv7I7(L;Georges;Louise;2002;2.936;3.671
135;wbarbier;i9#6T18qabg5;Philippe;Olivier;2002;5.46;2.151
135;llegrand;AaG8yZQe^qKa;Bonneau;Margaud;2002;8.817;15.463
135;adrienne12;K_9rxpvYv+4R;Hubert;Agathe;2002;5.706;13.734
135;martin60;M%Kt(9rqcOeW;Girard;Laetitia;2002;3.421;15.337
135;jeanne89;y4k8z#Lv%rCP;Riviere;Antoinette;2002;18.56;7.768
135;alice06;#T*O(3Jzxgdf;Briand;Philippe;2002;16.518;10.268
135;clairelenoir;se1#Wik)*q@S;Fournier;Suzanne;2002;17.665;8.585
135;eleonorecamus;9^P5&HRaGE93;Loiseau;Martine;2002;9.862;19.159
135;luciemasson;PEYH5qyf2qR%;Bourgeois;Richard;2002;19.536;11.408
135;qmerle;4D1!rBz7*V3G;Garcia;André;2002;2.304;16.268
135;nlegendre;_Gmfs3k6M(Ne;Perez;Claire;2002;18.897;13.161
135;edouard54;l)UHFr9OM)8p;Loiseau;Danielle;2001;19.907;15.268
135;lucybonneau;fBckZWt+@8I0;Petit;Vincent;2002;16.153;9.317
135;veronique14;2%AwpMgdmBF8;Peron;Eugène;2002;8.623;13.815
135;ijacquot;e#K3V61gblV^;Meyer;Grégoire;2002;17.947;17.652
135;eleonore51;%7+YW5nFGyS4;Bouvier;Grégoire;2002;5.137;6.178
135;durandjosette;B(9R*@6ip4zT;Lamy;Stéphanie;2002;6.318;17.168
135;lejeunenathalie;vN_R$RugTXI8;Daniel;Jean;2002;17.903;5.318
135;dos-santoschristelle;t^KjGw!nl5x5;Blondel;Antoine;2002;4.226;15.192
135;boutinvictoire;+cD!cS9fZt8k;Roux;Luce;2002;5.521;2.559
135;aimediaz;Mdy^Otzp&d9G;Schneider;Gérard;2002;9.632;13.56
135;elisepottier;xx)FHt$I!4^c;Da Silva;Françoise;2002;3.532;13.38
135;ypaul;Sl)IXLsz(p&9;Arnaud;Andrée;2002;14.18;5.255
135;aime88;@w2cw!*eS1CV;Dupre;Marine;2002;12.082;9.408
135;remy36;*rjO_JZo9NDb;Pages;Juliette;2002;4.896;4.23
135;avallee;v53FGfNi%pOr;Weiss;Julie;2002;15.756;17.847
135;virginierobin;V(@0KuIohsAA;Boucher;Nicolas;2002;14.755;9.831
135;langloisvincent;*W4IE9b8dSj2;Michaud;Maurice;2002;19.064;10.354
135;simonepascal;#(&5G1UbvIv^;Couturier;Adrienne;2001;16.739;10.344
135;adelaide36;h##0DpoQ8Seb;Monnier;Vincent;2002;7.759;17.623
135;raymond65;!h+WMCjy#&o6;Guillon;Nath;2003;12.928;18.935
135;fleuryarthur;4KiSrQnx!P3g;Thierry;Margaux;2002;9.913;9.379
135;paulpruvost;HU5*sL&H48SX;Marchal;Élisabeth;2002;4.882;12.06
135;zacharie52;%i@XLgRVkXI3;Delaunay;Christine;2002;16.516;6.551
135;bigotlaurent;14J@O6_Hy3Hu;Hubert;Vincent;2001;11.957;18.826
135;fleurymatthieu;T*0ptGWSr@FW;Valentin;André;2002;6.792;7.771
135;deschampsphilippe;j(TPGzbK6b8g;Perrin;Simone;2002;10.405;10.929
135;audrey89;3(3hQb+(LQXo;Normand;Corinne;2002;6.581;12.163
135;oceanelevy;g&dFLrKpKx7J;Hamel;Jules;2002;16.91;11.841
135;constance69;#ODEF7ag$5Yb;Da Silva;Émile;2002;6.997;10.447
135;xfouquet;&1iwN)AjlGY@;Petit;William;2001;7.082;12.512
135;olivierlabbe;dS$5DvOb%%f#;Dumas;Adrien;2002;2.883;19.309
135;uperrin;05u0HTpIs@gf;Brunet;Jeanne;2002;12.609;6.314
