idLycee;login;password;nom;prenom;naissance;note1;note2
89;ccordier;Z&pMJTghf53g;Giraud;Margaux;2002;13.739;2.298
89;baillyemilie;!6G!8GCV19Ld;Gaillard;Grégoire;2002;14.181;10.017
89;oceane08;j(59IVGm%L0a;Marion;daisy;2002;17.132;16.763
89;gmaillot;_66VO+yk7PRU;Meyer;Timothée;2002;12.466;13.89
89;guymartins;qJT#O^)s+89e;Martin;Aurore;2002;6.804;14.478
89;devauxxavier;O@Q8e$ntT*8X;Le Roux;Roger;2002;8.185;7.326
89;mathildeadam;(HjW^AFtB(50;Munoz;Michèle;2002;2.188;7.227
89;mvallee;2D^28SCg*Crp;Leclerc;Claire;2002;13.651;12.19
89;aimeetexier;Zyv1QktJ$3*6;Leleu;Jules;2002;18.283;2.49
89;gilbertdiaz;g@6DL2gl*7Qa;Henry;Margot;2002;14.491;17.287
89;lucy68;qlH+u&E#Z+5Y;Couturier;Anaïs;2002;17.069;17.169
89;susanduval;F&3DSdQ!&Pxt;Cordier;Luce;2002;3.825;8.9
89;daisydias;C)0DRD+iJ8Lk;Bertrand;Astrid;2000;12.6;2.277
89;nicolasveronique;ERA@7yFeek^j;Leclercq;Diane;2000;13.657;8.272
89;patrickmunoz;3tjsziU$^j3Y;Dumont;Antoinette;2002;8.883;18.415
89;camille92;*PAz2Xt@X07#;Descamps;Marguerite;2002;14.47;9.744
89;jolyhenri;2%&1qY^t!e9Q;Rodriguez;Denise;2002;12.07;15.453
89;catherinelaroche;^egpmzti0DTG;Schmitt;Lucie;2001;5.516;3.199
89;letelliersimone;IwfRlZ@0*4$X;Michaud;Élisabeth;2002;5.722;8.036
89;michelclerc;r%e_GfU*r$z8;Bouvet;Susanne;2002;4.588;19.332
89;ldevaux;w0X(#kx5+9Kr;Delannoy;Raymond;2002;18.456;6.664
89;dblanchard;#YU7NP5Xq6o+;Dupuis;Victoire;2003;13.54;5.523
89;phuet;WC06zelO+T*M;Normand;Marine;2002;13.721;5.793
89;margot88;*U7YiK9_8y6E;Hebert;Capucine;2001;15.028;10.29
89;xguilbert;oJ5TTrLq%#c2;Da Costa;Bernard;2002;15.932;17.387
89;hpereira;@UsX$oz4e5Bk;Blondel;Michel;2002;10.496;4.413
89;honore16;7@uNVE3eu&2B;Weber;Émilie;2002;10.909;16.426
89;paul12;U#4#QhM(NT5Q;Coste;Henri;2002;19.275;12.189
89;edouardrocher;F&(1RWccNbVC;Perrot;Catherine;2002;5.3;13.05
89;margotchevallier;@g7&Fd%v5c$3;Ribeiro;Étienne;2002;15.81;15.898
89;emmanuellelegendre;B!Ha2BzW*shx;Durand;Élise;2002;5.101;7.975
89;rousseaumaurice;$LCP*qvOQ7eo;Barbier;Manon;2002;7.847;15.951
89;ogauthier;Pq3giFs6K!*J;Lefort;René;2002;12.16;4.262
89;constancehoareau;A(gUD2XsRD0z;Robin;Antoine;2002;6.067;18.681
89;poulaindominique;s7Hx4&$67k@B;Pelletier;Jérôme;2002;18.104;19.279
89;smunoz;y73LK$sdBv@M;Maillet;Marc;2002;5.867;3.989
89;jules52;k+7BA9Sy7Z9K;Rodriguez;Colette;2002;13.33;19.651
89;augustin12;!!hJDzH@1TPf;Leleu;Margaret;2001;5.893;13.445
89;briandtherese;P9jcUw%g%i_T;Pires;Laetitia;2002;4.85;19.775
89;marcelle05;o7Oz2$af*EB);Diallo;Susan;2002;19.97;17.727
89;yves06;U2OLOOPdR@Zf;Legros;Noémi;2002;14.806;15.747
89;fboulanger;^(756tqpAUfU;Francois;Martine;2002;18.787;7.278
89;lagardenathalie;rQ4Rvm#C_6I);Guillou;Henri;2002;14.811;15.039
89;marchalmatthieu;%^&OuW5oy85U;Maurice;Zacharie;2002;10.523;12.048
89;richard69;SC@XWYvuV*0g;Payet;Aurore;2002;11.744;6.814
89;alicelelievre;*BhbdK!e06VM;Paul;Valérie;2002;13.939;17.939
89;hcolas;uo4VN_Cn6H)g;Antoine;Alix;2001;8.608;16.038
89;moreaumarianne;ass6Ni8w9(N0;Breton;Jacques;2002;8.911;19.35
89;wrobin;_Q00xeJu3htQ;Brunel;Nathalie;2001;19.474;19.556
89;mathieunathalie;1M1&n5UmD&$(;Mercier;Georges;2000;8.748;5.334
89;lamylaure;!o%WXLkP^380;Fernandez;Vincent;2002;12.275;15.351
89;margot39;ZmIfX6Iy!hO+;Nicolas;Zoé;2002;5.037;11.235
89;henri93;@jWjgZ+x_L8R;Besnard;Suzanne;2002;7.092;5.074
89;bourdonsusan;!vbpV7rEW4GW;Albert;Bernard;2002;3.757;3.641
89;paul45;Lv+&b_Ka%j5!;Launay;Catherine;2002;13.472;15.616
89;henriettevidal;)L_%x0ZhqPo$;Brun;Frédérique;2002;2.554;11.353
89;jeandiallo;(j8+6m4XM#KI;Gilbert;Isabelle;2002;3.209;15.387
89;agatheguillet;qXg5Kxf)%5lX;Maury;Bernard;2003;3.092;15.38
89;laurentoceane;V+&#8okI0U5E;Petit;Christine;2003;15.93;17.708
89;pruvostcecile;*mPwAX__)7HC;Picard;Susanne;2002;13.501;4.118
