idLycee;login;password;nom;prenom;naissance;note1;note2
96;ericferrand;@2DDUNJL3g4&;Chevalier;Joséphine;2002;7.409;17.893
96;danielpicard;$jZC3meNr8gq;Jacques;Jacqueline;2001;19.916;9.418
96;suzanne68;Hjp_V6h^e4^4;Allain;Victor;2003;17.914;18.952
96;lucieperrot;j7UjYCnb_7HU;Lesage;Michel;2002;7.34;4.496
96;michel55;_igWHbdY0+04;Maury;Guy;2001;7.672;3.5
96;monniermargaret;+AaqQmcg80w9;Potier;Manon;2002;16.549;13.605
96;klaporte;K5l2v7Dk(_29;Coste;Dorothée;2002;16.723;11.431
96;honore68;GhVrIXi*t*8m;Baron;Antoinette;2002;8.744;5.686
96;julienantoine;xU@WfNB#^N39;Lagarde;William;2002;15.068;3.144
96;sfontaine;vbB8zPl86G@7;Raymond;Hélène;2002;7.879;10.903
96;oceanebourdon;&B3bCudZ*#I7;Roux;Stéphanie;2002;13.392;16.889
96;dorothee39;$19U)!3#@aAS;Grenier;Maryse;2002;9.206;8.022
96;chartiertimothee;J@92Mp#h0@ty;Boucher;Michelle;2002;8.734;6.1
96;aimemoreau;4f6OF0Lf_zR7;Marion;Audrey;2001;11.669;8.475
96;elombard;nDz%c3s!h91T;Perrier;Adèle;2002;17.329;12.784
96;boulayclaudine;6$9yC92psh1R;Philippe;Thibault;2002;7.48;15.269
96;fredericnoel;%(kArdI&WQ3e;Mercier;Noémi;2002;7.067;3.365
96;lcarpentier;pEw14eES!5fH;Poirier;Lucy;2002;8.458;18.021
96;tristanbrunel;zR7YvapilW*n;Alves;Capucine;2002;10.809;9.605
96;patricia75;N8VKCh0u!O7R;Bonneau;Susan;2002;3.118;8.275
96;ulebon;^4poRpuqTl0S;Imbert;Alexandrie;2002;7.235;16.814
96;jean32;wk0gK_fmR(9A;Valentin;Gérard;2003;4.007;10.16
96;alexandreberger;Vr4PIGmU+uKe;Germain;Honoré;2003;17.273;15.766
96;bclerc;)!EE#fc&K6ZD;Collet;Alex;2002;15.495;18.604
96;frederique01;$6v$z%^8FkCT;Godard;François;2002;2.982;7.639
96;hubertgilles;RE@1tH0yxl%D;Blot;Timothée;2002;12.887;4.832
96;brigittegilles;#SdlRVlp*4z1;Herve;Clémence;2001;18.194;11.235
96;jeannebenoit;#62GYLzTccpq;Hamel;Marcelle;2002;2.071;13.457
96;anastasieraymond;n)z6bGOwRzzz;Verdier;Élodie;2002;16.959;7.876
96;christelle45;^BSS^!Sf76g%;Carpentier;Cécile;2002;19.606;13.908
96;yvesde-sousa;fa7rNz_la5)L;Georges;Clémence;2002;11.272;16.99
96;paul89;6#4Tr7PmVqtM;Roussel;Adrienne;2002;13.418;15.419
96;patrickdelattre;@^2ZcAbm0HKb;Grondin;Margot;2002;8.725;17.784
96;jacquelineboutin;0AhMhhYg!3dA;Riviere;Anastasie;2002;7.486;11.518
96;camille63;*x@3uwJg%(y(;Marie;Josette;2002;3.748;17.594
96;bsamson;i5PAakRl!CQz;Duhamel;Michèle;2002;10.69;11.477
96;bmathieu;2LP+CerKpAH6;Gerard;Simone;2001;10.908;11.492
96;blanchardmargot;b%9t%qyrSU0M;Bouvier;Gilbert;2002;8.027;2.203
96;julienleroux;4q3*BlSJGz%k;Pottier;Antoine;2003;6.219;17.507
96;ilelievre;W)4cUZBr%v3N;Robin;Christine;2002;19.288;3.064
96;rpires;mzFl@hI8#44B;Laroche;Astrid;2002;18.166;3.882
96;hortense91;#HKtx1Pe!Hk(;Lambert;Martine;2002;11.493;15.462
96;ealexandre;QWQU7u^$^U9J;Joseph;Alexandria;2002;16.307;10.249
96;suzannechartier;_27^X_G^03Ft;Hebert;Geneviève;2002;11.594;2.402
96;colettemichaud;T6LivLsw(#34;Rossi;Théodore;2002;13.048;5.957
96;alexandre32;h14Wu(m$a#cI;Rodriguez;Gérard;2002;5.708;7.743
96;agatherenault;lW7LxBgVr+sa;Andre;Michelle;2001;5.688;13.342
96;maggiecolas;b%5U2sZZ*mx_;Jacquot;Maryse;2002;3.524;5.112
96;martin34;Tp^nSoC(#9WX;Lambert;Jérôme;2002;13.474;3.345
96;robertstephanie;)QX6UCrkQgSp;Gilles;Hortense;2002;8.548;12.453
96;gerarddaniel;3+V8seEbMTKm;Goncalves;Yves;2002;4.329;13.615
96;cohenvalentine;wA$QFgA1w&$7;Bouvier;Thomas;2002;17.886;8.365
96;didiervictoire;DR(Qp7gIT$&9;Besnard;Arthur;2002;11.669;3.294
96;oceanecharrier;)zM*Z41g59ko;Fernandez;Paulette;2002;12.395;2.494
96;carolinepierre;%AM)utr62(1$;Dupuis;Geneviève;2002;18.179;2.506
96;manonlegendre;Ay#^RAqttWP3;Barthelemy;Théodore;2002;16.99;6.76
96;veronique81;f_Z^9DYfFJ5r;Besnard;Nathalie;2002;12.348;8.509
96;rene31;Y$vO9Sh37eK_;Lecoq;Audrey;2002;12.121;14.009
96;laurent75;o%8rH1N*$7GN;Baudry;Nicolas;2002;5.925;5.295
96;hortense47;G2(!DlCo&80J;Lagarde;Zacharie;2002;18.94;16.861
