idLycee;login;password;nom;prenom;naissance;note1;note2
112;cordierhelene;p&w8+mTgW_J6;Delannoy;Martine;2002;8.825;14.937
112;bernardyves;%3q*iOzmUT*F;Marques;Catherine;2002;10.477;14.039
112;odettepaul;(4^mWsya(m0P;Fernandes;Martine;2002;10.063;2.766
112;ypinto;x$_oogQgx!6F;Voisin;Astrid;2002;18.297;19.326
112;lorrainebegue;++%uW#orgR@0;Laroche;Eugène;2002;9.648;5.352
112;lucie05;d%u*Dez5mz$8;Francois;Emmanuel;2002;8.686;10.1
112;emmanuel93;M2T3!Rs$7o_@;Guerin;Susan;2002;14.774;17.244
112;uguillaume;_9!4A$zEalEa;Perret;Gabrielle;2002;18.806;4.954
112;epons;8gAJSNq4!037;Menard;Émile;2001;7.717;8.452
112;robert59;79(1GpozNepx;Delmas;Eugène;2002;2.104;19.691
112;mendesagnes;+8%^ZfCBq#Ai;Denis;Marguerite;2002;12.886;6.328
112;weissphilippine;i2zvc$r^%cV9;Guillou;Thibault;2002;9.388;2.712
112;michelraymond;E%0GpdwLJ4ET;Clerc;Étienne;2002;5.94;9.355
112;margot45;$2#8I)fl^3Zg;Hamon;Aimée;2002;14.148;15.095
112;de-sousajerome;*UE9aOWt8p8%;Renard;Suzanne;2001;19.232;12.396
112;denis97;(kLw)(%Y6mrP;Guillet;Zoé;2002;10.76;8.36
112;noemideschamps;G)$X#bUEIry8;Mendes;Luc;2001;5.759;2.316
112;renardcapucine;q0e^z&bY$EzD;Guillot;Jacques;2002;9.968;14.057
112;pchauvin;J*4bpuSu^()B;Humbert;Franck;2002;14.396;10.11
112;wrousset;@Zi16NgN%(5!;Joseph;Hortense;2002;14.186;6.157
112;brigitte37;Px&BO7q4_Ga2;Guillaume;Julien;2002;8.245;16.186
112;julielabbe;3m_*!0446tBo;Sauvage;Emmanuel;2002;8.32;9.257
112;nathaliesamson;!+e)e2jycV$P;Robin;Guillaume;2003;11.755;4.278
112;dorotheeroux;!1wE9OzeeARP;Colin;Jacqueline;2002;6.946;14.492
112;marcelle41;lwV!Hq%i&2hD;Gallet;William;2002;2.617;13.81
112;oliviervictoire;y1B@WTmNtasE;Grenier;Andrée;2002;4.261;12.793
112;prevostgabrielle;bnU*u(!0j(7l;Lemoine;Isabelle;2002;19.68;12.598
112;tristan25;!Toaaa0S3D#L;Girard;Benoît;2002;18.697;4.464
112;bbodin;^sJKnSxdb^3e;Allard;Bertrand;2002;2.671;11.189
112;royjosephine;)v+yzN!z3(IP;Baudry;Aurélie;2002;2.955;12.596
112;mmoulin;@Nb3mtj(*9rG;Monnier;Daniel;2001;10.026;12.896
112;gaillardwilliam;%i0^B+ggkO3L;Bourdon;Océane;2002;7.973;5.611
112;aime66;l(AA1HVnvv+9;Guibert;Xavier;2002;17.538;11.468
112;robertlucas;+_pmSKJuxTv5;Pascal;Inès;2002;11.539;5.969
112;wlacroix;P9Y3sRJlTS!a;Pascal;Bernard;2002;19.235;6.361
112;celine25;56q8dJybP&EQ;Moulin;Anaïs;2002;7.647;12.647
112;joubertgeorges;@$HNz)rs8R7F;Charpentier;Édouard;2004;19.18;5.365
112;aurelie63;UF5eRyp#$T!8;Grenier;Valérie;2003;14.555;2.511
112;victoire43;+843S+pqKAkt;Barre;Adélaïde;2001;4.309;4.136
112;aureliegoncalves;+3%C2RDg)zQ+;Hoarau;Astrid;2002;17.244;7.068
112;cohenastrid;Bn%q(fim**7A;Faivre;Michèle;2002;6.222;13.677
112;elisabeth67;**WrTwWv1#6_;Besson;Joseph;2002;12.929;4.694
112;guy55;2T(oZ0bWz)4z;Legrand;Jeanne;2003;10.941;14.072
112;lorrainepires;#0WsF3UBJOaB;Dupre;Gérard;2002;9.603;19.004
112;michele61;+%4HfpZT^HYG;Mary;Nicole;2003;4.631;5.926
112;benjamingirard;$iqP_r4Vv3*G;Carpentier;Sabine;2002;5.773;7.464
112;denis77;CL5JRz_F6&h1;Dumas;Zoé;2004;6.734;5.596
112;nathgosselin;ZzS8XSN_K_TS;Merle;Céline;2002;7.364;14.804
112;noemi71;Z$KpAfVH)4n4;Schmitt;Eugène;2002;15.719;5.544
112;xaviermoulin;496SbWc_+78M;Hardy;Jérôme;2002;5.255;14.664
112;margaux60;o!+pP$tY@7Yi;Michaud;Jeannine;2002;8.661;3.865
112;patricia03;@PdOz@ja8o*D;Perrin;Claude;2002;15.926;7.725
112;fmaillard;+g6*Vn8$W)KA;Delorme;Joseph;2003;7.792;15.392
112;lenoirarnaude;wKP4JfHb8@+X;Joseph;Lucie;2002;17.84;11.486
112;edithguillot;HsGW0Zs#0G#0;Pascal;Juliette;2002;8.403;13.6
112;rlopez;+B$9yEKaPbT@;Pineau;Sophie;2003;14.997;4.221
112;richarddupont;T3S*C*(e+a8I;Raymond;Louis;2002;5.068;4.606
112;qletellier;1XXr1EMu*#9!;Reynaud;Stéphane;2003;4.966;16.484
112;hhumbert;8jp7J@n4@eS4;Renault;Bernadette;2002;16.661;6.31
112;anaisbaron;r@pE5oTi+46V;Valentin;Marcelle;2002;19.523;2.683
