idLycee;login;password;nom;prenom;naissance;note1;note2
113;mherve;Bp7)n3^E%u$I;Riviere;Colette;2001;15.257;17.407
113;dpineau;_O+5PDFnz06w;Cohen;Louise;2001;11.274;10.67
113;nalves;bL@czQZV(P6Q;Brunel;Louis;2002;18.81;19.946
113;lecomtestephane;F@*Jc^%xo$7I;Guyot;Gilles;2002;5.554;5.61
113;arnaudedufour;+Tv@Jfk43R!V;Pasquier;Odette;2002;13.767;14.177
113;dpascal;@FC2VOgN+0Do;Perret;Susan;2002;12.34;14.957
113;renardjeanne;&+uf*EPdQ0eI;Seguin;Alex;2002;9.061;3.702
113;denisprevost;@+WNC3Rm5BpG;Georges;Adrienne;2002;10.326;2.264
113;juliette50;mq)72LXwm(j_;Carre;Margaux;2002;10.808;14.743
113;hugues98;zqsy_3$R(7O^;Hamon;Zoé;2003;4.322;15.18
113;leclercsimone;3*B+DTvzHv0Z;Munoz;Guy;2004;8.151;5.394
113;barthelemymargaud;Z1QyYPC4)xpA;Marchal;Aimé;2002;19.1;14.653
113;michelleolivier;A1biPlJc+EuD;Pages;Aimée;2002;7.422;4.116
113;perrierclaudine;_GzW2zbTY%4e;Gomes;Bertrand;2002;8.791;17.196
113;edouardcamus;(92JDocfM%1!;Chauvet;Maurice;2002;3.992;4.223
113;rochexavier;PIRELhcU*7%J;Chauvin;Patrick;2002;9.022;5.732
113;henrietteguilbert;H92r0LFdi)E%;Petit;Frédérique;2002;4.845;12.291
113;gilles30;k$NrSMa8@u04;Allard;Honoré;2002;13.777;12.67
113;noel91;T#f0EYqOulw%;Ledoux;Jean;2002;6.174;13.551
113;jacquelineleveque;@&@VzjWpQ6AP;Lemonnier;Caroline;2002;4.395;2.324
113;fernandezjeanne;RptX3UaBIo8_;Delaunay;Inès;2002;15.78;7.14
113;qgomez;^$lu7qQs8bTS;Bertrand;Marine;2002;17.392;19.568
113;roger44;G)R6GJob2+sT;Gomez;Sébastien;2001;13.624;6.837
113;olivielagarde;&cCLSOuI&g5B;Lebon;Aurore;2002;10.353;13.459
113;constance79;+f(ZfFo8z4JL;Chauvet;Grégoire;2002;13.508;16.189
113;monique90;(YkrG&eq5J3s;Vidal;Jules;2002;4.482;6.412
113;valentineleclercq;&c&75MvO8&r^;Valentin;Émilie;2002;18.033;4.534
113;rperret;!VNzT4Vp_1!0;Fontaine;Christiane;2002;8.185;13.207
113;margaux02;UAQsL4Vf+27E;Normand;Emmanuel;2002;3.71;7.649
113;jacquesrolland;79$kuTrf)vCZ;Meyer;Anne;2002;7.098;8.651
113;corinne47;*K+T3Yv^#Yh(;Fernandez;Marthe;2002;19.712;2.925
113;mloiseau;(Y2lAIblqIfl;Roche;Zoé;2002;2.825;9.28
113;elisabeth66;m^X@AzZQ#F9L;Masse;Danielle;2002;5.538;2.891
113;xgilles;fD^3S)utWhZW;Legendre;Odette;2002;5.651;14.571
113;alexandregirard;^4O+zPzvV@*P;Masse;Lucas;2002;13.67;13.301
113;sauvagearnaude;@73qMPDmZotF;Gonzalez;Rémy;2001;16.166;2.943
113;bleduc;$VWnU0fbGK5H;Denis;Léon;2001;4.313;11.682
113;auguste56;V!mrEwp0bb3X;Perrot;Simone;2002;6.653;15.365
113;de-oliveiraclaude;SyX(Zhi$@681;Roussel;Juliette;2003;2.658;16.777
113;margaret30;tH9&8rdp+gOU;Costa;Alexandre;2002;10.214;16.126
113;martyfrederic;O5+9zUuc(2Vm;Guillon;Michelle;2002;12.656;18.582
113;eugene09;G$+ZXTHaZ$6+;Jacquet;Christelle;2002;6.355;2.782
113;bernadette79;u_&b1Yo)b^^a;Jean;Alexandre;2002;3.377;13.562
113;xavier30;N+0X^EsHFtoR;Laurent;Marguerite;2002;7.227;18.558
113;mathildehoarau;nKP9A(cyX_Y9;Lejeune;Michel;2002;13.248;9.613
113;daisybuisson;3@A^2isHwFNL;Barbe;Tristan;2002;17.204;12.297
113;vguillet;eIW%3dqu_O4W;Delmas;Alexandria;2002;4.742;18.703
113;oceanebertin;AW)5^bDaA5@7;Lambert;Pénélope;2002;13.394;16.505
113;constance02;tt94MJ8u@e4x;Paul;Pauline;2001;5.933;18.379
113;josephguyot;(!DOS7nqvY0H;Bousquet;Théophile;2002;5.046;4.111
113;aimeehebert;)z8CUCOeo#gD;Herve;Hortense;2002;3.178;3.623
113;igimenez;Rh^wa^cn)m4P;Le Gall;Anaïs;2002;18.333;19.491
113;sanchezisabelle;9d*)lwcSYAmE;Lecoq;Victoire;2002;6.812;17.932
113;ynguyen;_7&N9Ygybirj;Roussel;Anastasie;2002;16.612;9.497
113;vasseursebastien;IvMVfBXc&_0h;Gaillard;Jacques;2003;15.16;2.16
113;gabrielpayet;9eO0QqU0f_&@;Paul;Emmanuel;2002;17.166;2.533
113;lemonnierremy;7rFT1d6p!3l@;Allard;Thérèse;2002;9.061;2.629
113;ublondel;sgN8FmxN@sh5;Pages;Élisabeth;2002;11.086;19.791
113;zpires;#01Tum%zQ@9T;Foucher;Nath;2003;10.336;6.755
113;fabrethomas;g5c*5Ag_(i33;Rousset;Thibaut;2001;5.204;16.482
