idLycee;login;password;nom;prenom;naissance;note1;note2
114;barrehelene;$&TRvoUd6T5&;Arnaud;Olivier;2001;16.448;11.72
114;lucy56;94njppB!$mPK;Leblanc;Hélène;2002;7.13;4.76
114;pdevaux;V(!88xUnnIAM;Cohen;Margot;2002;6.156;13.932
114;noel67;hM8MPuqm@bR%;Prevost;Eugène;2002;4.468;11.915
114;ilejeune;&CELeowtz99D;Dos Santos;Andrée;2002;2.012;19.899
114;amelieduhamel;ch*4T6ay)4qo;Chauveau;Joséphine;2002;16.293;19.796
114;valletalain;y81wGpXo$(rL;Martinez;Frédéric;2001;2.841;10.804
114;ocourtois;B*T9qQZ7^Lgo;Le Gall;Patricia;2002;11.137;9.812
114;odettethibault;+LK#IMp#__2M;Gautier;Gilbert;2002;12.987;10.335
114;rochejoseph;%jpT5HbhdLJi;Hamon;Denis;2002;4.996;7.005
114;weberandre;$^TJ8LyNEudO;Merle;Jeanne;2002;17.096;7.951
114;victoire70;R$GGs2Eg&2A5;Dos Santos;Odette;2002;8.164;11.16
114;claire52;f7M9vxbZ!dCs;Martins;Sabine;2003;18.466;4.292
114;lucieverdier;&A2N4uIuT8$V;Joseph;Camille;2002;17.079;10.957
114;le-goffmarthe;#gHCIM*r*Z!6;Laroche;William;2002;13.08;11.369
114;laurent58;V0PW2y!x_LG0;Grondin;Gérard;2002;19.25;4.279
114;elodiecoste;^)1SNXIwn6mZ;Antoine;Maggie;2002;17.843;2.337
114;carlierconstance;cgWyQqFr)8p%;Vidal;Raymond;2002;11.678;5.076
114;brigittegautier;d0Bde5wq(3lX;Valentin;Valérie;2001;16.292;9.699
114;le-rouxbertrand;%7NM7!gyCCPA;Poulain;Paul;2002;17.899;19.25
114;bonninalexandre;#^Q+8fev$L6^;Perez;Richard;2002;2.601;8.462
114;anouk86;$oPncnow9z69;Legros;Luc;2002;16.954;3.157
114;victor38;T*AjAnD&Jm49;Schmitt;Victor;2002;15.839;3.898
114;cmarin;#iq@Y8qdhy1s;Gros;Élodie;2002;13.523;15.486
114;dorotheeblin;%n6AhZjxpRB1;Faure;Margaret;2002;4.471;3.364
114;manon97;#ku80jPa_6FV;Teixeira;Alfred;2002;8.379;13.561
114;amorvan;c82E@AeB_2dY;Courtois;Nicole;2002;18.498;10.631
114;yveslemonnier;MIi2)3RpMLg@;Rolland;Josette;2002;8.306;9.066
114;micheldelahaye;!6EwJ@Dl%xJK;Chauveau;Roger;2002;10.022;3.304
114;collinzoe;7_x7!ARuVu8G;Peron;Christine;2003;9.869;5.786
114;lambertdorothee;@_5qa@&G48XM;Rousseau;Théodore;2002;17.14;9.836
114;penelope14;)9plTvtJIgV^;Lambert;Franck;2002;4.09;12.661
114;valerieriviere;Sl84XdJf+bH5;Besson;Lorraine;2002;12.684;6.861
114;yvalentin;Dw7*mMpc_bDc;Mercier;Zacharie;2002;10.384;15.866
114;amelie31;^Hl(oQq)y0qr;Poulain;Jules;2002;13.114;13.975
114;aurelie57;^tdufoKAJ!4F;Bertrand;Alexandria;2002;18.326;17.884
114;poirieralfred;!UY9YB3xsWMN;Guyon;Adélaïde;2002;5.741;2.539
114;martin78;6WXQwm7x%2R8;Rolland;Arthur;2002;10.621;15.114
114;emilie11;!L3wWL&n0gp2;Bigot;Luce;2002;12.235;3.261
114;loiseauadrienne;pJszw1PsE%nq;Thierry;Clémence;2002;3.911;19.76
114;pmallet;+WE$jIVr!8(c;Bodin;François;2002;10.248;19.25
114;rousseauchristiane;^5GweTaYpRG_;Descamps;Marc;2002;14.648;8.781
114;sebastienbertin;Sl(Kbyep)3#r;Nguyen;Julie;2002;9.886;7.663
114;charpentiermichelle;&4MlDD0q%4s0;Durand;Robert;2002;13.3;19.769
114;qimbert;Gpl!@tlw^7$V;Antoine;Georges;2001;9.729;16.074
114;charlotte57;f^VrNPv_(1O7;Gaillard;Danielle;2002;18.639;16.722
114;charlesleveque;N6RLkOpH%KKf;Vaillant;Lucas;2002;17.494;11.017
114;charpentiervincent;%1PeEghDG0Gy;Colas;Élisabeth;2002;15.564;9.019
114;simone18;$L5QNKma5iGh;Roux;Alphonse;2003;9.452;19.354
114;guibertjosette;1D4a@b4sg$PZ;Coste;Michelle;2002;3.059;17.754
114;jeannenoel;@9s8bC#8xKNa;Peron;Adélaïde;2002;19.235;18.085
114;clementrobert;5z@L6CWwZf$R;Girard;Théodore;2001;5.16;18.689
114;emmanuellefebvre;H$NAO6Fc_ODB;Joubert;Adrien;2001;18.198;12.004
114;robinjerome;%RTr3RblbJg+;Lemaitre;Théodore;2001;3.699;16.119
114;zguichard;6JNli@exg&1D;Becker;Adrienne;2002;11.205;11.281
114;susan79;j(@y$)Wvc98#;Coste;Constance;2002;6.588;14.583
114;charlesthierry;(P32dQeESl4!;Lemaitre;Alice;2002;16.324;17.465
114;roger23;2rnDo4Pm%GkI;Rousset;Dorothée;2002;13.661;6.804
114;wgilbert;5g01Eg$2_+%B;Payet;Capucine;2002;8.596;16.535
114;oceaneferreira;+)#2BM7xu_F1;Laine;Philippe;2001;2.778;7.037
