idLycee;login;password;nom;prenom;naissance;note1;note2
117;vgimenez;@WCnoVcg+7MH;Hoareau;Caroline;2003;5.137;8.358
117;marthe98;^hk&0c%t4TU!;Da Silva;Théophile;2002;15.895;11.887
117;paulettebenard;9_TFqsi3Qy5T;Pascal;Jérôme;2002;18.287;9.985
117;isabelle74;5^gD!tr@f!6m;Brunet;Anaïs;2002;15.202;9.569
117;vlagarde;$7o3U59zyonJ;Descamps;Daniel;2002;13.841;10.467
117;guy95;!3CR&a8C^ie&;Dos Santos;Valentine;2002;10.37;6.789
117;dominique41;@swZSNVkF$h2;Vincent;Aimée;2002;10.767;10.043
117;lbesnard;UlVVqolz)18^;Pelletier;Valentine;2002;16.996;11.357
117;tessierantoine;To26+wNxI*H+;Descamps;Anouk;2002;6.095;7.983
117;odurand;7WV+PZmp(3G7;Masson;Luc;2002;16.585;18.175
117;renardcorinne;*)s1XGg__#24;Rossi;Bernadette;2002;9.415;9.576
117;le-gallanne;$p2IKVaopCmy;Gautier;William;2002;13.982;7.093
117;jnavarro;NYdP6oGzi2B@;Briand;Clémence;2002;7.161;7.76
117;dpichon;6$I5GVt)xe2e;Diallo;Richard;2002;8.625;2.294
117;lucasbaudry;&!7wV4OujUof;Petit;Marcelle;2002;18.666;2.539
117;colette85;Qj1&@cJZg%Z#;Schneider;Gilbert;2002;15.275;16.958
117;rmoulin;au&4YBb8^)(x;Maury;Anastasie;2002;5.583;8.095
117;gillesleconte;^j8H&vv!XiUk;Lambert;Brigitte;2002;2.001;11.247
117;danielle84;X&9TwlK3q61L;Jean;Zoé;2002;3.227;13.165
117;sclerc;#sN2Jf2Rxp_2;Rodrigues;Jeanne;2002;2.978;11.906
117;dumontzacharie;Y30@Wt0*NDZJ;Ledoux;Julie;2002;19.641;11.834
117;lefebvregeorges;%%&ELrXqj#2$;Brun;Dominique;2002;7.852;12.501
117;elisabeth15;HMM!xqhz9_3T;Maurice;Maggie;2002;13.576;19.2
117;gabrielcoulon;HQN3CWzzc)+B;Launay;Marc;2002;3.46;5.425
117;camille36;@6oUEura&SrG;Andre;Suzanne;2002;11.787;8.221
117;vchauveau;$4zaUHVn(*9j;Remy;Matthieu;2003;5.863;6.207
117;juliette03;Q18vgviBPGP(;Boulanger;Pauline;2002;19.396;16.606
117;yves63;aZCKWAkgU5^8;Da Silva;Margaud;2002;11.144;10.385
117;qramos;*j9Z7vz6WJVG;Lejeune;Emmanuel;2002;19.483;2.115
117;aurore64;(0#Pxitv5oXN;Martins;Grégoire;2002;18.608;4.46
117;camille71;+^FCe(c^0cHV;Becker;Nicolas;2001;6.745;15.098
117;raymonddevaux;F#$p^YleBF_1;Roussel;Adèle;2001;4.478;12.825
117;paulconstance;v1Y!)eMK%IPl;Renault;Laure;2002;17.854;11.455
117;thomas41;%102YKKdgjEe;Faure;Émilie;2003;3.58;18.107
117;hamontristan;W$1YdY6kl^vF;Breton;Margot;2002;18.662;19.937
117;adrien81;@6(eSdI!DvdF;Guerin;Martine;2002;17.562;8.858
117;josephlelievre;1r82HnX_+D1E;Grondin;Richard;2002;11.407;3.194
117;chauveaumaggie;Sb*)$uiGQ%5V;Collin;Michèle;2002;10.783;18.207
117;crichard;@2GsGW2eOuFF;Perret;David;2002;14.029;4.989
117;valerielemaitre;%+F85kBop$%@;Gauthier;Stéphanie;2003;18.407;8.024
117;rodriguezlucy;8RS+bqWA)WPc;Coste;Josette;2002;9.409;7.615
117;royernathalie;_p015NQmGSz&;Antoine;Agnès;2001;17.68;4.625
117;rfernandez;M^huW)lXdO3M;Gilles;Hélène;2002;19.689;15.316
117;stephane93;!izEZq935AzE;Fleury;Brigitte;2000;4.635;5.135
117;masselaurence;^YugCz%*#P^5;Georges;Colette;2002;9.728;19.682
117;louis20;l$64J1kbeM^N;Andre;Benoît;2001;8.599;13.239
117;denisvalentin;(dNX^!s5A6z&;Alexandre;Henriette;2002;13.534;14.202
117;madeleine94;Ld22Ia$f+ko2;Leroy;Frédérique;2002;14.364;10.901
117;michel51;*mJeA#di0bXk;Perez;Benjamin;2002;13.929;17.403
117;ribeirosuzanne;$nehXwjVPEM0;Weiss;Isaac;2002;10.258;19.333
117;hoareaucharlotte;_5Dztp@c+PI9;Garnier;Grégoire;2002;18.76;7.605
117;bernardvallee;eIXkJNscL&)2;Renaud;Alix;2002;11.872;15.778
117;chretienedouard;@2SG)IhYOxqX;Clement;Marianne;2002;16.043;10.214
117;frederic56;A53(Q)Gw_x%U;Gros;Susan;2002;6.395;9.487
117;morelvalentine;*70I(jv319hV;Guillet;Adrien;2002;10.489;6.911
117;audreybernier;bAADwFTxv&D1;Lopez;Franck;2002;19.071;15.757
117;philippine51;b42ViGpk3M%u;Gros;Célina;2002;11.019;10.672
117;cthierry;AKp$6WiF$0Up;Dupre;Suzanne;2002;5.741;18.169
117;clemence17;CK1qQFtqR8%b;Jacob;Théodore;2002;9.626;19.45
117;julietteparis;^o&^43Xi^mnw;Gay;Louise;2002;9.531;6.581
