idLycee;login;password;nom;prenom;naissance;note1;note2
118;elodieallard;6&4N_zGrpB7B;Richard;Julie;2002;18.863;17.792
118;ydelattre;*5icVbe@8VLP;Pires;Bernadette;2002;8.946;14.717
118;fbouvier;G4Q_DFvR+mi8;Thomas;Clémence;2002;15.865;17.909
118;robertcordier;I#)5KxPn!FNv;Perez;Agnès;2002;17.328;9.299
118;lagardeaurore;)1+6&BuqMk5V;Couturier;Benjamin;2002;8.923;11.802
118;gillesboutin;aNd)Uag0_A32;Leconte;Élisabeth;2002;9.999;17.423
118;jleconte;cl%1jUOf3Q+&;Georges;Paulette;2002;14.766;7.999
118;cbuisson;7Wd8zUjM+J5x;Samson;Lorraine;2002;14.044;8.975
118;mercierveronique;qTEV5Lws*5i8;Arnaud;Guy;2002;6.114;15.596
118;ofrancois;uBwFTkkq%3fu;Begue;Andrée;2002;16.107;16.594
118;richardturpin;))RVurdx89JT;Gautier;Noémi;2002;4.438;12.047
118;hollivier;q_9Ejhx(pSL(;Fischer;Margot;2003;8.748;16.056
118;monique63;t*8unCYq^lZv;Toussaint;Isabelle;2002;14.591;8.665
118;hpons;%5ACsK(KMRbk;Costa;Denise;2001;11.904;6.757
118;andre65;%3Y)kla!Rdm1;Boutin;Marcel;2002;16.424;8.562
118;kmathieu;l3tO5msl*4Q_;Valette;Lucie;2002;6.792;7.289
118;alphonse79;%TU7$5cad0Zj;Guyot;Suzanne;2002;12.819;9.052
118;alainmarty;l9Pu&LbY^Zrn;Meyer;Célina;2003;19.809;16.531
118;isaac08;8M9V+(b_*Gcg;Paul;Anastasie;2001;10.177;16.326
118;christophe53;!2kxZZhymn74;Joubert;Honoré;2002;2.424;13.215
118;roger32;+Pr_uj3f5fBL;Pichon;Marcel;2002;8.843;5.517
118;catherine17;Q@WKbfrr^9xO;Hardy;Olivier;2002;15.388;14.633
118;thomaslaetitia;z)gs6Kwuo(LA;Marechal;Andrée;2003;7.344;15.132
118;lucie71;or)aS&Xs&kn7;Perez;François;2002;16.533;11.725
118;andredufour;10&9Rp1h$aUz;Bodin;Alexandre;2002;9.419;5.603
118;stephane18;$Gsd+lDD_6Am;Aubert;Anouk;2002;17.705;8.677
118;gauthieralexandre;IpGN3zHh@7MP;Fischer;Denise;2002;10.874;13.275
118;wlecoq;_kV+v2*aJ)1k;Dupuy;Agathe;2002;4.474;5.638
118;gilbertlucy;8djG1RyO1*1d;Roger;Élodie;2002;13.14;11.605
118;ledouxgabriel;9hJC9Gg7)6O!;Royer;Roger;2002;4.43;13.997
118;uhoareau;*9QJ^j&ez(2R;Benoit;Camille;2003;16.214;15.342
118;morvanceline;$2jbGIDb#Ta#;Lefebvre;Dorothée;2002;19.687;10.044
118;frederiquecohen;%hBhlxOcA5e*;Bonnet;Françoise;2002;6.968;5.741
118;anne62;W*3TzQulTo(E;Chevallier;Nathalie;2002;5.529;8.505
118;wlaunay;QROEZJ)h)4U7;Hebert;Martine;2002;5.89;5.024
118;morvanlaetitia;EgH&@Dyt^9K%;Boucher;Odette;2002;13.479;2.22
118;delannoymartin;@#(FU#!Qm8LP;Lelievre;Alix;2002;7.479;17.874
118;rdelorme;NPwxJl8@%8W(;Joseph;Pénélope;2002;16.585;4.963
118;nlagarde;xs33woAR!5)E;Chevalier;Anne;2002;13.681;12.54
118;rlaurent;dT#9P5j$$&@2;Boyer;Danielle;2002;11.39;11.565
118;ipichon;PMo!Ei0o%6I0;Jacquet;Jérôme;2002;10.691;2.945
118;ulecomte;yIy*12HgJ+*F;Torres;Renée;2002;19.318;3.192
118;margot85;pDy58Y_f)!#G;Duhamel;Agnès;2002;12.718;5.742
118;hduhamel;O#5C9M6rrN$j;Berger;Paul;2001;11.212;3.73
118;celinarobert;n)0+e$0tOB7O;Toussaint;Roland;2002;19.659;16.756
118;margaud16;(3S^9eDdb1bV;Martinez;Margot;2002;14.263;14.47
118;patriciadufour;#&I8TGNegnVM;Hubert;Nicole;2002;7.637;4.476
118;anastasierey;U(C3zBJcqyfh;Marty;Hugues;2002;18.78;3.136
118;gabrielle73;18H2Zc%fY*h6;Hernandez;Laurent;2002;2.951;13.15
118;toussaintgabrielle;JrC&3SMrycb+;Carre;Alexandrie;2002;10.278;14.304
118;mlefebvre;%yFxFsSJO4Sh;Poulain;Maggie;2002;16.397;8.476
118;kleincharlotte;B35#KG!t@q@!;Traore;Thomas;2002;4.781;15.581
118;eric50;wxaPGp8s)#99;Hoareau;Emmanuelle;2002;4.415;2.642
118;zacharie07;)7HQa%kivWkD;Chartier;Constance;2002;18.247;8.098
118;dmaillet;XY5U7MqAv6S@;Maury;Susanne;2002;2.444;6.438
118;margaux72;%pKwTlVH5PEq;Baron;Nicolas;2002;5.361;6.079
118;thierryedouard;i7xCEnQr@9@c;Lamy;Michel;2002;3.014;9.139
118;brungabriel;@3FY6gaN$qwb;Gilbert;Maryse;2001;10.844;3.529
118;susannemasse;a+9PERtl4sMW;Le Goff;Auguste;2002;6.038;19.492
118;ldumont;DNAG0FzZTE0^;Benard;Noémi;2004;3.903;6.806
