idLycee;login;password;nom;prenom;naissance;note1;note2
119;victor88;^7Y91AfuDRlv;Bertin;Franck;2002;7.921;17.353
119;aduval;VJ5YKbaec*US;Duhamel;Henriette;2002;17.511;11.95
119;madeleinepineau;bHbi0Pf+(U6P;Boutin;Anouk;2002;12.964;18.174
119;xaviermaurice;(5#nKEpHCl7@;Colin;Roland;2002;6.654;10.334
119;vpons;^8!zzRS5yr70;Faivre;Frédérique;2002;16.768;14.943
119;antoinettebarthelemy;+*4vVi!48_97;Charpentier;François;2001;9.397;13.803
119;clairevidal;!J36WafLhM4k;Laroche;Margaret;2002;19.176;11.815
119;antoinette13;^1VDhYkFQA0J;Jacques;Margot;2002;4.656;10.731
119;ucarre;c06w43Qcb%V#;Moreno;Adèle;2002;19.174;9.06
119;alfredperon;9$JjKSv7$P4!;Hamel;Gérard;2001;13.248;8.582
119;salbert;WUbX8$nav(6r;Colas;Éléonore;2002;4.724;6.179
119;lucie34;$%Dd9N%hd@m9;Francois;Stéphanie;2002;5.806;17.735
119;marie86;^*uJjf5(r6Ll;Dupuy;Luce;2002;18.85;16.985
119;jacquesremy;f1$*0rQj@(Gg;Hubert;Michel;2002;19.701;11.992
119;honorepereira;v6$PAAadgL#4;Fleury;Gabriel;2002;13.233;8.172
119;couturiereric;_aYN3#Gev8Y@;Gerard;Franck;2002;12.549;16.101
119;antoinegomez;fE0s1Cm6mQS%;Leblanc;Gabriel;2002;3.046;17.817
119;levycamille;&$3vxRno8vXK;De Oliveira;Paul;2002;2.843;10.499
119;durandalex;PgcPWE+vm)7y;Fournier;René;2002;5.053;6.453
119;barthelemyarthur;*YH7hoXe(t($;Morvan;Stéphane;2002;6.096;8.525
119;david47;wy)7+E1o0$4D;Voisin;Margaux;2002;3.005;14.531
119;marcel84;E9BSZhv4!60#;Henry;Agnès;2002;5.208;6.421
119;alix40;)Gf3^pHdnMR1;Begue;Audrey;2002;6.218;17.608
119;margaretbarbier;oUJJ0eCe++3y;Lecomte;Laure;2002;12.502;17.101
119;ramosmichelle;$SL9Q#uuN0xn;Clement;Marine;2001;16.032;18.05
119;victoireguichard;6&3ASlwLT_3%;Toussaint;Danielle;2003;3.883;5.315
119;charles09;%i079WCseWas;Thierry;Michèle;2002;3.216;2.138
119;hardystephane;_MerlX*K21Nh;Renard;Margaud;2002;11.518;12.911
119;delmaselise;*2gk7Inh+!W#;Maillard;Alexandrie;2002;8.217;18.421
119;moniquenormand;S@5@aGErZtN9;Renard;Pénélope;2002;15.572;15.179
119;aurore81;pcFH4R8o22&$;Guillon;Roland;2002;14.896;17.675
119;tbonnet;PIr_04mrK!UK;Rey;Julien;2002;8.782;19.472
119;djean;I(J5vM%dXBd&;Parent;Thomas;2001;3.321;7.239
119;amelielamy;LKWlB4$_l6$B;Bodin;Odette;2002;17.554;14.995
119;gilles28;^^6_txTLnHWx;Leroy;Agathe;2002;11.526;18.34
119;alexcollet;ZZdNBOx@+k3t;Durand;Frédérique;2001;8.861;7.558
119;adele68;$N09Era*%&ML;Garcia;Roger;2001;13.173;15.035
119;wvallee;@84EOQad&@22;Dias;Daniel;2002;2.199;14.894
119;gguerin;+@8TGIjB+_tf;Fontaine;André;2003;15.451;6.303
119;isaachebert;&J$KPQwFOer8;Levy;Caroline;2002;13.542;13.048
119;louis87;nkA8j(Mk_*on;Joly;Henri;2003;9.256;9.773
119;jacquelinesauvage;Nwd^WqtP^d8%;Thibault;Henriette;2002;2.016;13.639
119;alfredraymond;!8TVGn4(YUDP;Briand;Éléonore;2002;5.06;10.301
119;gilbertmathilde;1U2cNQEe@+BI;Turpin;Mathilde;2002;11.795;11.108
119;ijulien;!8@axCxZm^e7;Perrin;Alexandrie;2002;16.435;9.622
119;mathilde18;yo0*#%7iKxGN;Caron;Denis;2002;4.239;9.495
119;jandre;3%#aAq2anV6K;Rousseau;Daniel;2000;12.719;6.96
119;pascallucie;x(7E*iZOrWTa;Leconte;Audrey;2002;18.789;14.187
119;qbaudry;1Etkdv3cN&@d;Mahe;Pierre;2002;16.462;3.615
119;zacharietecher;H)tR(Dm5yn8F;Letellier;Marie;2002;11.016;5.837
119;alfred22;g(964dPiaAVm;Toussaint;Alfred;2002;13.469;19.533
119;dupuyeric;E1QcSFow*(p6;Brun;Jeannine;2002;4.37;5.986
119;fcharpentier;V3K9L8$+&9ev;Lombard;Charlotte;2002;15.135;7.429
119;isaacdaniel;$)0SXzBqlSua;Gomez;Augustin;2002;12.033;8.147
119;chretiensusanne;cs9uPo9O^#V4;Humbert;Jacqueline;2002;17.885;4.264
119;paulinemary;&965sFlV)ISt;Olivier;Michelle;2001;17.938;4.851
119;margaudhamon;+v8wEj!bn2O#;Jacquot;Daniel;2002;2.538;9.35
119;hoareaumichel;uhDE!DLw@0PS;Morel;Claire;2002;3.942;17.6
119;marthelefevre;o+g7RzIu+yjg;Etienne;Anaïs;2002;9.413;5.306
119;marthebouchet;#3he@gdQ@uAX;Mendes;Léon;2002;12.348;17.016
