idLycee;login;password;nom;prenom;naissance;note1;note2
121;oceaneprevost;a#1XvpH^*Kd+;Laporte;Thierry;2002;3.883;15.106
121;lacombebenjamin;!*nW4Pgj^qTy;Masse;Virginie;2002;10.588;9.394
121;vmaillet;W+2EJ0hYIq2B;Lecomte;Grégoire;2001;12.99;8.178
121;susanne95;!mEQh@kIz^9z;Duhamel;Édith;2003;12.743;7.197
121;maggie27;)7@Re3T8*w20;Maillot;Amélie;2002;6.415;19.302
121;boutinveronique;A4_eWp)8J@11;Daniel;Simone;2002;17.929;6.741
121;xbigot;p*PhlJOiZd60;Cohen;Zacharie;2002;2.864;7.262
121;noelchristiane;gZ3+V)!n$cuN;Francois;Marcel;2002;10.504;10.199
121;tessierastrid;$05$Wv_p#4Qe;Perez;Julien;2002;5.44;14.184
121;alice31;&7fN&wnqv9z(;Rousset;Emmanuel;2002;18.153;19.69
121;rogertheophile;#X_n)Zut&2C&;Klein;Suzanne;2002;14.311;5.431
121;dbailly;h60DTNhsw%2T;Grondin;Sylvie;2002;3.123;6.448
121;bthibault;$704keYQ&sZg;Andre;René;2002;12.986;17.745
121;nathaliechevallier;K#X3il_S$I0A;Martinez;Luc;2002;8.927;2.588
121;kperret;7T6EDzeq!5$f;Joubert;Paulette;2002;3.346;13.241
121;gabriel83;!8Y4Jd6LTX6u;Reynaud;Daniel;2002;11.767;9.987
121;dupontpaulette;xBI1P2iLTr(2;Besson;Corinne;2002;5.847;3.129
121;rvidal;+QHz8c3u_3Vd;Leduc;Zoé;2001;9.751;10.219
121;christinedelaunay;02uOHTc*_yzM;Fouquet;Jérôme;2002;11.25;13.254
121;cdelannoy;ET0uVJmc_5g(;Picard;Pauline;2002;7.715;15.396
121;bfrancois;67mFZDzW_5hM;Lambert;Thibault;2002;6.438;10.194
121;christophefouquet;MK6@uOg#*KR);Breton;Chantal;2002;2.732;15.983
121;christellegallet;#IVS)ejre89);Descamps;Marguerite;2002;16.888;13.005
121;fvincent;4qet4Zb4!2GF;Jacquot;Célina;2002;5.135;2.42
121;thomasjulie;y6Q!I6vXzp#S;Lejeune;Nicolas;2002;8.335;6.089
121;mathilde94;E%8NQeIj)X9R;Rocher;Emmanuel;2002;11.205;16.373
121;maggiemaillard;*2E0LClka1P0;Guyot;Isabelle;2001;6.26;8.1
121;aallain;9XIHQv#q(!mN;Potier;Susan;2002;2.606;12.34
121;raynaudjosephine;4VbbEvzw%KcJ;Meunier;Lorraine;2002;17.225;15.983
121;madeleinethierry;o^2AP&ye14Ah;Leveque;Élodie;2002;18.336;11.817
121;benjamin47;!BbWelG24QK1;Richard;Michelle;2003;8.687;9.529
121;cordieragnes;bQ4E+jSL#3MI;Jourdan;Jules;2002;9.487;3.783
121;straore;O&1WHaKeo984;Masse;Christine;2002;17.583;3.441
121;idelahaye;r6JJJKc8@_Rw;Jourdan;Claire;2002;7.931;15.328
121;paulgermain;+E9&H^x^$FRH;Gomes;Marianne;2002;11.904;9.478
121;brunetjuliette;^1tDIFutZ#)3;Guillaume;Laetitia;2002;4.027;12.37
121;boulangermarianne;UQGAP0mr(_Ch;Jourdan;Julien;2004;11.396;16.992
121;xlefort;(TJckdPoLf7j;Pineau;Josette;2002;19.616;3.703
121;wchauvet;G+*iM1$vwZ0Y;Daniel;François;2002;9.045;9.348
121;chauvetluce;^&8(^vsi#xCW;Arnaud;Véronique;2002;8.718;8.789
121;ymary;P#+8Yr#fI0i!;Gimenez;Honoré;2002;19.792;5.123
121;agnesperez;3AA*SSzsmU2K;Denis;Thibault;2002;15.78;17.479
121;daniel70;)JJa8J68c41c;Lemonnier;Étienne;2002;12.621;19.822
121;susanmorel;Dz5cn*zq+^xS;Petitjean;Philippine;2002;10.25;14.966
121;maurice65;x9cM9FIX+w@C;Julien;Franck;2002;12.156;15.489
121;laetitia95;%2rT0AktrZS8;Colas;Alexandria;2002;8.016;5.141
121;bretonmathilde;3C_9TlDg!ctA;Lefebvre;René;2002;10.431;12.554
121;blanchetarthur;%_3@gW2aZz(w;Blanc;Océane;2002;14.014;5.734
121;adele73;v!0yHksoJ1fR;Laporte;Margot;2002;8.6;11.237
121;gpeltier;UyVk#3TkR*8A;Pierre;Olivie;2002;7.27;4.953
121;blanchugues;!V23^Kker^6M;Langlois;Anastasie;2004;7.698;12.164
121;buissonphilippe;stN1G@f!X^S6;Meyer;Étienne;2002;6.477;16.858
121;begueemile;I**(xUFlhDu1;Bazin;Anastasie;2002;17.592;11.371
121;julietteevrard;h7JRn^6DdXo+;Marechal;Claudine;2002;9.098;6.761
121;besnardelisabeth;ZFsf2PgTCoc*;Duval;Manon;2002;10.904;12.116
121;daisy13;Cn1sUIrF5)IH;Verdier;Adélaïde;2002;19.84;6.257
121;oliviefernandes;js3Bs^Bx_69U;Mahe;Bertrand;2002;16.672;14.586
121;xcolas;_7TZCiiVcajG;Imbert;Nicole;2002;17.2;13.497
121;uledoux;8J8aKHejFJ@Q;Begue;Arthur;2003;19.521;3.652
121;adrienguillaume;)yTNd#gE14by;Bonnet;Susan;2001;17.96;17.463
