idLycee;login;password;nom;prenom;naissance;note1;note2
122;margaudjacquot;G@&1B9Duqh+m;Rodrigues;Cécile;2001;4.967;12.478
122;susanvoisin;wAR&$DlcA7W6;Michaud;Cécile;2003;19.956;9.171
122;xavierferreira;(6%SvdG9+7s4;Duhamel;Émile;2002;12.859;18.695
122;froux;NN1l&vyvnp*B;Moulin;Tristan;2002;2.114;16.171
122;phoareau;DJb77dLzf%*u;Pereira;Henriette;2002;18.724;5.345
122;colasbenoit;$$8et%&I5E_O;Michaud;Aimée;2003;3.09;19.308
122;josette80;*6VW#jSrFJdz;Martel;Luc;2002;3.501;6.54
122;chevalliereric;!s7oploMY2IO;Lopes;Raymond;2002;5.982;11.7
122;bruneaugabriel;&1opC)P38xUB;Picard;Henriette;2002;19.187;8.028
122;bazinolivie;nmN7lQxi@u3G;Petitjean;Gabriel;2003;16.676;19.196
122;victor65;$e8!H5Ime37J;Schmitt;Adèle;2002;17.425;16.919
122;guilletpatrick;)0+nS4d@P&BG;Samson;Émilie;2002;11.01;3.932
122;edouardalexandre;5860YMIq@gtJ;Lejeune;Gabriel;2002;15.299;6.562
122;xmace;^0etUejf0PTT;Baron;Élisabeth;2002;12.503;19.161
122;olivierdavid;+0%k8M^jcdKV;Morel;Christophe;2002;8.652;2.774
122;michelribeiro;^Dr925Go4ZQa;Vincent;Isaac;2002;19.152;5.808
122;xgirard;^+i6*qIv_3)@;Fernandez;Alex;2002;8.818;12.979
122;cmunoz;6mO3u^3%%#ea;Poulain;Maryse;2002;7.387;17.548
122;richard73;#7+#ktjdOjD(;Ramos;Lucie;2002;12.263;7.217
122;vidalagathe;*GiMPVwoN%5X;Vidal;Gérard;2002;3.327;2.98
122;vasseurmaurice;)r6MJcS^u2&Q;Picard;Lucy;2002;14.462;6.507
122;aboucher;cMuR6Gyj##Ct;Guillaume;Franck;2002;5.225;5.908
122;julesbodin;*B&EN^dWn3ho;Leroy;Grégoire;2002;12.244;6.922
122;leon70;#O_kJnSmgb%8;Morel;Aurélie;2002;14.483;9.807
122;amarchal;Y(9N*bG3Mq4J;Munoz;Zoé;2002;15.679;13.718
122;renaudcaroline;(Lm7ervmH8IY;Blondel;Nicole;2002;4.268;6.936
122;thomas70;_X6eVpsg5kTp;Potier;Étienne;2002;5.664;2.291
122;wguillon;KFMnHMoW%E3z;Laurent;Madeleine;2002;13.139;10.06
122;claudinepottier;m!^@N!fwv%K1;Besnard;Marine;2001;14.548;8.361
122;kparis;(lw0Bi*a4t&X;Besnard;Madeleine;2002;3.314;12.718
122;lebonclaire;sx4_f!jUk__S;Boyer;Gérard;2002;13.59;2.982
122;bernardsabine;7^n$qududQ@O;Poirier;Emmanuelle;2002;13.907;7.502
122;roypenelope;$6JZE0cx#9Zw;Lebrun;Marie;2002;11.784;2.036
122;agnesroche;%19D%&H9Pk5j;Marechal;Charlotte;2003;18.213;10.006
122;jacqueswagner;hpb(jrf@_24I;Guillou;Aimé;2002;3.169;17.113
122;munozsusanne;8*5#Pn4a_g(4;Pineau;Noémi;2002;2.083;15.115
122;louisebernard;%6tAqvw_@l8D;Benoit;Michelle;2001;17.629;10.532
122;besnardpierre;&j23fESnd(6x;Gaillard;Marie;2002;7.451;7.203
122;daniellemaillot;btj0MMcF_^%5;Seguin;Suzanne;2003;7.212;17.968
122;jacqueline76;x!59AArW$irk;Lopes;Tristan;2002;9.039;12.851
122;amarechal;2ToAjx%k@Bj9;Breton;Emmanuelle;2002;19.703;3.527
122;dumasmarthe;PD7diiVE!#pF;Lopes;Xavier;2002;7.25;14.782
122;luc39;@bUP0Xq&8q&D;Cohen;Michelle;2002;6.463;7.035
122;patricia80;LsZ5IDPB^@(U;Bourdon;Franck;2002;3.419;3.482
122;benjaminblanchet;i9qJGp2sd*2E;Marion;Geneviève;2002;5.598;18.299
122;margaret63;_+&&rh44hk5J;Guyot;Adèle;2002;16.152;9.156
122;maggie67;@#8Ehls2Y%Q^;Breton;Nathalie;2002;18.249;7.601
122;andrepelletier;*3t9fnI!dexX;Dupuy;Gabriel;2002;18.22;3.854
122;plebon;@(wO$)aVnv4H;Moulin;Hugues;2002;7.387;3.455
122;ngarnier;_m3FjTerq1jl;Besnard;Lucas;2002;4.879;12.924
122;oolivier;%yThE#@zXNQ4;Hubert;Adèle;2002;15.923;14.954
122;perrindanielle;8U#AuOy1_ENk;Colin;Léon;2002;3.305;9.377
122;josephinevallet;*6xa+CSG7u*E;Vasseur;Frédéric;2002;12.772;11.165
122;christinebrunet;m83HiQJ*!pA_;Roche;Suzanne;2002;5.343;6.759
122;christophe24;W2xGoFEp&P@V;Imbert;Gérard;2001;10.156;12.415
122;patrick12;ZdtTiE&HN^3B;Fernandez;Marc;2002;8.617;14.997
122;mendesmargaret;J$2^WTKhu!^t;Dupuy;Élise;2002;17.112;17.829
122;juliette32;6Oo)^zLv2D)1;Mary;Michelle;2002;9.537;5.363
122;andreemaillard;Ihc!DqRgpk!3;Caron;Diane;2002;7.606;4.465
122;brigitte08;2*p6G%g8G)WD;Labbe;Diane;2002;2.363;17.776
