idLycee;login;password;nom;prenom;naissance;note1;note2
123;lucy79;85pv3Ru#^6bG;Lejeune;Susanne;2002;3.146;5.34
123;theophile57;z(Nk$CbRcAS5;Weber;Victoire;2002;14.345;5.69
123;rivierejulie;IHKXCs7pJ)0R;Girard;Arnaude;2003;3.67;3.266
123;corinne07;aI37XULaY&HM;Colas;Yves;2002;14.133;17.552
123;lopesthibault;UfpQFkMl7%3Z;Torres;Inès;2002;17.054;17.852
123;egimenez;WP3B5aXm$#p4;Guilbert;Édouard;2002;7.697;6.927
123;fischerjean;uS6X!CnR_*U^;Techer;Charlotte;2002;3.919;3.427
123;maryserodrigues;#5K_dNYQw+Jm;Lebrun;daisy;2002;11.104;7.929
123;thomas46;A&8UBb*musnj;Colin;Emmanuelle;2002;5.532;15.246
123;amaillot;)1wGLcsisjV7;Delannoy;Adrien;2002;2.196;5.416
123;emmanuel02;KT9EsQ0FSve*;Thibault;Jeannine;2001;2.215;14.44
123;zachariedubois;JZK^Q+0l%0tX;Dupuy;Catherine;2002;6.469;13.534
123;aribeiro;me&E1^Cwy)E7;Navarro;Alexandre;2002;12.828;12.829
123;fleuryoceane;^hnSBCij3pXL;Legrand;Hélène;2002;19.581;12.115
123;maillotdaisy;_8G^2sjJ#IdQ;Lombard;Laurence;2002;2.87;3.463
123;stephaniepaul;x#61MGKar52F;Roger;Adèle;2002;2.17;9.808
123;lemoinegabriel;9lGmBOls$DyK;Blin;Xavier;2002;4.239;17.05
123;philipperodrigues;*1Gtbpgh%1dr;Blot;Jacqueline;2000;3.155;8.417
123;audreymoreno;qga3H$@n)_F3;Petit;Danielle;2002;2.337;17.96
123;hamelchristiane;!TClkR7u02nV;Vallee;Nicole;2000;7.21;8.566
123;christiane92;E*&WELi74d(1;Mary;Audrey;2001;14.537;4.926
123;dorotheerenard;_R$RAsybLpF1;Gomes;Thibaut;2002;6.978;16.842
123;christophe60;&&6Iv6_MR5vE;Muller;Alexandria;2002;12.358;5.356
123;christine99;@0&QRzltt7Me;Valentin;Brigitte;2002;12.066;3.575
123;sauvagesebastien;#L$yDDkx(ZJ7;Maillot;Mathilde;2002;7.696;15.734
123;elucas;!^3LYQGp%c0h;Girard;Maurice;2002;19.588;14.46
123;jacquestristan;)NtaIIjzA2QW;Blot;Hélène;2002;18.247;7.684
123;pereirajuliette;X@4_uenUb6Fk;Loiseau;Roger;2002;14.109;7.548
123;martyrenee;F)+94PjW(f$b;Blin;Françoise;2002;2.283;12.221
123;thibaultklein;N)$lcvKSV1Y0;Tanguy;Thibaut;2002;7.563;10.939
123;guygomez;x5c$e4+V^2Bh;Martel;Andrée;2002;17.484;6.934
123;mathieugeorges;_8W%APN%_9wq;Blin;Victor;2002;14.107;13.592
123;oblanc;@98B5%dBQ*(K;Guillon;Patrick;2002;13.806;7.63
123;bertranddupuy;_(LQGVqdG3@W;Julien;Frédéric;2001;2.502;10.614
123;madeleinede-oliveira;0O9voSDd&8HZ;Pelletier;Danielle;2002;12.624;14.951
123;margaux91;o1SZ31Ry&smi;Bouvet;Alfred;2002;8.911;3.385
123;bcollin;^_RJicMKk52D;Lemaire;Céline;2002;9.119;13.576
123;charles34;%+dQBuk5@41_;Brunet;Emmanuelle;2002;6.721;5.635
123;lucienguyen;0bWDHC3q_g2r;Samson;Laetitia;2003;16.913;17.35
123;henriette66;*NCEtHgIhM7V;Marchand;Chantal;2002;4.761;3.378
123;bjacquot;&3OW$rypkaC9;Paris;Roger;2003;6.506;6.057
123;xvincent;4fI3Qf10$6ij;Jourdan;Roland;2002;3.855;11.655
123;moniquemartins;Q@9Y!Wrhn5sN;Guillet;Marianne;2002;6.963;6.788
123;chauveaumargaret;!ZjhgQJes8Sg;Costa;Laure;2002;3.74;19.81
123;virginiemarchal;$4NCOxm_TbXy;Courtois;Julien;2003;7.348;18.741
123;jrenard;2Ez1Z_iO+8OJ;Tanguy;Léon;2002;6.11;16.66
123;timotheegaillard;*6kNi1$5Z6RX;Leroy;daisy;2002;3.899;4.152
123;raymond80;D54mu0m3w*PP;Guillou;Nicole;2002;6.181;17.997
123;adrienremy;f)^4RRiKicFm;Wagner;Sophie;2002;2.137;2.927
123;olevy;l6sPl8f8_tGL;Lecoq;Véronique;2002;7.397;12.733
123;margot20;z(5lXss2x58K;Roussel;Christiane;2002;11.148;13.736
123;maurydenise;+G)Cpgfgh48V;Martins;Emmanuel;2002;18.392;7.53
123;marcelle94;I+gg$Xuc9V3k;Hebert;Luce;2001;18.496;11.572
123;patrickmarques;W&01ZXTu)rtC;Barbier;Stéphanie;2002;2.919;10.49
123;olivierimbert;8@1YLYp3hBsu;Guillot;Caroline;2002;9.802;12.675
123;joseph20;V91K#P7xq$s0;Chevalier;Jean;2002;13.925;9.766
123;marcel52;QgB4BkIiW%92;Marin;Sébastien;2002;15.088;2.344
123;lecoqanne;g+5L5ILwG*B8;Leclercq;Vincent;2002;19.693;19.883
123;veronique08;Xc8vATuF!lGj;Collin;Hugues;2002;17.352;16.395
123;costamanon;(MG7OhlaCfl0;Noel;Antoine;2002;19.736;14.307
