idLycee;login;password;nom;prenom;naissance;note1;note2
125;charles50;@K0#BqaDmywi;Hoareau;Cécile;2002;4.865;7.483
125;martinmargot;!0Rz_@o6241p;Chretien;Agnès;2002;5.596;6.105
125;veroniqueguillet;3O%DW&lD#WVs;Nguyen;Lucas;2002;3.945;15.261
125;theodorefabre;!nL%IMgcQJf7;Gaillard;Nathalie;2003;3.602;8.202
125;louisemasse;M^Uif!#i(p6c;Mathieu;Geneviève;2002;12.309;7.708
125;gerardmichelle;+b^p+fw+eT9R;Chauvet;Emmanuelle;2002;17.785;18.885
125;cguillou;Y*0DwBrguZ_j;Coste;Roger;2002;5.968;14.37
125;michaudcelina;_ZKESOXa&6Z+;Lemaitre;Corinne;2003;7.881;9.39
125;louisecolas;R6Y(&8qS$Oif;Boucher;Céline;2002;7.629;12.713
125;paulbrunel;Q0@8F(ajY6l6;Daniel;Alain;2002;19.894;3.088
125;laurelecomte;n@o)T(qv9vu0;Lemaitre;Constance;2003;18.875;6.724
125;christiane37;z(fGSfTqmgd8;Julien;Patricia;2002;11.086;9.934
125;clairemenard;nmr&)S*IC^5h;Thierry;Denis;2002;4.834;16.494
125;paulettelelievre;jr6iYOoOH(bI;Allard;Colette;2002;2.348;19.963
125;remygautier;^(6DB1h6uZTU;Descamps;Arthur;2002;17.298;6.599
125;isaac97;%!JD2Pjtuc$J;Vallee;Clémence;2003;17.695;5.126
125;odette82;U@F$sV5^@49M;Fournier;Dorothée;2000;8.909;7.785
125;vcoulon;&wwArwEZ9_2P;Mahe;Laurence;2002;18.377;12.424
125;josephineferreira;uq(MVkHd)ah3;Weber;Océane;2002;11.29;6.016
125;wchauvin;*L0bqJFt$2oh;Laroche;Margot;2002;9.542;7.4
125;guyondaisy;$OuWl3%w4HpF;Marion;Monique;2002;19.95;2.837
125;charrierdominique;K8^CvJl*)s)w;Pruvost;Noël;2002;17.743;19.541
125;daisy92;o_9jc(IjquI1;Teixeira;Arthur;2002;3.508;3.07
125;virginiegodard;)tJZCkG1T)h9;Boulay;Audrey;2002;12.426;17.385
125;margauxperret;1(Zqf7Vgyl6s;Teixeira;Olivie;2003;3.589;5.257
125;jgosselin;1tHnUOd(^m#G;Costa;Henriette;2002;3.039;11.431
125;vgodard;gsMR0$ZaD_3I;Schneider;Adélaïde;2002;13.061;19.132
125;michelle72;!n0XUGf@_jiq;Gay;Corinne;2001;6.895;19.237
125;perretnath;HfILcirzo_6*;Loiseau;Georges;2002;12.592;13.587
125;hdupre;f$cfJ3Ve%M1A;Perrier;Étienne;2002;6.897;18.2
125;dufourluce;xetHZQNK$7fM;Rocher;Emmanuel;2002;19.843;12.794
125;ncollet;f_Q2Rf6FOPF8;Moulin;Michelle;2002;5.016;3.942
125;charlotte29;34#vhz+h_NHI;Lucas;Honoré;2002;16.948;19.438
125;brigitte14;#8E@2*DLVqFM;Olivier;Simone;2002;2.379;18.019
125;uregnier;Y#M0Y1p^5s04;Charpentier;Hélène;2002;5.741;11.48
125;peronines;^0TVKnIGFbbw;Besnard;Christelle;2002;5.153;13.758
125;margotrenault;JxR8RsDph+FV;Diallo;Marc;2002;9.931;7.759
125;anne19;K+wG3nEeB0((;Vallee;Zoé;2002;13.838;7.948
125;sletellier;sa$4LleU&%pk;Clement;Christelle;2002;12.786;10.532
125;hgrenier;@o2nSa1!N$#A;Mathieu;Célina;2002;9.896;7.789
125;morelpenelope;%$UDOkyQvS0p;Moulin;Suzanne;2002;18.031;14.42
125;annele-gall;5_laN2isL$4D;Didier;Colette;2002;15.326;15.364
125;andreberger;%(uoH#8leH1u;Barbier;Noël;2003;17.233;3.989
125;martine50;x%54RKu5WrAF;Dumont;Adèle;2002;4.681;8.644
125;marineguerin;8Im$fRvl)P1#;Albert;Frédérique;2002;7.779;14.144
125;andre13;%QxXNW%dz6D%;Da Costa;Margaux;2002;8.775;12.461
125;igay;(KI8DnlOD&0B;Masse;Luc;2002;3.062;7.429
125;raymondmartin;8&%1ICHiQ5P7;Valentin;Thomas;2002;5.865;8.65
125;pcollet;)y6DywiI(8SZ;Duval;Corinne;2002;13.052;18.378
125;lbodin;GzTtF^Aaw6(Y;Baudry;Anaïs;2002;9.534;11.817
125;evoisin;V%VNxJVV*0RI;Raymond;Honoré;2002;19.003;17.815
125;apotier;3b2RqJ7rI!&y;Barbe;Nath;2002;14.385;4.03
125;guillaumeaime;_5l4q_z7&)VQ;Renaud;Thierry;2002;19.294;9.912
125;slebrun;8RN@R5Sqm+m7;Lebreton;Lorraine;2002;9.521;14.046
125;egosselin;+2iOuLLEo08Q;Joseph;Chantal;2002;3.731;5.261
125;isabellerousset;!ADYwu8b7aPw;Godard;Richard;2002;18.518;3.659
125;lejeunemichele;v3_Zc_XC*g1v;Berthelot;Tristan;2002;16.276;19.106
125;ulevy;fD(7Ei!xjT*Q;Chevallier;Victor;2002;19.382;7.003
125;roland02;p3GkXfYs)WrW;Nicolas;Alex;2001;13.323;17.913
125;francoise32;_8cbo(Ko4!OY;Bonnin;Margaret;2001;9.152;17.205
