idLycee;login;password;nom;prenom;naissance;note1;note2
126;yde-oliveira;R6VqXrQ@#ZRI;Picard;Dorothée;2001;10.745;10.594
126;michelle98;%i62SAmrSeXL;Joly;Marthe;2002;15.184;19.057
126;allaindorothee;0G1L*xhjq%Vs;Bourdon;Claire;2001;15.478;7.56
126;zchretien;ol05dEviD#Bm;Joubert;Virginie;2002;8.991;11.461
126;margauxberthelot;x^KCB$kEkZ5f;Fournier;Gabrielle;2002;11.42;5.242
126;bjacquet;j7G0MZqp#2Va;Delorme;Christelle;2002;8.988;6.187
126;tperon;#SC_JfnVH9pI;Dupont;Camille;2003;14.981;4.918
126;alice62;!JQkR4wW$9L!;Camus;Élisabeth;2002;8.831;5.888
126;corinnebuisson;!IyP06u88*2Q;Ramos;Denis;2002;9.149;12.303
126;isabelle66;5Ue9NTfz)@fV;Rousseau;Charlotte;2002;4.568;3.001
126;guilbertcharlotte;*5JlZNw2llYO;Maillot;Élisabeth;2002;15.987;13.618
126;raymondbaudry;*fiFXLYoju1y;Delattre;Susan;2002;7.321;10.293
126;marionsuzanne;g%CcLOgp^R8M;Delorme;Julien;2002;9.665;9.687
126;garnaud;K4VzswiY&ho^;Poulain;Émilie;2002;4.223;8.146
126;eric61;WI*t!YThm7c5;Blanchet;Anastasie;2002;13.66;14.703
126;mnormand;U%w1JDlElSVv;Chevalier;Adrien;2002;11.808;5.655
126;guerintherese;g1(0RXhrFTen;Bourdon;Xavier;2002;14.961;4.737
126;peronetienne;!q(33LRsd)WV;Delorme;Alphonse;2002;12.177;15.206
126;antoinette36;!Xoljqrl@I2Y;Leroy;Olivie;2002;2.034;2.058
126;npons;BQRkGYT!12)a;Hamel;Laurence;2002;6.742;4.69
126;jeanninedijoux;p+s6Ut^t$8(5;Bertin;Amélie;2002;7.225;18.514
126;raymondlebrun;g6zN1fST@$Or;Grenier;Olivie;2002;13.506;7.643
126;jmasse;GAs7UiId$6RM;Coulon;Pénélope;2002;7.338;18.55
126;luc09;Ixu+7ufQg7)O;Fischer;Nicolas;2002;2.923;16.629
126;falves;xXw*dMcWB6Iu;Poulain;Christine;2002;16.494;19.688
126;emary;)FgSNzI#4FIu;Samson;Thibault;2002;11.792;10.153
126;gerardparis;$Q2Cqk!R3cLO;Petit;Cécile;2002;7.561;13.353
126;lebonalexandre;ygIZBv8cX*9R;Lefevre;Marcelle;2002;14.746;2.67
126;wagnerthierry;)5w&EH^fb*7n;Guibert;Michel;2003;12.826;3.893
126;gerardlorraine;M7kz#yyY^5G8;Camus;daisy;2002;13.399;2.386
126;roussetjoseph;$1ECGrExDSuO;Ribeiro;Tristan;2002;17.658;4.364
126;rolandbriand;N)2J%x_%(trF;Mallet;René;2002;16.643;6.488
126;thibautvidal;#0LcQ0vB)sJ@;Francois;Hortense;2002;19.519;13.894
126;kchauveau;v80iXn1S+LPQ;Verdier;Gilbert;2002;10.603;11.825
126;mvalette;o2V*xdotd2Qo;Loiseau;Monique;2002;10.019;13.316
126;jourdanines;!qVmRt@t@8Xg;Leclercq;Célina;2002;19.67;17.552
126;godardlouis;U#7_CEHf+6Om;Munoz;Céline;2003;16.165;14.74
126;bneveu;#m7kMRwEfkH2;Perret;Jacqueline;2002;17.568;6.11
126;christopheguyot;#q*tJfSc$da7;Neveu;Constance;2002;4.311;19.041
126;mathieuadrienne;C7QXmkggf3Q+;Gallet;Adèle;2003;16.79;8.307
126;virginie79;f860m&k6*^@K;Renaud;Célina;2002;10.602;9.422
126;garnierelodie;H_7Ex44avG9^;Samson;Rémy;2002;2.419;14.189
126;perriergeorges;N&rTseWw5!1Q;Millet;Henri;2002;18.785;13.419
126;adrienneprevost;q*61Vv#z)Q%$;Poirier;Isabelle;2001;2.906;12.98
126;susanne63;Y%NXUnx8XE9_;Ruiz;Laurence;2002;5.155;15.537
126;blanchetthomas;2N72C+mh+DHJ;Couturier;Éric;2002;14.824;19.732
126;margotchevalier;%sSEpj3Zx97j;Weiss;Caroline;2002;17.805;16.467
126;francoiseperon;o)X2rJotTw($;Vincent;Patrick;2002;5.832;6.154
126;valerie90;_b55XsbdtX1Q;Devaux;Simone;2002;8.679;13.671
126;luce43;(_(Jo0prN(0Q;Lecoq;Laure;2002;2.007;4.235
126;charles40;U_qX5FxC#K7);Lopes;Jules;2002;5.569;19.371
126;adriennemorvan;X@B51Xx0!18A;Marechal;Nathalie;2002;19.11;18.024
126;michelantoine;!aP6p#8lr9%T;Le Gall;Rémy;2002;3.784;3.072
126;isimon;jo4+a#xc3!zO;Legros;William;2002;3.428;9.143
126;peronmaurice;auR@zruC)8sY;Chauveau;Olivie;2002;8.58;9.277
126;ddos-santos;DFm8XdYK)^dW;Grenier;Noël;2002;14.335;13.38
126;martindubois;8s36GS!r_SSl;Barre;Lucy;2002;11.127;10.719
126;jules25;J%SFN75g*9Zc;Lefort;Timothée;2002;13.255;11.828
126;philippine08;vR99@Io$^fuT;Gay;Juliette;2002;10.094;3.888
126;benoitsophie;Jzq(f0Ow!_Pl;Rey;Frédérique;2002;15.885;15.494
