idLycee;login;password;nom;prenom;naissance;note1;note2
93;pintodenis;$2x5Hfh!zP17;Marechal;Charlotte;2002;19.1;14.0
93;virginie64;7#p#AoBq+cGF;Lucas;Manon;2002;17.7;4.8
93;alfred76;&Ixu4s09b6YZ;Barthelemy;Arnaude;2002;17.5;16.2
93;veronique97;O27NwoXTN^S9;Vallet;Tristan;2002;3.7;18.8
93;alice26;(!o^9BuL+6ZO;Louis;Jules;2002;13.0;13.2
93;julesvidal;*74PWmHgOfb7;Lebrun;Adrien;2002;5.9;3.7
93;tlacombe;sA2Lg^nQ^Z8d;Morel;François;2003;4.2;7.7
93;parentmatthieu;Q)96GS*8kx60;Delorme;Lucie;2001;15.0;2.6
93;pauline12;h#UBZ1^m&8LG;Chauveau;Daniel;2002;12.5;18.3
93;aureliele-gall;F)8E6cU9_dqb;Lemaire;Nicole;2002;15.0;4.1
93;iperrin;WSCQ@4yf8y9$;Perrin;Henriette;2002;10.6;12.0
93;nathalieimbert;0FP#c&DSj#6l;Pelletier;Alexandria;2002;11.3;10.0
93;beckermarie;TTAB0Efo(@VJ;Ferrand;Élisabeth;2002;12.0;5.3
93;etiennecharles;j+X3Wxi1&nPK;Devaux;Josette;2002;16.7;8.2
93;martincamille;DA#x12MlV82W;Boyer;Émilie;2002;17.9;4.5
93;wagnermichel;!FQ5NlV3%en8;Lemaitre;Danielle;2002;14.8;10.3
93;henri97;4!mMMdvt%2E$;Langlois;Céline;2003;14.3;16.1
93;pbaudry;)b2Y2Yku1N#a;Leleu;Émilie;2002;17.5;3.5
93;cjoseph;Z_p0kQkB1@0R;Gautier;Noël;2002;16.6;18.1
93;fgiraud;B)3*E@iT$Q2m;Herve;Marcel;2002;12.9;3.9
93;chauveaualice;O93AIpar!!@T;Boutin;Pierre;2002;3.5;13.8
93;lucie59;#i86lQO$z&cE;Neveu;Franck;2002;5.5;12.3
93;charlotte28;Y9YGKRMo+B@8;Adam;Louis;2002;7.1;9.0
93;anouk12;W%J2Y7CxM+6G;Verdier;Jacques;2002;15.5;13.1
93;thomastristan;h$9LTecVKw_I;Navarro;Richard;2003;4.8;9.7
93;virginiedavid;Rl&Ac+2L%19V;Michel;Roger;2002;8.5;5.7
93;charlotte46;j+oLu2Vm#jMv;Rossi;Richard;2003;13.5;15.8
93;macethibault;s3C7wQ7U%r1G;Dupont;Lucie;2002;15.0;10.7
93;martynathalie;M^UG4VmBFvv#;Goncalves;Louis;2002;5.7;4.5
93;gmartin;!5KA_iRshlr$;Picard;Laurence;2003;8.5;11.9
93;michelemace;6HMw&Iv&R)p6;Maillot;Anastasie;2002;4.5;13.9
93;eleonore72;1pJuWlRn_(61;Guyon;Émile;2003;11.0;13.8
93;richardrene;_S0nEmouuE)W;Perez;Alphonse;2002;12.1;10.2
93;charlesbrunel;A(elEsMfn50);Ferrand;Nicole;2002;12.2;19.1
93;auguste80;i^oyH3XWxxkL;Briand;Frédéric;2002;5.2;11.5
93;larocheagnes;!Bx4PHfEqDYG;Launay;Alain;2002;8.4;11.3
93;ufleury;%89uLbn#$OVO;Lacroix;Alix;2002;11.7;4.9
93;olivier24;OvQ2LU#n_Gt);Klein;Élise;2002;17.7;2.6
93;payetarthur;o$8HRsH0^9q&;Masson;Grégoire;2002;5.1;5.7
93;catherinebarthelemy;@8OJ+jMsH@DR;Dijoux;Danielle;2002;9.2;4.5
93;rrousset;RBd%SDpnbH&2;Lebon;Arthur;2002;7.2;14.8
93;scolin;ZV6ECsdm!*$w;De Sousa;David;2002;18.7;15.1
93;kgodard;dTpDT^35)8s#;Lacombe;Suzanne;2002;19.6;13.7
93;christinelopes;(33%A#tAr9X$;Goncalves;Jacqueline;2002;8.2;4.0
93;ferrandzoe;vz%W5@TtQ%QT;Bouvier;Roger;2002;14.0;3.6
93;celina58;vt1rpfKmW(nC;Guerin;Charles;2002;4.7;11.2
93;isaac97;#6T&l9GskNlI;Meunier;Aurore;2002;17.7;18.2
93;nguichard;NuX@Q+Nja7hV;Dijoux;Rémy;2002;13.8;15.6
93;henriettebailly;sSxIPvrw+(R9;Carre;Léon;2001;16.7;8.1
93;monnieralfred;kPoP@19t%2#+;Imbert;Marguerite;2002;17.5;9.7
93;aurelie90;uhtTWDKr_Ix9;Leblanc;Margaud;2001;2.7;12.4
93;olebrun;Av!(3Uagdicr;Lamy;Cécile;2002;2.8;10.6
93;rioufrederic;C0GLaQ2O^oYq;Menard;Marcelle;2002;11.0;14.2
93;valentinedidier;C#&r4dJu1ML+;Thierry;Alexandrie;2002;16.5;10.5
93;henrigerard;##nFD$gx&t4W;Arnaud;Émile;2001;6.5;16.1
93;ibuisson;%#J&WoJQy)1F;Moreno;Mathilde;2002;3.7;17.8
93;gregoire91;^7vMX+Tc*00L;Bernard;Thomas;2002;17.7;14.3
93;noemiallard;q7E6GD+g%tGR;Leconte;Martin;2002;14.8;7.6
93;kchevalier;+PwU9Kcz7&%g;Raymond;Anouk;2002;17.6;19.6
93;yleveque;KQKxp#Fx6G5*;Turpin;Françoise;2002;6.6;4.3
