idLycee;login;password;nom;prenom;naissance;note1;note2
128;eneveu;dcF8Mzomcx#_;Fabre;Océane;2003;7.548;12.702
128;astridmasson;^i(R75WhjB4k;Schmitt;Céline;2002;5.379;5.811
128;martine37;#N_H+d8DP%1C;Besson;Marc;2002;4.446;16.588
128;colinluc;m#1Mxs(4L*)6;Hernandez;Michelle;2002;10.461;13.285
128;suzanne92;)C7R5V0gY5DA;Loiseau;Émile;2002;13.095;9.137
128;gomezzoe;27@NBCNp)ouK;Faure;Nath;2002;5.008;10.254
128;etiennemathieu;9JLuOibx!XGs;Maillard;Christelle;2002;16.171;3.367
128;pmarin;!FFIa8VY67lZ;Mathieu;Jules;2002;6.703;6.048
128;renardandre;CM12sGznq^uO;Georges;Frédéric;2000;11.942;9.333
128;descampsmanon;_SNWG5RsNi58;Guillou;Bernadette;2002;19.374;5.155
128;lemonnierclemence;&&Wt&^Kqe1z_;Maury;Michelle;2002;18.896;7.642
128;couturierdaisy;@r(y*alS63RW;Colin;Astrid;2002;2.037;7.543
128;gerardisabelle;_5xWF1jIowMS;Ferrand;Anne;2002;17.581;3.009
128;guicharddominique;^71rj1muQ9T);Loiseau;Roland;2002;18.882;19.836
128;gautieralice;$&RBMJEgT172;Ferreira;Victor;2002;16.867;4.676
128;qdevaux;!$2W1Gf$Tw5_;Descamps;Lucas;2002;15.582;7.5
128;chauveaualexandrie;#+F5jVxFhi5E;Lemonnier;Céline;2002;6.386;19.866
128;marinedurand;@$9o%YQl3X@G;Mace;William;2002;8.472;18.498
128;aurelie53;+3@DaENu%f4x;Faivre;David;2002;7.121;10.668
128;rodriguesalexandre;g1)+DvB8)2Re;Costa;Bernadette;2002;9.079;5.194
128;mathieujeannine;(C%rRs+fi(15;Vaillant;Pierre;2002;3.223;4.754
128;ojean;+%6M70JxMyFo;Begue;Émile;2002;12.426;13.911
128;lemonniercorinne;$$Qoqhjel8Re;Tessier;Frédéric;2002;18.277;15.166
128;vincent80;o)ypWUoI&*1J;Laporte;Louise;2002;16.137;17.393
128;camillerobert;k!S3TR8nNpwk;Bouchet;Jeannine;2001;15.107;11.798
128;edith41;_1Njchg2ff0d;Royer;Alfred;2002;8.751;17.433
128;parisstephane;f(@QR4Shf2Ck;Lopes;Lucy;2002;2.504;15.918
128;aubertcaroline;Nz4P8CcJku$l;Gaillard;Olivie;2002;13.885;8.331
128;laurence51;*7JEfOBFR3Lr;Baron;Élodie;2002;7.621;10.778
128;marc11;ZNU97+oq^o8g;Dijoux;Margaux;2002;19.012;2.12
128;elisabethsamson;j*YJEI^n&rE6;Gay;Thibault;2002;4.441;3.069
128;fperez;!z9Yrwr5v1D7;Labbe;Xavier;2002;9.622;17.756
128;opottier;kUVq6Hax_20x;Evrard;Suzanne;2001;3.841;3.581
128;eugene66;Yu1OOLXkBI*0;Masson;Geneviève;2003;16.326;18.526
128;wbarbe;G0_!9Uv0i$D5;Mathieu;Audrey;2001;4.145;15.228
128;legrosvictor;&bu6DUzE7%2X;Valentin;Nicole;2002;13.422;18.197
128;rochertheodore;@+I5SfKMmdL$;Allard;Jeanne;2002;10.172;7.782
128;remylouise;5b*VogF0c%1a;Laroche;Zacharie;2002;11.912;16.44
128;achevalier;^2TpTOn3PdMG;Besson;Raymond;2002;19.286;6.544
128;susannehenry;%LIChu%LCg8*;Labbe;Margot;2002;6.248;9.819
128;henriettebecker;Qg!8$LE3U+8F;Delorme;Agathe;2003;7.428;10.998
128;qbrun;!BNrSJB09XIs;Pires;Zacharie;2002;10.326;3.906
128;oliviepinto;*((G3Xsl6!QY;Nicolas;Nathalie;2002;2.14;5.066
128;alice71;wn#cTs+YQH92;Michel;Isabelle;2002;6.621;3.166
128;ileroy;Mi6B2P8g*cu8;Gautier;Victoire;2002;2.91;2.251
128;anoukduhamel;&3cQD8Rpkgd^;Texier;Luce;2002;4.692;13.49
128;susan81;^O3sWKHdyyQr;Guillot;Gilbert;2002;3.643;11.839
128;aureliebonnin;f3YmsYy8^!Kl;Guichard;Philippe;2002;19.768;4.304
128;genevieve16;$603Oth6sDDS;Vallet;Adèle;2002;2.75;3.63
128;arnaude69;OG%6WY$g%All;Weber;Laetitia;2002;15.741;12.796
128;charlotteparent;H5mo+Ddt*KKW;Voisin;Françoise;2002;11.08;19.134
128;olivier67;J3eB^hRf!_2B;Maillard;Étienne;2002;12.116;19.464
128;traorearnaude;Ao8+KrOu_q3g;Moulin;Chantal;2002;4.879;10.138
128;guillaumefabre;!JGe*63B&8Rx;Lamy;Alexandria;2003;13.112;19.91
128;carolinenavarro;176DbWAG^8mH;Dufour;Véronique;2002;16.15;13.067
128;chauveaumanon;E)*0IWweMeLt;Jourdan;Honoré;2002;15.209;3.701
128;dianecolas;)I9aF)Ljz8Ba;Denis;Sylvie;2002;9.465;19.977
128;carpentierfranck;_1eZRx+4nt&i;Dumont;Amélie;2002;8.347;4.882
128;eugenepottier;9FAWMTkhu$7a;Huet;Anne;2002;9.346;6.774
128;leroyaugustin;YW*RRMrg#54a;Lemoine;Claude;2002;8.762;13.68
