idLycee;login;password;nom;prenom;naissance;note1;note2
127;anneriou;)OCnLIph)6C_;Launay;Michèle;2002;2.309;7.889
127;honore70;bD3_9Gtx)Y41;Cordier;Timothée;2002;6.264;17.253
127;wbonneau;^8kDQ%f$UGx3;Caron;Gilles;2003;2.812;8.715
127;lucaslanglois;Sl2Fuc#X&LW8;Valette;Camille;2002;18.635;6.858
127;thibaultandree;a%0T@3zwh1oB;Herve;Martin;2002;3.462;17.119
127;cecile32;#8IUc8GV56a^;Renard;Dominique;2002;3.82;12.494
127;hamelaimee;SDKGI!9m%18z;Paris;Monique;2001;13.011;8.28
127;josette56;)NO#uJsK%!8S;Vaillant;Étienne;2002;2.912;3.669
127;courtoisetienne;r^6S4xHzDJaK;Nicolas;Timothée;2000;12.291;16.21
127;etienne07;_9$Gh!WrLcw$;Colin;Philippe;2002;7.35;9.981
127;bouchetclaire;4f&0RG8k@ha5;Auger;Daniel;2001;8.322;19.868
127;marcel22;N5VOxlN*%*Wd;Leroux;Victor;2002;17.057;17.229
127;jacquesjulie;N+Dq6Th_Cn!c;Guyon;Marc;2002;15.778;16.598
127;michelebousquet;e6DSg(Ttb^M4;Roussel;Georges;2002;15.479;2.373
127;maggiethomas;^abtxL1pLL7d;Alves;Nathalie;2002;18.616;10.803
127;rocheralexandria;#91PMdXoJCo1;Weiss;Éléonore;2002;10.764;11.093
127;marc48;r55f53KqH&HB;Begue;Hélène;2003;19.565;4.345
127;juleswagner;bn*9IjSqPAOt;Roy;Lucas;2002;13.518;11.94
127;adrienleclercq;&0etiminaT+%;Da Costa;Georges;2002;11.323;4.499
127;alain40;*1!xPQa0_$2p;Buisson;Audrey;2002;13.523;17.359
127;vmahe;33@2OBHzNP*v;Leroy;Thibaut;2002;16.131;9.969
127;courtoisgeorges;2LF_bGWl+tG4;Laroche;Susan;2002;11.901;7.047
127;williampichon;&qK_lt#l&86k;Jacquot;Céline;2002;7.149;2.491
127;pfaivre;8h6ARzGZ2$5h;Bigot;Laure;2002;8.638;2.335
127;bonnindavid;&0CNKcn6v2)_;Rodrigues;Suzanne;2002;18.983;15.715
127;gauger;%^AX0iRH_8Oy;Leduc;Camille;2002;6.824;5.042
127;jeanne10;^98^XiiNUfxf;David;Thérèse;2003;15.239;7.145
127;rcarlier;*fH15Hmmm1ks;Maurice;Claire;2002;13.384;16.553
127;rogerlenoir;n*4%%YMkH!S2;Reynaud;Michel;2002;18.294;3.523
127;dupontcolette;DKAi4cuc)Mx2;Pereira;Édouard;2002;10.433;7.874
127;gregoire03;*0X_7_Af!nB1;Michel;Lucie;2002;4.208;19.611
127;paulettebaron;&3+Rlc3e&OMv;Collet;Audrey;2002;17.377;12.771
127;dufourjeannine;GK@R%NuU!8Zz;Klein;Virginie;2001;10.173;7.639
127;tbenoit;&1@98KqjfUz!;Valentin;Christelle;2002;18.043;8.681
127;timotheebenard;a%Hp6bFIn52r;Leclercq;Stéphane;2002;3.558;14.686
127;cguerin;IXwGW9t8*p5Z;Mace;Isabelle;2002;4.293;15.896
127;cboulay;o)29i&6i#+bB;Roger;Thierry;2002;7.918;17.185
127;frederiquedupuis;xM&RK2Mx@b)X;Delmas;daisy;2002;16.903;9.571
127;josettedupuis;GecztkAc!8&X;Marchand;Julien;2003;19.656;9.779
127;le-rouxbrigitte;kB2qGhdWC%_M;Gonzalez;Isaac;2002;4.8;13.777
127;chartiercatherine;_WIUJiaB5OGT;Maillet;Clémence;2002;18.523;4.339
127;luciejacquet;7%2!gWdCri*x;Descamps;Robert;2002;16.588;5.666
127;parentgabrielle;*!cN!tj+#q71;Buisson;Éric;2002;5.799;13.205
127;christianecharpentier;f_N1GzrrWchH;Aubry;Marcelle;2002;8.333;15.94
127;yves84;NG(vq7Up5CJ4;Diallo;Joseph;2002;16.272;14.823
127;jjacob;k^UJnqAuT9%3;Mahe;Célina;2002;6.741;13.716
127;moulinlouise;aO+HZFgB@4jj;Leveque;Augustin;2002;11.181;16.943
127;agnes61;%5Go#JvNv3_C;Carlier;Édith;2002;19.835;14.169
127;zle-gall;#L@3B6cXs!UC;Besson;Arnaude;2002;2.443;15.212
127;gsalmon;8ZDkFbFF$E0K;Barbier;Hélène;2003;9.928;16.655
127;mathildemartins;@1BTHExuN1(W;Costa;Lorraine;2002;17.31;14.78
127;margauxmorvan;M^(77YPgF&w3;Leduc;Alexandria;2001;4.953;19.653
127;patrickgrondin;7xVs37sz3R&^;Duval;Catherine;2002;6.647;7.221
127;xlaine;!6e*sRFYUueP;Carre;Manon;2002;18.184;14.441
127;kleinmartin;S$_)OuO&Uu9f;Raynaud;David;2002;2.973;5.391
127;catherinelaunay;L(m6!%paxNDv;Pruvost;David;2000;16.217;14.741
127;schmitthonore;K3KqHhCB_puH;Letellier;Hélène;2002;18.63;4.518
127;maurice69;1u&L%CE6$EE!;Barthelemy;Geneviève;2004;6.142;15.45
127;kgauthier;r#9B07t8Ss4#;Deschamps;Dominique;2002;14.656;14.857
127;bernardlemaire;ItrFeET!#D6k;Guyot;Olivier;2002;15.709;13.586
