idLycee;login;password;nom;prenom;naissance;note1;note2
129;adeledelahaye;@5+goqG#wnue;Boulanger;Aimé;2002;4.734;12.653
129;valerie28;JkvElw*RR%4m;Hubert;Guillaume;2002;10.067;12.552
129;parentemile;zkh^YMDgH*N7;Bourgeois;Adrien;2002;13.126;10.259
129;alexandrie85;tQUAmHRT+k6i;Vallee;Hugues;2002;19.196;18.357
129;costevirginie;J2+NeEb8$!Tc;Lecoq;Marie;2003;3.022;18.374
129;wallard;apw^9ASqWjws;Leduc;Camille;2002;4.933;5.596
129;nguyenvincent;A21K%RpLE*ob;Mallet;Pierre;2002;12.511;11.706
129;vlefevre;$07F1zeuSt$%;Guilbert;Constance;2002;17.517;19.983
129;francoisfernandes;K%o#2N)il_p^;Blanchet;Richard;2002;3.134;10.389
129;micheleklein;JjcO2lK*z%WZ;Becker;Luc;2003;6.139;14.343
129;hortense94;&@1UidWf&8Gx;Legrand;Manon;2002;13.972;11.344
129;laurent92;Or3#Uahw#(jk;Fabre;Olivier;2002;6.92;6.071
129;jeannedaniel;K6iSHIp8$)g0;Brun;Simone;2002;2.706;10.984
129;antoinelefort;W86J1jsV8$&G;Menard;Gérard;2002;12.239;19.34
129;valleeluce;^4@jLCXTc5Ub;Chevalier;Élodie;2002;9.916;7.671
129;ygarnier;%5enH$qB8VmU;Robert;Victor;2002;10.953;15.717
129;briandnath;wl*($VQj9l40;Mahe;Théophile;2002;4.105;8.23
129;jdiallo;78yAKLz5$76&;Gomes;Marianne;2002;12.847;3.726
129;petitjeanzacharie;co!dMhV^&6Fu;Pascal;Roland;2002;3.581;9.837
129;monnieramelie;605pV@f@g*(H;Dubois;Brigitte;2002;8.384;9.521
129;nadam;yr*13Klw%XZ);Voisin;Maurice;2002;3.37;10.77
129;vincentrolland;c%rEweddcj80;Leroux;Charles;2002;17.524;15.521
129;david82;)*XKGrygg8u$;Martel;Isaac;2002;13.944;15.341
129;vmaurice;_%%BK$vA_5r5;Clerc;Noël;2003;2.904;2.159
129;benjamin79;+7twxj0ncrOY;Bonnet;Bertrand;2002;2.72;16.26
129;guillaume94;U_4BsVr%A1&+;Langlois;Vincent;2002;13.454;14.264
129;thibautleclerc;jtGPVuqu!78F;Alves;Marthe;2003;7.908;5.636
129;diaschristine;xPz42cDJ#3Gt;Pascal;Inès;2003;13.222;15.713
129;salmonemile;j3GBCbpn892);Teixeira;Honoré;2002;19.022;3.181
129;hubertjoseph;Q(2Vky#p_7_i;Lemoine;Margaux;2002;17.76;12.27
129;luce54;NiZU*UDbE_!8;Dupuy;Théodore;2002;3.047;7.666
129;catherinemorin;^OYQM0eM)64a;Ferrand;Stéphane;2002;2.556;7.899
129;adamchristine;_fh(Z5sgH8sy;Lemaire;Nathalie;2002;3.66;17.59
129;gomesnicole;pOlWI5ekG&7Y;Petit;Luc;2002;7.534;19.674
129;goncalvesraymond;(a)F_w(G4d6$;Fabre;Emmanuel;2002;8.351;17.172
129;iloiseau;(mc!^toK)3HG;Picard;Laurent;2003;13.771;9.302
129;noemileconte;e@at0FuC&%Ck;Lecomte;Célina;2002;10.682;19.64
129;simone46;gn_4rX%vg8@x;Charpentier;Julien;2002;12.927;4.132
129;zlebreton;X&0+b4y6YdKU;Barbier;Marie;2002;12.87;2.356
129;anaistexier;&p#Xg6L$9^4i;Lopes;Michèle;2002;19.892;12.311
129;francois04;Kh8engJlt*S^;Berger;Claude;2002;4.38;18.357
129;manon94;!SDCljlk)+8Y;Monnier;Antoine;2002;17.459;16.956
129;capucinemorvan;F(FWoiw0fb7Y;Maurice;Lorraine;2002;12.164;12.884
129;fmuller;@&4hGz(@azMZ;Legrand;Paul;2002;12.951;18.803
129;aurore82;BHOR43Oyq1#@;Valentin;Nathalie;2002;12.537;15.0
129;thibaultlabbe;q9+b^rK7*DCV;Gomez;Élise;2001;8.103;10.549
129;cbrun;&1+mwZ%d$BIg;Besson;Laure;2002;12.155;7.363
129;lebretoncamille;HHV^MuUw!8Ym;Delattre;Bertrand;2002;14.616;14.325
129;mleroy;+4*rs$Ut5$#Q;Lagarde;Michelle;2002;18.767;9.323
129;henri23;4t2pN$mz*VMx;Pires;Aimée;2002;8.68;3.279
129;leducmathilde;U**2IhknxmG5;Texier;Agnès;2002;16.777;7.582
129;guillotveronique;N7B^Hujh&p+k;Picard;Odette;2002;15.398;7.731
129;william01;Bl0Jnt*Zn)q$;Bouchet;Constance;2002;12.921;19.903
129;elisabeth14;3!&d$Q6luyPU;Giraud;Odette;2001;12.047;11.451
129;virginie02;#CH!f9nZ35HW;Le Roux;Simone;2002;10.851;15.3
129;gillestanguy;b4dXM4Hj*ME_;Gimenez;Adèle;2004;16.994;15.158
129;mrey;XAPp8CaiM@rP;Gerard;Constance;2003;4.656;17.327
129;francoiseroussel;a_Btj#9c$15n;Berger;Juliette;2002;8.033;11.807
129;marcelle34;JcHl7IMfr*Mm;Vincent;Alphonse;2002;2.698;13.539
129;huguespages;h8s0RLeiJ*hc;Neveu;Isaac;2002;12.985;19.707
