idLycee;login;password;nom;prenom;naissance;note1;note2
131;guillaumeklein;oEhEQeSqN6G!;Guillou;Michèle;2004;12.202;6.465
131;nicolegaudin;b7_PRbj!1bAu;Seguin;Odette;2002;16.785;15.498
131;ucamus;I7hTqZK@#+rJ;Delorme;Diane;2002;12.898;19.868
131;louis21;S1Ckk8Z_+G3E;Nguyen;Céline;2002;16.409;4.293
131;fredericvaillant;kSTNpK_p_2*I;Colin;Patricia;2002;4.346;3.239
131;josettedevaux;sw56Ong%3%(J;Boyer;Michèle;2002;5.44;8.599
131;legrosgabrielle;@lP6fSBw6nEr;Langlois;Arnaude;2002;17.529;16.507
131;andre85;zt(5VeqV#YC1;Camus;Emmanuelle;2002;3.97;19.588
131;henriettebazin;!8OKRE@s#vT%;Gautier;Gilles;2002;18.692;2.419
131;henri12;hAk9gNr*M)+k;Hardy;Jeanne;2004;6.629;17.627
131;denise03;68WxoHKd_aAn;Dias;Jeannine;2002;15.843;10.006
131;flombard;(cwzNSe$9gQg;Mallet;Gabriel;2002;7.265;4.216
131;egirard;5QnBFzzK@Kd3;Martel;Benoît;2002;17.932;9.744
131;olivier22;(!1ZTxAxffqP;Neveu;Zacharie;2001;13.04;18.004
131;cbourdon;(9)ndRnuWrsa;Laurent;Jacques;2002;2.872;13.255
131;julie47;)2ZImcw38i0^;Rousset;Emmanuel;2002;13.68;2.726
131;michel56;&kC!H8OKe3Lr;Fontaine;Martine;2002;8.458;5.092
131;chevalieranouk;!z7qxI2f^TTB;Martel;Hortense;2001;15.105;8.941
131;andre30;&q(@qk!H+4Y6;Henry;daisy;2002;8.431;8.168
131;djourdan;e3adKRFG$OSz;Pasquier;Raymond;2003;11.692;5.028
131;wgerard;7%Ivwe9i%2xJ;Tanguy;Augustin;2003;9.311;13.809
131;yferrand;)XYZKr%gQw49;Evrard;Marine;2002;14.353;15.506
131;ubernier;!Xu0&OMpwXUT;Jacques;Robert;2002;17.137;18.543
131;sdos-santos;&98JpV9vnm(N;Carlier;Stéphanie;2002;4.092;5.976
131;alix32;$3@gBxd1^j+R;Raymond;Pauline;2002;17.929;16.08
131;le-goffbertrand;@&NIUr)bPo8W;Baron;Margaux;2003;9.324;16.464
131;claudine16;#s9czSFSRPcL;Perrot;Cécile;2002;15.565;9.156
131;jeanluce;hNKCMfkxu$!5;Labbe;Océane;2004;6.918;2.207
131;alphonse36;R^Eq6EnBdd5j;Mahe;Colette;2002;15.084;11.653
131;parentemmanuelle;+7YJTaaj94&E;Etienne;Simone;2002;12.422;15.794
131;alexandreperrin;OB0oZrLc0F)z;Durand;Édith;2002;2.255;10.113
131;fernandespaul;_E!#+0Peo+9L;Berger;Anastasie;2002;19.251;8.726
131;dupontphilippe;5ak2JGWr#%cG;Coulon;Augustin;2002;3.655;4.968
131;zlacroix;DOF4fOti%I84;Peron;Sylvie;2002;17.726;6.655
131;mercierjosette;)Y6*IwykZx+c;Chevalier;Roger;2003;9.016;13.45
131;torresadrienne;WQ@BoaYgUM^4;Roy;Victoire;2002;2.421;9.639
131;lefortanastasie;ep#bnnCu9^6H;Martel;Victor;2002;10.084;15.878
131;anastasiegay;n_y%hGkmu7WV;Marechal;Constance;2002;2.248;7.212
131;martine26;*3i5+qntjJ@O;Camus;Claude;2003;6.992;2.348
131;nicolevasseur;%dW&(zClp6q0;Raymond;Alexandre;2002;10.014;8.175
131;nathalie63;%o8Ov%iF&9K1;Mathieu;Lucas;2002;12.851;8.319
131;luce66;%r#GHZkd*52l;Ribeiro;Claudine;2002;10.061;16.853
131;deniseteixeira;@sc*yMouc%C0;Gimenez;Eugène;2002;7.161;19.518
131;xnormand;!Qomm#Kx+6#3;Jean;Françoise;2003;15.777;18.493
131;yvespereira;_0My_HGDpIae;Maillet;Odette;2002;13.568;17.773
131;oetienne;B8bKRJ+H)gWZ;Simon;Josette;2002;6.411;11.125
131;lorraine54;$6+R_+gHK^1J;Antoine;Maurice;2003;10.841;3.716
131;ehebert;HHwWf&yEi%3U;David;Émile;2002;5.641;16.266
131;descampsnoel;)cTv@mwxXI76;Henry;Valérie;2002;11.234;6.242
131;louise13;$y6w8hOi!$%9;Gallet;Timothée;2002;16.581;16.272
131;durandisabelle;*OR3QpuPkiN5;David;Jules;2002;14.516;5.859
131;edithgauthier;VaUT5NZfCOW@;Carpentier;Roger;2002;4.352;7.719
131;delannoyfrancoise;%1NV!MBDCKhI;Legendre;Emmanuelle;2002;7.217;17.114
131;ntanguy;A9BT43jy^@We;De Oliveira;Andrée;2002;18.929;2.841
131;madeleinegaudin;j4PGq9j4S#n*;Benoit;Audrey;2002;9.624;2.504
131;gilleslaunay;HY)z9rkSy7A&;Thierry;Véronique;2002;13.295;19.305
131;hblanchard;l5Rg9sCS^wmA;Paul;Charles;2002;5.219;16.619
131;mathildedelahaye;2(D34c4shE6*;Techer;Lorraine;2002;19.188;14.058
131;denis03;!8Dpkd9tMiA);Bonnet;Auguste;2002;13.865;4.043
131;arthur59;OwUzAIuRj(0*;Colas;Pierre;2002;10.582;19.979
