idLycee;login;password;nom;prenom;naissance;note1;note2
132;bvallet;$gSq)TOT5p^r;Nicolas;Alex;2001;18.092;16.948
132;maggielaroche;rt4Gvek79*d^;Lebon;Monique;2002;16.791;17.703
132;jeannine06;y^3OJ&lqjkK2;Pineau;Louise;2002;10.266;4.413
132;paul64;#9WMX2*ujU#q;Clerc;Grégoire;2002;10.61;17.118
132;zgirard;2f2M@ore&BC&;Bailly;Guy;2002;5.305;17.194
132;dupuyandree;bR5dl8v5%$8U;Benard;Élisabeth;2002;18.288;4.217
132;renemuller;6z%!OEmql#C2;Leduc;Henri;2002;19.147;14.155
132;juleslemonnier;#@YLsqTeo2YT;Martinez;Zoé;2002;11.924;14.635
132;josephlegros;@7m4TOupn$bH;Leroux;Colette;2002;5.688;8.032
132;alfred05;2+q&iAt0ZwP8;Letellier;Claude;2002;7.803;15.924
132;robert76;U5Yc1TlQ%5M8;Jean;Lucas;2003;16.852;8.2
132;alexandriapicard;2Q9Qv@Na1#JC;Noel;Constance;2001;2.215;11.378
132;charles83;dy5+fblV18Pf;Thierry;Virginie;2002;12.614;8.181
132;elecomte;+stVxuS%i671;Perez;Marcelle;2002;17.479;11.302
132;bousquetsimone;M!r(Myro^w6!;Marion;Frédéric;2002;14.874;5.27
132;odumont;4AhEjc#a%uXg;Caron;Nicole;2002;13.331;11.966
132;elanglois;5m@j27Ritvx(;Dufour;Célina;2002;18.119;18.504
132;guillaume09;*r_I!_sfh5xU;Lefevre;Gérard;2002;7.626;7.513
132;marthelevy;@0EvqCwOOfOP;Huet;Franck;2002;15.494;15.466
132;valerie66;_bBn^HLh$a6j;Gros;Geneviève;2002;13.605;8.405
132;wagneradrienne;(9JQ_e_fy4@c;Richard;Jules;2002;19.783;19.506
132;luciepascal;Va1(ODwR%XYB;Valette;Anastasie;2003;6.92;5.294
132;adamdenis;+pXysWArP8Ur;Gros;Nicolas;2002;19.49;2.01
132;rcousin;GTp2D@qKYDW@;Legros;Antoinette;2002;6.02;12.135
132;jacquelinealexandre;1MMK&w6s#3KB;Legros;Jeannine;2002;19.088;11.194
132;frederiquethibault;g1N@OkH2OzJq;Chauveau;Agathe;2002;7.489;9.824
132;augustindeschamps;c9LFUtHE(33c;Munoz;Aurore;2002;5.94;15.685
132;menardlaurent;(7hz_gdnz6IV;Pelletier;Anaïs;2003;10.289;8.912
132;payetrenee;5AO9^Ey1!ddC;Marin;Corinne;2003;2.053;19.303
132;patricia18;m2ULsxYj!pV9;Gros;Thierry;2002;19.669;16.88
132;launaymarguerite;JMJjgmrv#0BS;Coulon;Suzanne;2002;9.235;4.46
132;delahayemaggie;z86ELbYp%0eR;Costa;Benoît;2002;3.675;12.644
132;germainconstance;%Q_^aXOrTOY7;Faivre;Michel;2002;8.149;16.023
132;william44;TSbzbCfk!b0G;Francois;Édouard;2002;6.899;13.74
132;alexandrieguillet;#O+0rNv3frk1;Dupont;Théodore;2002;14.523;17.019
132;barreceline;+%7ZCWej7N2B;Rodriguez;Éric;2002;18.846;5.454
132;agathe45;+(mQ)&Cs54j2;Lacombe;Susan;2002;13.612;17.288
132;greniermaurice;(vS9cHwSWsNQ;Tanguy;Adrien;2002;3.248;11.957
132;hebertamelie;Q_*z7$)o@c8Y;Merle;Gabriel;2002;18.533;17.71
132;wleger;D%SnTXlauWV5;Lebon;Sylvie;2003;2.596;17.025
132;zachariemarty;tb2R7Odl$8_Q;Michel;Alix;2002;5.782;12.314
132;btexier;+M7Py1uf1kid;Merle;Laetitia;2002;15.724;9.083
132;sgimenez;ro&b1KxC478_;Lebon;Isabelle;2002;17.849;7.135
132;laetitia49;jw2zMXxM+WPA;Louis;Pauline;2002;6.849;7.407
132;anne34;)jbCpGx6^!4f;Renard;Joséphine;2001;12.511;7.867
132;tbonnin;d739Wu&9&_Lr;Guyon;William;2002;2.866;15.468
132;bguillet;bK(Hxd!t)p8);Hamel;Emmanuelle;2002;11.404;6.46
132;gerardnoel;Y)oHV@%j@h7!;Meyer;William;2002;9.38;2.464
132;gabrielleblanc;k%JtDxcf+J9N;Alexandre;Martin;2001;6.037;11.597
132;adelaide33;%5Gsax!0Fw6t;Menard;Hortense;2002;8.897;17.284
132;mmillet;VcLV5IFtYL_v;Vallee;Zoé;2002;11.486;4.89
132;zbrunel;p&PdAJ%k&Fm7;Renault;André;2002;18.258;19.938
132;gomezthierry;+xlR4CTqL5$P;Joly;Anne;2002;19.386;6.615
132;frederique36;Nf2V2Cvk*P3&;Hoarau;Isaac;2001;18.065;12.062
132;isaacmartin;U*1H7mdiY%u1;Da Costa;Clémence;2002;17.112;5.477
132;lucyguyot;z!*IRoZw%Z5&;Morvan;Odette;2002;17.236;9.743
132;nrenard;yM6Jjh_k^*i6;Fischer;Catherine;2002;15.306;16.238
132;adrienne42;!BB400Qfj3%!;Marty;Édith;2002;10.984;3.461
132;timotheehardy;Mjq2Ebq&x*Jv;Martineau;Chantal;2002;13.591;10.671
132;georgeschevallier;QVE3Po$W)rar;Thibault;Arthur;2002;8.693;19.425
