idLycee;login;password;nom;prenom;naissance;note1;note2
133;laure27;rV0gFn!g+jQU;Gilbert;Georges;2003;17.558;19.104
133;xhernandez;kw91W3Se*#ku;Schmitt;Joséphine;2002;13.283;3.31
133;dvasseur;%^341h&nLeLB;Coulon;Guillaume;2002;12.14;14.183
133;ztraore;QemXij9O6!1L;Bourdon;Monique;2003;14.903;6.505
133;ebegue;+AbIPpzl@*$8;Labbe;Suzanne;2002;9.747;3.185
133;leon49;dpm@SN!h_o5E;Rocher;Maryse;2003;17.824;11.423
133;richarddiaz;%8Ud$fo#5H4q;Lamy;Virginie;2002;2.727;9.77
133;kbrun;TeN3JczoJY_d;Vidal;Lucy;2002;10.844;9.44
133;huguesallard;)wG5X65f6yv%;Robert;Valentine;2002;6.996;12.145
133;christelle64;T!G3q(Lbx6c);Philippe;Joséphine;2002;16.637;10.133
133;delattrelouise;o16KPV3j3*@q;Adam;Paulette;2002;12.144;10.443
133;gabrielbarre;@6RJsTXvag0(;Barthelemy;Aimé;2002;5.502;19.951
133;adeleleroux;89TJW(2r+@p!;Lemaire;Éric;2003;3.722;5.855
133;jeannine90;ToU1Vpr(#8OT;Colin;Amélie;2002;14.669;9.256
133;adeleleblanc;$Y1YGgVx$qw!;Coulon;Rémy;2002;10.924;19.314
133;elisenavarro;+pKBl!hv)I8L;Thomas;Cécile;2002;14.45;17.244
133;luce26;eR)h)@vW1nH);Lopes;Denise;2002;14.293;5.369
133;margueriteleleu;_0EuiKQ_FVQ1;Martineau;Martine;2002;14.863;2.927
133;atecher;_SDQljeQ%)H9;Bodin;François;2002;10.418;12.349
133;vdevaux;LTJwAHNf)oZ5;Fournier;Claire;2002;13.82;3.986
133;valentine77;pl3Pbttn!Wyi;Mahe;Joséphine;2002;19.907;9.965
133;le-goffrenee;)5bWb7wo*(at;Paul;Théodore;2002;15.893;17.772
133;valletodette;)7N$MSAObuOi;Tessier;Michel;2002;10.313;17.397
133;josephjulie;$b6QYLxh8v_w;Chauveau;Alain;2002;12.886;14.563
133;alexandrie61;!6DYM$ZnqgGz;Weber;Julien;2001;10.316;4.302
133;augustepascal;&89ran6*%fUm;Rocher;Caroline;2002;11.895;3.352
133;regnierlaurence;kk8fNBieJ$7+;Meyer;Agathe;2002;3.938;11.498
133;sdijoux;^80(cdbk+WrZ;Raynaud;Madeleine;2002;8.532;6.701
133;andree61;5!XXepVnF)80;Blanchard;Gilles;2002;13.186;5.953
133;henriettecoste;xzz^J7oaZP_8;Rolland;daisy;2002;15.686;9.72
133;bernadetteguillet;z&tlFGXhca1f;Mahe;Julien;2002;9.713;17.825
133;frederic88;+L6Muxfoe^RN;Parent;Roland;2002;4.465;11.506
133;annelenoir;fa)9rKzr@7T!;Breton;Jérôme;2002;19.335;17.223
133;hmathieu;_10i2%Y$n_Tp;De Sousa;Pénélope;2002;6.538;13.444
133;maggiechevallier;1ON^Wuq+)+HR;Deschamps;Margot;2002;2.81;17.754
133;charrierdavid;kiJZOEgHa!k4;Colas;Alexandre;2002;14.326;2.585
133;sabine98;w!4xr5Lh4awf;Couturier;Olivier;2002;5.378;11.053
133;sabine72;C$12DiGL(+2J;Rodriguez;Lucy;2002;13.719;17.199
133;delannoyvirginie;y!m2KHef!M3w;Leblanc;Michel;2002;2.783;4.343
133;benoitgeorges;otw^UYd+_Vz3;Lefort;Augustin;2002;17.401;10.279
133;bessonnoemi;kq41Q1On%ics;Lemonnier;Lucie;2002;4.474;17.551
133;lelievrematthieu;4cJ@sPBo_QHF;Marechal;Chantal;2002;13.768;8.417
133;gerardroy;x&9gXpwrVG$D;Lamy;Sébastien;2002;5.163;9.383
133;aimee46;P0&a3FMlKlYV;Gaillard;David;2003;16.924;4.727
133;gregoire02;S!&0lSdyswT);Rossi;Margaret;2002;17.266;4.837
133;rioupatricia;mdh!ztFu(43D;Schmitt;daisy;2002;2.587;18.892
133;virginie47;+^TLCyZLZ6Q1;Dupuis;Philippine;2002;13.722;11.286
133;vguyon;&1v5iyDnioSJ;Maury;Denise;2002;7.388;9.426
133;rle-goff;G5akMbg5#KqI;Delannoy;Alexandre;2002;12.319;19.241
133;le-gallnicole;L9RxNT)l&sxu;Jourdan;Geneviève;2002;4.905;8.201
133;legervictoire;&In2GsGs#6O^;Lenoir;Michèle;2002;2.772;18.927
133;claude03;+7RubCt79AR$;Techer;Jeanne;2002;9.921;9.364
133;ufischer;$ZAwiUk^jL1I;Baron;Bertrand;2002;10.751;5.521
133;levysusanne;a0zNzwCR!5Jh;Marin;Martin;2002;16.363;16.552
133;jeanneguillou;#F4SHamug#T5;Maurice;Timothée;2004;5.087;14.982
133;pweber;eN)83Jpi#Wj0;Etienne;Jean;2002;19.26;4.39
133;labbeemmanuelle;t_lE0i1a(o5_;Peltier;Isabelle;2002;14.969;14.527
133;thierry23;eGuSyoVd)A1V;Le Goff;Marthe;2002;10.838;14.921
133;royadele;2NpipAn0#7we;Chretien;Dominique;2002;2.702;8.801
133;jgaudin;$@_TkK#jrl8H;Boulanger;Nathalie;2002;6.296;6.944
