idLycee;login;password;nom;prenom;naissance;note1;note2
115;genevieveferrand;+(3j&Xia6Ka9;Maillard;Joséphine;2002;9.573;12.387
115;suzanne54;)i2mLuhhNk_J;Albert;Mathilde;2002;6.059;3.466
115;remymartineau;70D%AKVS&PKh;Pichon;Marthe;2002;2.805;18.76
115;le-gallfrederic;^h)oU@!#I9Pe;Clement;Margot;2002;7.989;16.269
115;david45;O5FuI_pG_^AI;Lefort;Joseph;2002;12.202;13.766
115;marionceline;^59h0RDElEpV;Lelievre;Nicolas;2002;10.458;18.166
115;guillouolivie;^5oWjNC*1X8^;Blanc;Thomas;2002;18.332;12.547
115;genevieve22;%T)fw5Lk!DQF;Wagner;Alexandrie;2002;4.55;13.868
115;nperrier;!@EnP#PgfIp9;Millet;Alain;2002;18.28;9.308
115;julienadrienne;)DxRE8p3P^OU;Maury;Jeannine;2002;11.866;17.658
115;fperrot;DC(a^E1)2ROz;Morin;Lucas;2001;3.675;4.733
115;massonhelene;19Ss$g+f!4tf;Diallo;Philippine;2001;16.326;5.304
115;margaretpires;cgTZmQvTnZ4_;Pasquier;Stéphanie;2002;9.312;17.431
115;nicole13;@K2sMWrXgjFA;Gauthier;Arnaude;2002;2.034;7.544
115;therese37;%hHxKrHL05Mn;Navarro;Margaret;2002;19.126;13.622
115;astrid99;*8ZVehKWEXQi;Fouquet;Margot;2002;3.938;19.827
115;bgiraud;qf7OMTqM!9IW;Payet;Pierre;2002;2.581;18.265
115;eguyot;_X4ToPy295zf;Bigot;Matthieu;2002;15.315;3.322
115;oceanele-gall;6%(3Mm8qRsw);Peltier;Stéphanie;2002;11.353;18.757
115;cbrunet;)eE++t(P0ANC;Brunel;Anaïs;2002;5.856;18.31
115;louise59;e@AhSyBn5PI7;Gerard;Alphonse;2002;12.954;11.565
115;margaretlombard;ZKyAWgfmW2*5;Gimenez;Olivier;2002;9.616;12.941
115;madeleine25;eOx2Vfo@D@6W;Hernandez;Denise;2002;5.436;4.527
115;alexandrie21;A4de2j)R#!EH;Benoit;Maurice;2000;13.369;16.962
115;wdupont;KS4qmuTE@nJ&;Barthelemy;Thibaut;2002;17.254;3.847
115;frocher;9lMHU+Vy)7Em;Delorme;Henri;2002;14.628;13.215
115;sophiechauveau;lmxhaQd1C*l7;Allard;Théodore;2002;5.011;12.946
115;ublin;2$C9%ev%(5Be;Bonnin;Honoré;2002;15.1;18.509
115;julesletellier;J2I_QlaZIQFr;Carlier;Adrienne;2002;4.958;13.511
115;mbreton;)1NPMPCuUsa);Jacquet;Anastasie;2003;3.853;8.672
115;guyboutin;kzG6UsuqM#!N;Dos Santos;Joséphine;2002;14.711;2.493
115;bigotjulie;*SLXEubP(+66;Fleury;Marc;2002;2.695;10.223
115;sauvageluce;rvNK+mOg+5+$;Levy;Marie;2002;3.996;14.575
115;eugene76;ZT3c7RXgV+kW;Royer;Laure;2001;14.097;11.099
115;thomas90;EGPm4BAk%ydT;Letellier;Océane;2002;17.777;11.805
115;xgomes;3pKBgOnv#6Q4;Carre;Isabelle;2002;8.64;16.118
115;duvalmichel;sUF)thTRh+8@;Legendre;Hortense;2002;9.057;15.565
115;noelluce;)9u@LZ%v%0HI;Benard;Pauline;2002;5.039;6.822
115;ruizchristelle;e*4AZqvmI#fU;Blondel;Alix;2002;6.115;13.066
115;wprevost;%iG(1N1bo(#s;Turpin;Clémence;2002;16.015;6.185
115;ivalette;!I94nBuHq2r!;Cordier;Laure;2002;15.001;13.6
115;labbephilippe;V_0aMyQYE^m3;Hernandez;Benoît;2003;4.767;16.313
115;martinschristophe;0t+6sFM3#RBL;Seguin;Alex;2002;6.807;7.096
115;boutinjosephine;L&5RK9Yj2ypH;Devaux;Paulette;2002;6.468;12.432
115;thomaslejeune;$++aR^aQ6T0^;Perrin;Jacques;2002;15.733;14.064
115;bmartin;t3QUKPf)_$8L;Masson;Léon;2002;12.267;14.267
115;allainchristophe;amh8@Wu&+zQ+;Fleury;Denis;2002;14.857;7.754
115;perrotnathalie;%3DRwm+tse&n;Rocher;Eugène;2002;15.242;11.102
115;clemencemercier;7I$SsxJaAZ9L;Allard;Lorraine;2002;14.002;4.528
115;dumontjerome;_+TnzpuGk7aI;Renault;Victoire;2002;8.448;14.542
115;roger27;)14mE&W^ccXo;Etienne;Julien;2002;5.748;10.502
115;bonnetchristophe;c+CaoQmjA&0K;Lemoine;Michelle;2002;2.565;8.909
115;jourdananastasie;((2!pjHotxUQ;Masse;Constance;2002;4.266;7.25
115;frederiquemaillet;!o18rbLo&bCv;Ribeiro;Diane;2002;5.212;13.936
115;patrick92;6^i%1BXuL!79;Marques;Frédéric;2002;17.596;10.571
115;vvincent;d7rDF)z*%Jp*;Giraud;Susanne;2002;10.417;17.309
115;noelarnaud;a5lz4rTp@IQ2;Barre;Richard;2002;3.219;11.352
115;marthedijoux;#&@9niRp$z04;Henry;Joséphine;2002;15.29;4.707
115;noel28;2yGSwxJE+4u&;Collet;Alexandre;2002;13.856;9.6
115;vpottier;6HrbCWJm_%jg;Mercier;Lorraine;2002;17.122;14.758
