idLycee;login;password;nom;prenom;naissance;note1;note2
136;leonlecomte;0O#NHsc_h@36;Collet;Nath;2002;13.504;15.471
136;hebertchristelle;FKyK3K5yy$#Y;Ledoux;Élisabeth;2002;18.886;10.562
136;itraore;YPIU02qvP(Ys;Noel;Philippine;2002;16.892;10.678
136;christine96;x)3c&dKBG4^S;Ollivier;Capucine;2002;4.237;13.248
136;ufernandes;3UCkW#Hj^K9E;Pelletier;Raymond;2002;3.325;17.442
136;qbonnin;Ry@1V5U_)azX;Martinez;François;2002;14.705;7.296
136;julie27;K(2Wz)xOD)0a;Colin;Laurence;2002;2.769;8.825
136;ulemaire;(7WKPuRa^nVc;Fernandes;André;2002;6.66;5.625
136;vmaillard;qGu1yD)i^5yH;Lamy;Maggie;2002;5.766;11.004
136;bourgeoisleon;@6f#2*OMljXd;Pages;Christiane;2002;6.056;11.329
136;jacquesblanchard;Y*9D@mbf@)4p;Ruiz;Martine;2003;4.795;4.681
136;jeannine42;)HDVI8JO6hUE;Durand;Olivie;2002;8.426;18.677
136;marionvictor;@)8^QO#yOgsl;Couturier;Brigitte;2002;8.143;12.157
136;daniel93;CG3OAJoD*#ny;Maillet;Guillaume;2002;10.228;4.561
136;gaymartine;kh8binR1(zMZ;Lefevre;Olivier;2003;8.153;2.072
136;thibaultmarcelle;fm8^BW@s5A&*;Mallet;Colette;2002;18.408;11.043
136;jchartier;CGlv4lrl#^&^;Guillaume;Paulette;2002;12.981;7.166
136;rcosta;#8n+kiXwHn9G;Merle;Tristan;2002;15.611;16.608
136;noel53;i@8XYzuGqkjh;Petit;Susan;2001;2.334;4.655
136;bigotveronique;ha+WlTrkN!07;Monnier;Véronique;2002;19.721;5.82
136;oceane50;w!59M&s45dLN;Perrot;Joséphine;2002;17.551;2.488
136;avalette;_0Zg4^^5(^j&;Delaunay;Marthe;2001;12.473;7.783
136;chauvincorinne;o#c5GkbGp$xb;Gosselin;Éric;2002;5.323;10.071
136;sophiegermain;H3PYD2Ym$4QG;Lemoine;Emmanuelle;2002;9.634;2.375
136;nicole74;@t5yIpP0&Y3y;Hoareau;Céline;2002;12.165;8.165
136;samsonaurelie;49Wmdcu%@8NL;Lemoine;Virginie;2002;10.824;14.112
136;valetteleon;%hU5XYGqd%C7;Cousin;Valentine;2002;3.503;2.472
136;ruizedouard;Y2*b(243_qfX;Muller;Cécile;2002;14.159;18.859
136;philippealfred;&08E_bwFLsWe;Marques;Zoé;2002;8.439;5.686
136;agathemorin;*sU%3YxJi1ma;Dupont;Claude;2002;7.914;18.969
136;legendrejacques;(3%rVOXJkmc6;Adam;Jacqueline;2002;3.677;7.437
136;marthedupuis;Do(3mCtQX_Wd;Barbier;Cécile;2002;19.497;15.982
136;gaudinmarthe;e)Yi7XDLChw);Thomas;Philippe;2004;16.622;16.721
136;baudrymarcel;_1PaVDmRy2Q2;Gauthier;Thibault;2002;4.614;19.776
136;davidrocher;*DGn^!kt+2VI;Guillot;Victor;2002;15.09;8.53
136;valeriepierre;!Pb(Vk*X7yM$;Schmitt;Julie;2002;18.493;4.161
136;herveanais;6J6Cs58w)3NF;Dufour;Astrid;2002;3.679;11.883
136;nathcolin;ao31$6fA3a^G;Pires;Susan;2002;18.783;7.343
136;perezlucas;fe5pderq$AgR;Gallet;Adrienne;2003;6.357;8.456
136;pmaillet;55$mrSO0#6iP;Delattre;Célina;2003;15.365;2.518
136;adelaidebailly;v7!EtB&C(FCD;Navarro;Marine;2003;19.059;6.395
136;richardmartel;7I56ApXl^q6h;Dufour;Christophe;2002;13.11;11.979
136;philippe42;@d8U*rM!Z+q0;Dubois;Roger;2002;13.984;11.258
136;seguinclaude;V)V1ZCiVHu%5;Perrin;Emmanuelle;2002;7.571;3.169
136;alfred23;D!zcBjvwD_0j;Rossi;Alphonse;2002;17.673;10.228
136;alexandre67;n9&II!!v*nEw;Remy;Yves;2002;13.185;15.995
136;valleehortense;IV&f3Klmea%1;Legendre;Luce;2002;8.881;19.727
136;frederiquelelievre;^0q92NA4Ej)7;Legendre;Sabine;2001;9.006;12.55
136;richardbenard;gt3YE0kEx)7X;Nicolas;Aimée;2002;5.386;5.307
136;lagardecorinne;$7AHB4An+y1j;Begue;Jean;2003;6.253;14.558
136;tessierpierre;TxcUVRkb+wO7;Collet;Nathalie;2002;9.762;10.576
136;mathildeallard;y9#RTUws)qw(;Lefevre;Stéphanie;2004;18.738;17.824
136;thibautfouquet;)o1)I&)u6GyM;Gomes;Marianne;2002;13.271;14.122
136;lecoqjulie;Ke)1&Oegl6Dg;Bonnin;Caroline;2002;8.789;16.93
136;alfredboulay;ASb0XSJc@s$%;Aubert;Hugues;2002;10.642;12.946
136;veronique04;$K29cXlq_MG0;Georges;Bertrand;2002;14.061;6.855
136;cdidier;_1HaVgmo5J6K;Raynaud;Lucie;2002;15.603;7.114
136;gregoireguillot;^UnD9^Tv59jZ;Laroche;Luc;2003;11.025;16.368
136;langloismarguerite;_D4jKHao&8(u;Fernandes;Audrey;2003;9.897;11.437
136;andree36;M)xSBTpeau2y;Michel;Gérard;2002;12.13;5.243
