idLycee;login;password;nom;prenom;naissance;note1;note2
138;gpinto;qaIFsk&v4ll(;Le Gall;Aimée;2001;10.989;3.358
138;martine72;%bIV2Bh&7^m#;Ollivier;Sabine;2002;6.975;6.182
138;krobert;&k$9wOu4p2*T;Lecoq;Corinne;2002;13.794;10.918
138;emmanuel39;)(qrD0gg36J+;Renaud;Jeanne;2003;18.66;6.251
138;henrietteseguin;c72XpCaZ*7FO;Maury;Valentine;2002;5.087;6.235
138;rraymond;pij2LB+vFW+M;Moreno;Amélie;2002;16.106;10.203
138;jroyer;X8$+ro804vQz;Lagarde;Henri;2002;4.832;19.389
138;rochestephane;X@X7UT_vFrxY;Chauvin;Sabine;2004;19.076;14.162
138;veroniquecolas;cLQBJWFy6(19;Neveu;Claudine;2002;3.635;4.943
138;spages;CI6BorJn2#TS;Leclerc;Stéphanie;2002;18.178;5.9
138;michelleclement;^^c7exHc1+uh;Courtois;Gilbert;2002;9.067;7.152
138;nriviere;@y7Pi#r4%*6R;Delattre;Thibault;2002;3.824;2.112
138;xavier15;1$4SbIdwP#Mg;Barbe;Nicole;2002;15.465;5.325
138;aurelie66;M8kLInm#(m+B;Gauthier;René;2002;16.453;11.609
138;meyerroland;)s#QmeE0p7IX;Verdier;Sabine;2002;10.66;4.286
138;margaretrossi;KsFZ0Xx^!M0Q;Leconte;Célina;2002;13.713;6.42
138;letellierroland;y%1S^Qx9tP#T;Rousset;Élise;2002;19.521;17.988
138;duhamelchristine;*ZHfMJCqp9Cy;Grondin;Alexandre;2002;13.445;2.655
138;camillemuller;#9WTHrvkP#7l;Legros;René;2002;5.26;14.715
138;jcarre;$zDN)ScKi5vr;Poulain;Alain;2002;15.884;8.872
138;antoinettebonnin;Ds5Q1Bjtc_DT;Gillet;Daniel;2002;16.432;2.256
138;mathildelagarde;WyIQ6*o9&7H*;Colas;Julien;2001;17.195;15.293
138;qrocher;)lAJ4@Pc#%_8;Le Roux;Antoinette;2002;11.689;3.908
138;stephanelaroche;_7)zS*bbU$St;Blanchet;Patricia;2002;2.48;13.336
138;aimedescamps;S^QXLMIv^K1v;Pages;Capucine;2003;14.488;13.107
138;teixeirajulie;7Wv1!8Igzv@U;Delattre;Chantal;2002;9.262;12.013
138;kbazin;+3FkiXEMhyoQ;Gosselin;Laetitia;2002;15.994;14.841
138;vfischer;a#Vp1FGjzi)5;Fleury;Paul;2002;19.866;2.797
138;dthibault;9W@Abk6G*1$P;Rousset;Auguste;2002;18.365;11.303
138;christiane21;6KH$h01^)749;Coste;Gérard;2002;12.536;3.916
138;raymond56;Hv^yBaHh5$q2;Fernandez;Brigitte;2002;11.339;9.003
138;celinedupuis;@dOL9L&xv+$(;Collet;Geneviève;2002;12.891;3.125
138;aliceleblanc;6#3R%Z4x#2Qg;Martinez;Adélaïde;2002;14.884;13.876
138;ameliebuisson;xWQTYTSa&oX7;Pereira;Manon;2002;6.088;14.494
138;wleduc;fs2Tgnow)8iT;Techer;Emmanuel;2002;8.421;10.165
138;jdupre;)!NPbybdm86M;Gallet;Nathalie;2002;9.37;5.537
138;eleonore16;8XexDmn8$4Vi;Barre;Maggie;2002;16.816;14.426
138;abernier;&a&y3VP052gR;Lemaire;Alexandrie;2002;4.583;16.888
138;nicole84;s((mRPPaaBs5;Mathieu;Olivier;2002;4.439;15.762
138;elopez;$*(+19AN%sSe;Leger;Margaud;2002;5.839;13.584
138;lucboulay;hq(8JRaY)RzS;Richard;Marc;2002;15.602;16.19
138;usimon;6nTOiV6d^7!z;Loiseau;Victoire;2002;7.162;5.141
138;diallomaurice;xn2O!GonE&)1;Marques;Emmanuel;2002;11.523;5.24
138;alexandrie53;*P4Q64vo_^1j;Dijoux;Virginie;2002;6.853;7.942
138;louise07;E4UNLQTz)z3#;Lefebvre;Julien;2000;7.133;16.603
138;qdumont;_$GsuUfoD6HO;Gaillard;Anastasie;2002;14.474;17.525
138;nathalie61;(^Pjaonp4iCY;Besson;Margaud;2002;10.552;12.636
138;josette21;%1XDNq77nG_P;Fleury;Camille;2002;4.472;12.956
138;ubrunel;P5ckacvB@$2L;Prevost;Maggie;2002;2.84;15.085
138;mauricegauthier;vUt*QyoH08)W;Brunet;Zoé;2002;2.059;18.655
138;xavier02;m9kFBOxS%onU;Vallee;Théophile;2003;3.726;6.502
138;courtoisjean;971@ZdoB&@NO;Hernandez;Odette;2002;17.026;16.315
138;ferrandjeannine;+N4u(Tvg45Sv;Berthelot;Gilbert;2002;4.786;9.584
138;stephanelelievre;Eb4urItk#dn+;Da Silva;Zacharie;2002;16.29;9.011
138;sgeorges;Z#2LkVd)Xm5F;Bourdon;Brigitte;2003;13.782;7.486
138;xpires;bu6kO4kX&vN4;Colin;Philippe;2000;9.287;6.09
138;lucydos-santos;$!D#VtJ$8o0S;Duval;Anouk;2002;12.5;18.956
138;znavarro;$f15diOhV_1X;Pons;Sébastien;2002;11.237;7.594
138;francois86;21ECDe5c!kPA;Barbe;Léon;2002;2.045;10.195
138;bertrandalbert;yVKRF3Xph)JS;Costa;Alphonse;2002;18.802;13.927
