idLycee;login;password;nom;prenom;naissance;note1;note2
139;jerome47;Hw@SQ8sc)2m!;Leleu;Madeleine;2002;12.007;6.412
139;ybonnin;V1bb_3Rv^s5q;Gros;David;2002;16.941;10.157
139;couturiermarianne;y7U_Xcg^@KMk;Pasquier;Luc;2002;11.179;9.591
139;remyle-roux;Mt6ZrOALi^3W;Jacquet;Sophie;2003;2.843;2.795
139;dominique02;xULZIx%A+G0A;Moreno;Constance;2002;4.693;18.563
139;bazinclaire;%y5ixPGmr+o5;Guerin;Camille;2000;14.399;14.932
139;franckbourgeois;746**uc^#9RE;Lombard;Bernard;2002;15.533;7.61
139;madeleine43;VgafXh&A&2Ad;Morin;Victor;2002;3.7;8.862
139;chantal72;RJvA65ueKL7#;Morin;Anne;2002;14.103;17.916
139;qvallee;@V2CfEGv+*WQ;Normand;Juliette;2002;18.071;18.78
139;madeleine52;^FI&%wwM9_3^;Leconte;Sabine;2002;14.61;11.196
139;kleduc;(b@axCsSG&6x;Prevost;Éric;2002;5.907;15.449
139;emiledelannoy;t7Mk0&q$^dKM;Gauthier;Margot;2003;8.247;17.648
139;thierryherve;$2G8FppO@Vx9;Payet;Geneviève;2002;16.645;8.962
139;sanchezfranck;^79YnZIrP8zv;Maurice;Hugues;2002;7.031;10.835
139;groscharles;rc!+eef0Av5V;Joly;Adèle;2002;12.583;18.761
139;levyfrederic;_V5jCwH3*&RJ;Roy;Nicole;2002;17.876;13.905
139;audreybecker;Q+4N2hwP9X#J;Pineau;Aimée;2004;18.228;8.923
139;ocharpentier;_G)3CJBm0kzH;Vallee;Auguste;2002;18.21;14.762
139;hortenseberger;VW4Dsq5XGaR^;Camus;Franck;2003;12.458;16.054
139;maurice21;b+k#xA*dl(61;Duhamel;Amélie;2002;7.15;12.781
139;ehernandez;^nl!mhSbF2ej;Gautier;Amélie;2002;16.859;4.449
139;remy04;(8@jFeyh002E;Grondin;Julie;2002;13.502;18.106
139;moreaunicolas;lKmqoDbl)nM9;Alves;Charles;2002;3.329;8.485
139;marchallouis;uJ0#Xc8u+rgH;Picard;Robert;2002;3.732;2.379
139;slambert;jtRE#Ml8#8T+;Gauthier;Dominique;2001;10.712;18.026
139;sauvagebertrand;#@4Jq)HA46$K;Hoarau;Benoît;2000;6.182;13.026
139;kbenard;^5FnL#gHi3OR;Leduc;Rémy;2003;3.302;13.948
139;andree62;oPkUy1fa*&1F;Delannoy;Pénélope;2002;12.312;11.698
139;michelleroche;CY1vq85))TXE;Maurice;Astrid;2001;8.738;11.059
139;tmillet;*k4OhfTcT(JA;Blanc;Laurent;2003;19.074;13.35
139;wgauthier;_U(an#*#9QAS;Lambert;Marguerite;2002;9.014;8.661
139;franck53;39Xum5Tu_Qyj;Morvan;Éric;2003;2.373;3.443
139;marcelle17;X(780XkHCdHb;Bouchet;Anne;2001;8.533;11.191
139;laureduval;1&aaErec@yO$;Langlois;Luce;2002;18.216;9.818
139;gayceline;+@HFjj+Pq6sZ;Ramos;Théophile;2002;15.174;19.638
139;boyerlaurence;ZE8@N7SbN0&t;Deschamps;Marine;2002;12.129;7.815
139;odetteramos;jw25B@Vs^8+o;Marion;Virginie;2002;5.272;14.095
139;jperez;+^8#LIbhhq6f;Neveu;Françoise;2002;2.045;5.26
139;nathalie42;cp#XqKtw1$2G;Herve;Marianne;2002;8.693;10.027
139;reyastrid;%u2m13ZcKi!b;Robin;Matthieu;2002;15.137;7.607
139;ericrobert;YWQ284u3!5dy;Germain;Charles;2002;17.772;13.072
139;le-gallmanon;5O)3FngMa&^7;Leroy;Margaret;2002;4.541;10.267
139;cecile91;R(TP9WXM$c%c;Couturier;Jules;2002;19.533;17.963
139;raynaudvincent;#v9Y#eCwH5Ti;Ollivier;Margaret;2002;10.169;5.592
139;ylebreton;0nr@OQNk)3WM;Philippe;Océane;2002;16.871;17.105
139;susanneneveu;#S(aDpA4wdi2;Lefebvre;Isabelle;2002;15.121;5.601
139;zoe61;72*_ksDbqcOP;Riou;David;2002;3.606;13.379
139;marine56;kquOQzPjg(0X;Lefevre;André;2002;3.534;7.539
139;bodinetienne;$9Yq$Wgw33pP;Allain;Thibault;2002;12.876;6.851
139;dumontveronique;wyfM2BVs!oG@;Marin;Noël;2002;4.597;18.162
139;francois31;OtJ_lFXL33rG;Brunel;Gilles;2002;10.753;11.915
139;antoinebodin;OL@P5z!W%@7S;Gros;Noémi;2002;18.412;18.382
139;georges12;)bFmzOaP&0Wp;Lemoine;Alex;2002;18.017;11.543
139;suzanne79;t_EEV#k6Yg75;Boulay;Martin;2003;8.604;12.908
139;dufouradrienne;t71AjmN@#nUY;Gautier;Jeannine;2001;3.718;15.534
139;luce74;_O2Oz9h%mXYi;Gallet;Luc;2002;19.093;2.268
139;dorothee70;(#CKOy+t7%72;Lemoine;Andrée;2002;8.908;18.152
139;gcamus;VR8P4xCm)cv5;Brunet;Madeleine;2002;6.845;9.618
139;agnesboutin;k(SD1E%3dl7U;Buisson;Patrick;2002;14.748;10.336
