idLycee;login;password;nom;prenom;naissance;note1;note2
140;moniquepasquier;%bZqbMDZ30Pq;Dumont;Anouk;2002;2.348;5.465
140;marechalarnaude;)BESXpkrkj9p;Dubois;Charlotte;2002;12.711;13.814
140;josephinemichaud;l3(d13E*_GPh;Faivre;Patrick;2002;10.604;3.806
140;brigittepotier;Me+QTIgbZd)2;Robert;Hortense;2001;5.781;6.573
140;tessierdenise;q2k32iPE)vij;Olivier;Étienne;2003;13.951;6.253
140;sabinepierre;(9QHy@fg@iFe;Guibert;Astrid;2002;5.339;16.318
140;jeanne40;!8K8dq_g+GLr;Hoarau;Margot;2002;5.97;12.979
140;richardcarlier;_yCzVqkld5JB;Chauveau;Alexandre;2003;4.212;7.507
140;gregoire79;Lg7z!VM8+3Vm;Goncalves;Emmanuel;2002;18.142;10.228
140;claudesamson;_29+CqjbbB)_;Duval;Bernard;2002;5.227;6.027
140;laurent12;OKqKYRkk&a48;Laroche;Gabriel;2002;14.323;7.905
140;weisscelina;!+bTiD8SPe1X;Boulay;Gabriel;2002;17.734;6.59
140;mweiss;m0eXv0kP)9sK;Dumas;Philippine;2002;10.94;12.244
140;hlopez;waYwcF$b*l06;Petit;Hortense;2002;11.828;13.277
140;ponsandree;$2uj*NQtZs4&;Allain;Océane;2002;9.375;4.224
140;jeanarthur;E(8n1VDb)KtW;Henry;Maggie;2001;12.404;17.142
140;julietterenard;eVxLM8Od#DGo;Gerard;Honoré;2001;3.518;10.583
140;dboulay;cP(18MkuHwFE;Laporte;Alfred;2002;3.131;13.023
140;danielpaul;!7R$JPpl&on3;Martinez;Brigitte;2002;7.072;19.605
140;xfournier;CUjfTqdN(4MU;Hamel;Roger;2003;16.519;3.092
140;valentinemahe;x$2_x3JsDK*e;Gaudin;Anaïs;2002;3.718;14.094
140;de-sousaaurore;B0QKWxIs#6h8;Lamy;Claudine;2002;13.726;11.384
140;brungerard;zq2l9#NZu)5U;Rodrigues;Tristan;2002;7.291;18.767
140;fbriand;!UmXaS(FT6ZZ;Adam;Michelle;2002;4.234;9.301
140;herveeleonore;q64EEzdMh(H$;Aubert;Noël;2001;7.389;19.998
140;corinnedias;B1!NSBj4_dlt;Dufour;Grégoire;2002;5.507;19.764
140;carpentierchristelle;fiU$9hmoc*0K;Da Costa;Jean;2002;4.097;13.906
140;francois59;z+#+*zoAbU0M;Dupuy;Lucie;2002;19.736;19.37
140;elodielegendre;HyYPO+3u$37H;Baron;Michelle;2002;7.055;9.7
140;deniseschneider;lO0pZYe4X_6&;Guerin;Philippine;2002;12.226;12.166
140;camillejourdan;Z&z3A%Zg(fV1;Georges;André;2002;9.287;10.43
140;lucyandre;_6L!i_Vqb8II;Leblanc;Jean;2002;6.256;14.365
140;diasbertrand;4NWQ&Hsm!iTl;Chartier;Stéphane;2002;7.758;14.547
140;sebastienduhamel;$#BnBDwhrbA5;Rousset;Thibaut;2002;19.021;15.176
140;ponsanne;$nGfX6vEpNt6;Couturier;Inès;2002;18.909;17.356
140;hdidier;856r0&Saq_OH;Mathieu;Andrée;2002;9.357;2.04
140;wagnerfrancoise;i4Q@VL)Vc&uw;Marin;daisy;2002;15.578;4.006
140;michelle68;c3Bd1Sf%_Q&Z;Traore;Bernard;2002;3.442;3.197
140;roland68;5k4feMs6(xUa;Germain;Émilie;2002;3.181;7.178
140;francoischevalier;z%z4OU#kw90M;Benard;Julien;2002;8.671;5.118
140;ejulien;xaiHIcjLM$7q;Bonnin;Gilles;2002;4.914;17.286
140;aubrylucy;L)%4kNHh)Qzl;Noel;Yves;2002;7.499;6.869
140;noemigregoire;#5Zis(3aV0gy;Lopez;Françoise;2002;4.36;19.591
140;laportemadeleine;7kO*5l7k_VZc;Blanchard;Amélie;2002;18.385;2.121
140;umarques;+^AKimA_+e0w;Charles;Valérie;2002;2.572;10.818
140;simone51;0e9R&M)j%#Zf;Vasseur;Sabine;2002;6.845;6.995
140;penelopeleroux;%x_Rjt3C#6Lg;Reynaud;Élodie;2002;4.564;17.392
140;krenaud;J0LCA@SyZK*8;Henry;Guillaume;2002;6.866;15.013
140;luce77;iYS2w%Bf%A59;Torres;Grégoire;2003;6.297;15.411
140;mfleury;$4iFHan7lTQo;Dumas;Michel;2002;3.656;10.471
140;capucine81;2OSRh4m*F^Q(;Antoine;Théophile;2002;14.731;4.746
140;vidaljulien;6)zs0NzsXB$#;Bourdon;Honoré;2002;11.842;14.637
140;augustingoncalves;z6Jz0vPd@PVP;Joly;Pierre;2002;11.011;18.525
140;adriennetoussaint;X$9Fknl+$w3H;Lecomte;Stéphane;2002;7.37;19.431
140;vincentlopez;auw(!ij@72AS;Petit;Benjamin;2002;2.71;2.819
140;glemonnier;$r8TSsuTK_bD;Carre;Thibault;2002;7.815;6.013
140;matthieulamy;y0rCdpx(&lws;Le Gall;Michelle;2002;9.357;10.06
140;eaubry;b3nPrvM5^r%N;Breton;Joséphine;2002;19.915;6.479
140;yves80;M$dUSoqm#B9L;Guichard;Astrid;2003;13.534;10.383
140;lesageelise;#I+zk^!G8O6V;Pages;Capucine;2002;18.703;15.171
