idLycee;login;password;nom;prenom;naissance;note1;note2
141;dmaurice;*7zPZx40u5Eg;Guyon;Denis;2002;10.045;15.025
141;morelbertrand;!FeCN4fIy8Mv;Ledoux;Aimée;2002;16.767;2.137
141;flefebvre;#AmsTXPaN6FE;Michaud;Sophie;2002;5.558;9.255
141;adrienne73;(@e7QwUtaKqa;Perez;Valentine;2002;12.786;6.048
141;franck23;MZyg1YpzN96#;Ferrand;Océane;2002;5.474;3.334
141;boyerandree;$P0Qa8bgKilJ;Grenier;Camille;2002;4.75;18.707
141;gillesvirginie;X7*WPbjOi$1t;Moreau;Corinne;2001;16.978;3.501
141;gilbertroussel;@my%mFf!m4Ls;Germain;René;2002;7.619;14.709
141;bernard37;bnXaD@En$wh1;Leroy;Agathe;2002;3.729;5.578
141;agnestraore;imP*kbrR@(8H;Didier;Roland;2002;17.492;10.373
141;gilles53;s9ot!q8u)bBn;Tessier;Hugues;2002;17.617;6.954
141;rblanc;MQc&1JPrY__m;Briand;Lucas;2003;4.695;15.541
141;andreaimee;Q1L&RBZ%_3Ho;Barbier;Charlotte;2002;11.222;10.666
141;fgilbert;DunbheSrb!t0;Faure;Richard;2002;12.132;2.765
141;therese43;!j33WivbeC%F;Blot;Émilie;2002;15.863;7.687
141;gchartier;3)$wwmJl+z*0;Thomas;Catherine;2002;9.29;11.035
141;gomesbenjamin;Y0K#6L)l+eCK;Lopez;François;2002;2.763;6.912
141;seguinjerome;@oBLkeaOg1cJ;Lebon;Noël;2003;14.092;16.717
141;jacquesda-silva;s&8oDI!uQFW2;Grenier;Olivier;2002;6.104;5.071
141;camille97;GIJ)8Rdx%Y$0;Royer;Simone;2002;7.28;6.528
141;lucasleconte;x5$zL!zqWZJ*;Leroux;Alphonse;2002;4.619;9.614
141;duprearnaude;&+$K6jkq@(5O;Dufour;Alphonse;2003;7.875;3.498
141;denise30;_UA!7OIc1kw5;Guyot;Michel;2002;12.486;12.836
141;royerbernadette;)WGwKKRc9Tf3;Legros;Roger;2002;18.667;19.374
141;xavier48;(bhWpe9Yhu2K;Hoareau;Jérôme;2002;18.984;14.134
141;godardalain;_!)gMKeRS$2s;Le Goff;Denis;2002;8.158;9.08
141;dominiquebaron;F9&7AGrx%IH1;Perrin;Laure;2002;8.491;17.318
141;maryhelene;!W^cOAQl%k16;Dupre;Nath;2002;13.216;5.512
141;thierry14;MU9^WMms_!w7;Peltier;Laetitia;2002;14.689;13.742
141;guillongenevieve;zwU#l%C*Q^4j;Labbe;Stéphanie;2002;14.803;3.689
141;diazalexandria;M#3QEuMbq(4#;Perret;Jacques;2002;14.631;10.76
141;pgay;ds7_KxEs_V#N;Hernandez;Suzanne;2002;14.764;2.594
141;yves36;8F1bfkjpOBD^;Navarro;Benoît;2002;4.51;15.299
141;pereiramatthieu;Yx6LfwvxB#dC;Mallet;Gilles;2002;5.44;8.341
141;louis08;FR2KhJFmS_x8;Langlois;Frédérique;2001;12.276;12.229
141;mailletnoemi;%61W)RNc!0RO;Pierre;Roger;2002;16.837;3.586
141;mathildegautier;F6&8%WT2)sMF;Hubert;Emmanuelle;2002;3.888;13.888
141;manonrodrigues;11Cv1k#ux#g);Blanc;Suzanne;2002;19.619;4.026
141;cecile26;e#3+FMqFl3Vi;Laine;Aurore;2002;12.364;8.895
141;claire37;1J5!1kRyYJ^I;Laporte;Thérèse;2002;18.868;6.479
141;gregoirehubert;N1M#nX5+gm@r;Mendes;Benjamin;2002;11.33;11.575
141;rodriguesmadeleine;)zT5GRdJ61iO;Allard;Martin;2002;9.091;16.946
141;diasbenjamin;9#yC2!eq@47&;Perret;Suzanne;2002;16.354;14.094
141;chauvettimothee;^wB+hi^z#9cC;Adam;Maurice;2002;11.775;13.983
141;dufouradelaide;Uz3VprRrl&N+;Adam;Josette;2002;12.393;14.327
141;elisabeth53;YS2(!5Qc5$V#;Hamon;Alain;2003;12.455;11.592
141;marinalphonse;ET0Oo%YS!Pj2;Fischer;Noël;2002;12.446;3.607
141;thierrymathilde;_2W5$ikQs&w(;Robin;Thomas;2002;2.598;2.308
141;foucherraymond;@1Axkqy7po1(;Imbert;Olivier;2002;8.081;18.763
141;alexandrieleveque;Ut1IYIa#!2@&;Dupre;Paulette;2002;13.018;19.577
141;louis58;DKA7BNMne9(X;Auger;Marie;2001;17.817;4.517
141;umunoz;b79XOf7k&BRg;Hebert;Émilie;2003;3.73;9.274
141;gregoireedith;$X95^YMeOGV_;Jacques;Édouard;2002;2.12;17.061
141;victoire47;j1E7jjmk^9tO;Letellier;François;2002;18.558;7.698
141;kgay;yWk)k_Vw)5*u;Sauvage;Hélène;2002;8.669;2.567
141;margotperrot;y7z4Hd#%!ts5;Diallo;Juliette;2002;17.1;4.561
141;martinebarbe;wo1DiAfEj#(X;Lefevre;Denis;2002;6.125;11.864
141;stephane85;1v!00IvQWHXq;Lambert;Jeannine;2002;8.052;12.355
141;mguibert;j8+l#2Ra%9dY;Gros;Jacques;2002;14.767;16.305
141;elagarde;$qAm0OQdtD1@;Boyer;Thierry;2003;13.875;12.588
