idLycee;login;password;nom;prenom;naissance;note1;note2
142;audrey75;ym1sLFAc@0CF;Labbe;Marguerite;2002;4.71;5.38
142;christiane97;ahdRSw_pa^9S;Denis;Simone;2002;13.615;8.026
142;josephjacques;H%3WAcgh0t5A;Marchand;Bernadette;2002;15.267;13.077
142;marthedelahaye;wC0yuF$tJ_Z2;Marchand;Antoine;2002;17.639;13.594
142;chumbert;!lrAGdnZ&4Hu;Guilbert;Nathalie;2002;5.653;4.499
142;vgoncalves;vmZHFJtM&1VK;Launay;Antoinette;2002;12.062;6.186
142;launaywilliam;KJ6Ai0xD^#KA;Perez;Céline;2002;5.526;19.487
142;lucas02;lFR1Jz@+Uh)i;Poulain;Timothée;2003;15.323;11.54
142;aleleu;pYp2nnHnZ^&0;Gilles;Christophe;2002;11.298;3.8
142;raynaudleon;#1fPvU_P$Z(J;Fernandes;Aimée;2002;9.551;7.744
142;lucyguyon;I@B4Aba_^#U#;Lenoir;Éric;2001;6.25;11.316
142;timothee98;()YXIMhH7e1p;Chevalier;Édith;2002;2.239;5.926
142;bertrandfrancoise;(d^w4SnJHqYt;Bonnin;David;2002;17.262;18.725
142;loiseauchristiane;XF1g*ZmQ*0!2;Morin;Laurent;2002;8.66;10.141
142;qpascal;%A1tLMCtpcYQ;Barthelemy;Christophe;2002;10.589;15.104
142;constancesanchez;($9xuxvtryYp;Bouchet;Jean;2002;14.437;9.798
142;duvaldiane;TZ9!rc%vfTdP;Masse;Margaud;2001;2.093;7.85
142;auguste69;$IW21%tla6tm;Marchand;Claire;2002;3.266;8.268
142;philippine05;!EBORq4Vmik8;Wagner;Capucine;2002;8.545;6.385
142;bouvierjosephine;)A9Tjge_1^9#;Aubert;Louis;2001;13.517;13.427
142;louisede-sousa;%5J3Yx_dL&S8;Roy;Auguste;2002;17.535;2.31
142;delattreines;^$0M&CgmLGSA;Lombard;Zoé;2001;6.866;7.011
142;alexandre96;O625sBdN$nqA;Lebon;François;2002;19.948;5.242
142;valletlouis;S6^W&Fb2iQ9F;Marechal;Virginie;2002;13.844;10.664
142;dominique69;6+Ur7&kEde2+;Didier;Frédérique;2002;9.011;4.403
142;elisabeth20;Vw!5RHNm#mQN;Munoz;Sophie;2002;13.217;2.693
142;rmasson;F@7I%LpgWaRK;Vidal;Marguerite;2002;5.65;14.374
142;celinaramos;!MDqQMfc_T3y;Schmitt;Madeleine;2002;10.413;11.661
142;catherine20;$4ZrIh$_lzsX;Roger;Susan;2002;19.931;3.833
142;augustegilbert;41x0Ob279+Di;Dubois;René;2002;18.775;17.618
142;thierrypetit;RoA+Cz7wj9Kd;Berthelot;Antoine;2002;6.195;16.074
142;maurice20;m37huRYo*fZP;Labbe;Dorothée;2002;13.898;13.333
142;sgarcia;3#wKZ!FbC!D8;Simon;Dominique;2002;19.326;18.294
142;suzanneferrand;SZBDec&W!0HO;Caron;Olivier;2002;4.173;17.902
142;celina21;mcyj2S8p&G@9;Dijoux;Margot;2002;16.667;6.211
142;georges26;ZK0Rn)MaCe!);Deschamps;Suzanne;2002;8.35;19.784
142;constance19;^!$nvlODO2HM;Raymond;Laurent;2002;13.804;18.718
142;christelle74;rYX46QreK%q9;Dufour;Capucine;2003;5.806;16.262
142;rochececile;#Hy7dWuzN$jB;Renard;Anouk;2002;2.632;5.12
142;labbeclaire;0P01h7aL^*Si;Mendes;Noël;2002;16.341;13.72
142;martinlejeune;)QsSn8JTEk1B;Boutin;Jacqueline;2002;2.569;15.327
142;mariannelopez;#^6yQabZu7eW;Lacombe;Gabrielle;2004;18.528;14.09
142;lopeslaurence;n!aBt3RkGOQu;Delaunay;Gilbert;2002;9.177;14.28
142;thomasbernard;Cj*7Nd@aE%7);Lemaitre;Denise;2002;4.786;15.611
142;jeanninenoel;S9NAs*q@_Hxt;Le Gall;Océane;2002;13.349;14.792
142;guillaumeastrid;^j7kldPG_nBV;Torres;Gilles;2002;15.582;10.933
142;weberlaurent;!d6dyckp%6cK;Leduc;Alexandre;2002;17.802;7.639
142;dupuylucy;12ABw6MI+EMa;Leroy;Susanne;2002;7.124;14.184
142;pierrebarre;&@1+tIZcBRVJ;Poulain;Gabriel;2002;5.689;9.405
142;moulinmargot;2HgT^3Fm)2(4;Guillet;Françoise;2002;14.251;7.726
142;madeleine14;#N4V(J#cNOHi;Bailly;Édouard;2002;5.598;7.889
142;guillaumeleleu;4#^NLBmfiMH&;Duval;Franck;2002;15.456;7.387
142;etiennebuisson;t!c7keKfo%9E;Ferreira;Jeannine;2002;17.768;15.073
142;laurentjeanne;bnBq8l*G^B0T;Bazin;Juliette;2002;13.889;7.749
142;nicolecolas;u&kkh)U1Hsj_;Fouquet;Marianne;2002;2.508;7.888
142;clemence45;+42YdtYQc2SF;Lopes;Auguste;2002;18.525;12.982
142;hardyrene;^M$gvmCl2jh0;Guibert;Isabelle;2001;5.524;16.789
142;courtoishugues;@8(4luTaNZrR;Jacob;Margaux;2002;7.556;3.908
142;xavierleclerc;b5!@1VbrR4*c;Andre;Thibaut;2002;12.984;5.757
142;gdumont;+x!nRo9ib9wX;Lenoir;Jeanne;2002;11.219;13.427
