idLycee;login;password;nom;prenom;naissance;note1;note2
143;lmoreno;^MHpQcqE$!1k;Couturier;Édith;2002;7.387;6.059
143;leblancmargot;thX1yDDp^^8G;Vasseur;Vincent;2003;7.718;18.507
143;gerardbesnard;%1DhEGb#^_m5;Delattre;Nathalie;2002;5.543;6.707
143;omasse;c+KpW#h4PF13;Pires;Pierre;2002;14.94;2.616
143;wchevallier;7am70KbB$uD@;Pineau;Agnès;2002;18.86;6.143
143;veronique51;vR_@nzGLG0UC;Collin;Maurice;2002;12.952;15.099
143;louislaure;%0+!ShF)3p1x;Brunet;Cécile;2002;6.342;7.853
143;alice52;!pL9BCvgj1D7;Tanguy;Marie;2002;6.357;15.423
143;georges09;*d9Nal6x5tsQ;Moulin;Isaac;2002;16.87;14.564
143;monique73;o+9Qx+n%&ADC;Hoareau;Marine;2002;9.549;5.522
143;gregoire88;^uK5fznJ86VY;Benard;Alix;2003;13.047;15.226
143;virginie67;5%6Pr54z1wPN;Wagner;Jeanne;2002;13.405;6.745
143;charlotte14;r575OhJwS%wd;Allain;Victoire;2002;7.465;2.841
143;dufourjulien;a^WviCcs+r6Y;Chevalier;Xavier;2002;19.568;16.23
143;guyotjeannine;%vbKxN5si2X4;Delannoy;Juliette;2002;4.641;6.967
143;stephanieguillaume;P9Fu(Oxi+X48;Parent;Michel;2002;10.486;4.634
143;rene27;Xh0HO0dZF&Hh;Gomes;Corinne;2002;17.416;3.421
143;iramos;l*4ry4FPxcI4;Antoine;Théodore;2003;2.359;11.941
143;renee68;#^gfSyqBEkz4;Dijoux;Lorraine;2000;12.913;18.07
143;bernadette87;%*#l11OnZ!f(;Guyot;Thérèse;2003;17.91;14.612
143;oceaneblanchard;6ArhV@cs^)Eo;Turpin;Patricia;2002;3.839;10.387
143;stephanie77;q9e0ovHt)W!1;Ledoux;Christiane;2002;9.028;9.935
143;collinsusan;zsqr*vDzP^38;Nguyen;Adrien;2001;6.041;19.183
143;albertvalentine;Da$YZ8Tk+9BD;Gauthier;Éléonore;2001;18.487;3.188
143;william67;&Y5p7qpV^LFw;Cohen;Chantal;2002;16.114;10.599
143;isaacfontaine;+VRQFHXi9*3X;Lucas;Émilie;2001;3.783;6.271
143;riourene;ws5zaYPx*xkI;Martins;Dominique;2002;7.636;19.978
143;ines07;*SpVTgK+C7Sa;Lebreton;Denis;2002;4.474;8.723
143;alexandriaguillou;bD6_JwhfD^x1;Renaud;Aurore;2002;3.092;18.312
143;thierry87;iRO!M1iqA*8Y;Colas;Zoé;2002;10.494;8.016
143;laetitiabarre;9n1dFiTo_6OF;Dumont;Louis;2000;18.767;15.172
143;dupreelisabeth;Y!2#pGskZU7W;Georges;René;2002;13.351;8.962
143;daisylaunay;@5Y5x0xF(l3K;Imbert;Dominique;2002;8.13;15.09
143;brigitte48;4+TTa6It+n2%;Guibert;Christine;2002;19.441;5.92
143;marianne49;&8!&IA1yrdJT;Imbert;Édith;2001;12.018;7.554
143;edouardgeorges;B2naPZgYk)2);Le Gall;Thibault;2003;4.303;6.399
143;josephalbert;7S1XqhWQ_x^3;Mary;Noël;2002;9.294;12.092
143;bonneaujoseph;1#P++RSlaA26;Michel;Élisabeth;2002;2.384;12.001
143;monniernathalie;p(JB(Up8*J3L;Dupre;Michelle;2002;12.567;13.469
143;alphonse10;_4CHftbmY1tE;Paul;Nathalie;2002;9.414;9.708
143;maurytimothee;k^N$5wTg_n0X;Lemonnier;Franck;2002;5.216;14.409
143;roger57;72h!kF_j^TTF;Gregoire;Charles;2002;16.976;19.848
143;oceanehebert;J_08)8hg%1TH;Hoareau;Susanne;2002;2.434;5.045
143;mathieucolette;ZQ@5UjC81#SD;Le Roux;Madeleine;2002;14.936;4.333
143;auroretanguy;(oAaD_wzca_7;Leroy;Sylvie;2002;16.251;11.899
143;lebretondaisy;3T+lEqd2rVw7;Gerard;Susan;2002;14.047;12.363
143;gaudingenevieve;UgiZMDf_0%d2;Robin;Hortense;2002;9.335;13.753
143;groger;+org(4x6%23O;Mallet;Thibault;2002;9.896;19.647
143;humbertandree;vy0Dcs(GE$E5;Briand;Josette;2002;3.665;10.035
143;emmanuelledavid;9^6GlRd3HxR4;Charrier;Marthe;2002;11.46;13.599
143;lacroixzacharie;_1!u6(2%MyA3;Leroy;Cécile;2001;10.594;19.544
143;bertrand61;cEEI^aV8@T4M;Faivre;Isaac;2003;10.478;5.805
143;sauvagenathalie;*)sFhijC2sXZ;Barbier;Alexandria;2002;12.982;10.809
143;philippine85;_UQNClRz6Inv;Godard;Rémy;2002;12.414;17.29
143;xavierparis;#fz5AzUy53rI;Gay;Pauline;2002;4.132;19.1
143;oriviere;45uuoq5*$zTh;Roy;Grégoire;2002;4.954;11.763
143;gweiss;Y#8&MbsT^*4t;Da Costa;Élise;2002;16.508;15.093
143;malletaurelie;7WeRT%v@+Mo1;Gilbert;Anouk;2002;9.131;2.254
143;patrick33;&&AG2Bw340J0;De Sousa;Gabrielle;2001;4.639;3.506
143;perrierlucas;I6CeImV!((%N;Colas;Martin;2002;18.82;16.071
