idLycee;login;password;nom;prenom;naissance;note1;note2
144;susannemartins;#0^acSQEDq3J;Bouchet;Alex;2001;6.771;16.401
144;egrondin;&k1Jg!OmlB1A;Barre;Laurence;2002;13.019;14.701
144;roymatthieu;%0e4lMR#ZNuU;Labbe;Théophile;2002;13.466;16.066
144;victor56;N+rD*ZD*Oo19;Leroux;Robert;2002;14.478;4.462
144;laure22;e@UZXvyg@Fa4;Guilbert;Adélaïde;2002;3.127;9.256
144;alfred15;_cggAmbWzy1+;Leclercq;Juliette;2001;5.442;18.536
144;baillyagnes;M8b2klSv%nPK;Loiseau;Élodie;2002;12.39;17.515
144;maryzacharie;$9)0C+wTFtQm;Duhamel;Thérèse;2002;8.904;19.637
144;susanne60;E&T1LcFn3Y7i;Gilles;Roland;2002;18.614;18.471
144;gabriellemarty;vXhs)8Bix1(1;Leblanc;Thibault;2002;16.889;8.875
144;allainclaude;46Eqt+Tz!++c;Pottier;Valérie;2002;8.962;17.991
144;ferreiraroland;@e9IICvH)46O;Thomas;Noël;2003;5.697;17.162
144;faivreelodie;i20+fJY0@2JM;Maurice;Andrée;2002;15.438;17.866
144;guillaumelaine;&^DffBbb4f7C;Benoit;Agathe;2002;3.059;10.819
144;valentinecollin;nwfPFooK@69V;Marin;Frédérique;2002;12.783;17.541
144;sabineleroux;fpJn^S4H!27+;Morel;Benjamin;2002;13.652;17.901
144;vguillaume;$Su5S*@L@pDn;Teixeira;Alexandrie;2002;7.924;6.18
144;vincent95;$$R!NKefTz6O;Adam;Danielle;2002;19.184;10.263
144;nath54;$21uXHlsa)2X;Pons;Zoé;2002;6.503;14.57
144;goncalvesphilippine;%Ta6SJZj%0gT;Boutin;Juliette;2002;14.757;18.331
144;guibertphilippine;$+Vd6iWmoK81;Renaud;Julien;2002;13.891;13.655
144;nverdier;^hOJFo8gBx7O;Rolland;Laure;2002;17.609;12.681
144;rberthelot;F79Xbp0yZa&&;Gilbert;Diane;2002;14.841;3.916
144;vfernandez;Vq5X^uUad!e4;Martineau;Étienne;2002;11.568;9.949
144;ibrunet;t!cTF25lvw35;Marques;Daniel;2002;15.191;5.496
144;sophie25;opRrOGmw%7ZE;Dufour;Martine;2002;8.13;9.94
144;delahayeaurore;Qmj8HscT#BtX;Lemaire;Dorothée;2001;16.282;18.714
144;patricia05;!E_x%YtzQQ10;Meyer;Claudine;2002;10.452;19.951
144;gaudinchristophe;1+FK*s_@@9Vy;Lombard;Gilles;2002;8.234;16.174
144;noelmeunier;mgJYF_XM(781;Guillon;Valentine;2002;17.976;5.488
144;obarre;(#89ZbiAVnj4;Henry;Jules;2001;12.175;6.248
144;garniermarthe;iSMHhQqV!19t;Pages;Victoire;2001;8.847;16.652
144;tmeunier;2774_NJvC@F9;Poulain;Alain;2002;3.788;6.978
144;courtoisstephanie;+4gADGLu@0MW;Renard;Christine;2002;7.121;2.19
144;le-rouxluc;u9rvHU3jN)y0;Bonnet;Philippine;2001;4.508;5.554
144;marceljean;&V1J6^n#m3Px;Vallee;Suzanne;2002;5.4;13.08
144;andremaury;gV9WaJv!(EEG;Delaunay;Nath;2002;4.363;11.638
144;alexandrie37;sUI^7lU3^7*h;Humbert;Simone;2001;13.526;17.153
144;hteixeira;(4zWPkp^+4iL;Roger;Caroline;2002;17.686;17.246
144;jacques20;%7k6IIo3vEPl;Lelievre;Robert;2002;16.14;17.773
144;hruiz;@C*7V3t!5C2E;Ledoux;Agathe;2001;9.106;17.149
144;richardmoreau;u3cPwtar%%ZY;Bertin;Gabrielle;2002;17.626;9.925
144;franck76;!uKz*Cso0%r!;Pinto;Paulette;2002;14.2;9.648
144;annejoly;&32#WhHl)VW@;Boulay;Mathilde;2002;13.656;17.878
144;bchretien;xZ2n1(Pks)+l;Hamon;Alexandria;2002;4.892;10.723
144;frederique42;%^XPv)Z8L11v;De Oliveira;Benjamin;2002;2.039;2.158
144;richardtherese;6n+%p86bgbHI;Ledoux;Renée;2002;14.098;9.561
144;martin57;+fUeycXv)3Dg;Faivre;Patricia;2002;18.619;8.159
144;chauvetmatthieu;_5VIh0RvjXC3;Moreno;Catherine;2002;6.802;15.962
144;laure46;*fQmsJ^lj1Bg;Le Goff;Xavier;2003;9.041;3.817
144;danielbouchet;I^49O^xQ5wxG;Rossi;Margaud;2004;16.643;13.901
144;dufourcharles;DZ2v4TbpFin@;Chevalier;Guillaume;2002;15.885;9.203
144;cnicolas;B#QC6XicvUv%;Vallet;Marine;2003;7.715;5.233
144;monique85;^9@O^&$qblZ+;Bouvier;Célina;2001;10.817;4.766
144;louis44;+7p@HXsIlwl0;Blanchard;Dorothée;2002;17.54;16.952
144;alexandrieleleu;Pg*N*QNt9Nc3;Georges;Frédéric;2003;3.237;9.329
144;zpereira;)Ff6HzIkHGL%;Bonneau;Martine;2002;14.951;4.684
144;alexandrefleury;8OPliqwz%!MH;Besnard;Sophie;2002;17.642;13.553
144;suzanne23;o1r9myK5!OB1;Gillet;Marcelle;2002;7.077;16.007
144;fontaineolivier;(7GT^Yxi(9xh;Benard;Charles;2002;7.688;3.636
