idLycee;login;password;nom;prenom;naissance;note1;note2
145;lebrunfrederic;@TtCul6pE3Wt;Daniel;Christine;2003;16.367;17.51
145;nroy;@pP_Tj5ok3pX;Chartier;Isaac;2002;2.77;4.277
145;xbonnet;l^d!Rfq0n@+9;Leclerc;Joséphine;2002;14.581;2.639
145;denise80;gWA#czGx132E;Munoz;Marcelle;2001;10.046;13.44
145;colette04;ojePlhwz&&8M;Dupuis;Éric;2002;3.785;18.943
145;baronphilippe;E)Z5f0dv^0KP;Rossi;Susanne;2002;5.787;15.163
145;diane96;@+O1FqBa)rOY;Lelievre;Benjamin;2002;3.737;18.589
145;louiselaporte;@((PRkri)z@0;Salmon;Renée;2002;15.28;4.246
145;marineauger;c+4*GehyPq3y;Diaz;Michèle;2003;16.765;7.913
145;honore69;_14MAY_oqk1);Letellier;Margaux;2002;19.586;8.138
145;fournieragathe;5#NMKSub*Q2(;Roux;Anouk;2002;10.238;4.267
145;martingregoire;@48RAAlq&P*%;Levy;Bernadette;2002;13.273;13.517
145;royerclaudine;+LI4q7#EXQhf;Leclercq;Martin;2002;5.367;6.38
145;lefortjean;@G8SNZHlk7Ut;Benoit;Laurence;2003;4.689;6.998
145;benjaminboutin;YTye!Vi&)@36;Moulin;Marcelle;2002;16.849;19.135
145;brundaniel;frC2fZc*1@w(;Gaudin;Diane;2002;5.668;9.196
145;margaret86;!75vHec6rmnR;Allain;Vincent;2002;8.481;2.553
145;maryetienne;+2EkVhKrWrJD;Arnaud;Corinne;2002;6.284;4.32
145;jacquesparis;o2+MW2da+%Kl;Klein;Antoine;2002;2.363;11.668
145;larocheaudrey;X6V9Xlfg_wJ9;Petitjean;Patricia;2002;4.218;17.581
145;guy27;AjYmOAgB+4)w;Marin;Antoine;2002;3.57;6.659
145;vbaron;@g6hceYhZ+lZ;Leblanc;Camille;2002;19.12;6.358
145;qgilles;ij+hRK*h+15s;Moulin;Denis;2002;19.764;12.467
145;zoe20;mxEZy9Eo*JJL;Lenoir;Dorothée;2002;5.239;5.679
145;charlottedumas;+4SFGEZFmes&;De Sousa;Inès;2002;8.328;13.717
145;colasleon;Zd8hRts!6&_A;Hebert;Pauline;2002;7.82;7.344
145;marine47;o@IVCbsANs9#;Bouvier;Guillaume;2002;9.661;15.964
145;emmanueldubois;N7kW1Dz()%d%;Loiseau;Augustin;2003;11.109;15.871
145;clementpaul;NR9cHedc&$uB;Barthelemy;Margot;2002;17.191;10.905
145;nathaliemendes;N6x2QE9u^MU7;Delahaye;Agnès;2003;15.212;14.772
145;salmontimothee;tgAN3iuH_5b9;Guyot;Patricia;2002;8.889;15.94
145;martheroger;RPw)8DDaQc1S;Begue;Anne;2001;19.226;10.318
145;daniel25;Q@44#VNrjahJ;Ribeiro;Roger;2002;8.88;4.357
145;frederic96;+D2DKlE5bXKg;Pereira;Théophile;2002;8.288;18.826
145;emilepaul;_JVOS1xRC8%S;Gauthier;Georges;2002;13.988;19.472
145;alamy;%#Qsfv8Hk94_;Boulay;Christelle;2001;11.316;6.861
145;jules90;lo6OTZ0h^_6%;Gonzalez;Tristan;2003;12.728;7.582
145;sabine75;S9I$mdXvoXDK;Philippe;Gabrielle;2002;11.283;19.033
145;philippetessier;*+95OkJfN1IT;Germain;Alexandre;2002;13.418;2.195
145;grenierhortense;Y9TL8Qc&)hFV;Collin;Marguerite;2002;17.715;13.84
145;denis38;#9s&VQDZxsRz;Pires;Aurélie;2002;6.581;9.506
145;paulaurelie;efF7BD567^8e;Lombard;Célina;2002;12.14;13.94
145;jacobolivie;$3AqU^(#o0JA;Neveu;Michèle;2002;3.848;2.032
145;ffoucher;_E4z6Ynh0DbF;Couturier;Antoinette;2002;3.728;19.453
145;dbecker;u4bZ)N)e_noE;Salmon;Honoré;2003;12.226;16.055
145;marchandmarine;D4)&5MNpCF%(;Carpentier;Marie;2002;2.164;13.994
145;thierryetienne;Bs&vy!wR@5Kh;Rousseau;Zoé;2002;11.693;3.394
145;ale-goff;X1+HMJjO$u2p;Gosselin;Colette;2002;7.295;5.502
145;iantoine;_5VM77DzhnoJ;Blot;Roland;2002;14.79;7.382
145;andrealexandrie;4@hI14xmwYY8;Pires;Mathilde;2002;18.78;10.586
145;pmarchal;s&UrZ@3t&8Ha;Ferreira;Anastasie;2002;6.587;15.586
145;mlombard;&7SJecq^C7RE;Auger;Laurence;2002;6.972;14.332
145;teixeiraaurelie;R@36dMUuY%J8;Foucher;Marthe;2002;5.498;18.72
145;jean63;X3cBhUUN$jGY;Antoine;Martin;2002;16.597;2.064
145;aimee78;HHn!G+Fz*WB5;Dupont;Georges;2002;4.423;10.24
145;yves87;9VV#nyt*1+5t;Jacques;Arnaude;2001;18.639;14.124
145;lucelemaitre;qv6ym1Hu(@l7;Bazin;Claudine;2002;15.055;4.428
145;leon87;$6Tu^LXUh#Q(;Charles;Lorraine;2002;8.223;6.581
145;charles64;l8rli_gv_tZ(;Joly;Antoinette;2002;19.147;13.449
145;paulettelemonnier;*%#7Ya45y+Cw;Weiss;Raymond;2001;18.494;2.422
